Leading.proteins.Positions.within.proteins;log2 daf2_d10_01;log2 daf2_d10_02;log2 daf2_d10_03;log2 daf2_d10_04;log2 N2_d10_01;log2 N2_d10_02;log2 N2_d10_03;log2 N2_d10_04; -Log Student's T-test p-value daf2_d10_N2_d10;Student's T-test q-value  daf2_d10_N2_d10; Student's T-test Difference  daf2_d10_N2_d10;Student's T-test Test statistic  daf2_d10_N2_d10;Sign p-val: 0.05 
A0A0K3AUF2(802);20,567;18,2231;20,1867;19,3315;23,1616;21,0025;23,9234;22,1368;1,96125;0,0203521;-2,97899;-3,63243;+
A0A0K3ARB5(19);21,0573;21,1966;18,5223;21,2161;16,6725;18,9985;20,2566;18,3358;0,998098;0,132571;1,9322;1,94002;
A0A0K3ARB5(20);19,2534;20,5415;19,9362;19,0259;20,1902;19,864;20,7307;20,6126;0,831091;0,180989;-0,660144;-1,66218;
A0A0K3ARB5(6);17,9998;20,2318;21,3301;19,3922;19,3227;18,3609;20,7834;19,0101;0,163792;0,64744;0,369233;0,424767;
A0A0K3AS90(1163);20,1107;18,0673;19,7256;18,0966;19,4441;19,905;20,9288;17,4719;0,190623;0,609075;-0,437419;-0,485218;
A0A0K3AWX1(391);21,5002;20,3806;19,1662;19,8254;22,1038;22,4952;21,6995;23,0648;1,99698;0,018625;-2,12274;-3,70156;+
A0A0K3AWX1(378);19,925;19,1114;19,1626;18,9364;17,8536;18,3688;20,5987;16,6337;0,488789;0,343951;0,920188;1,07305;
A0A0K3AVS5(10);21,1232;19,1095;19,7508;19,1267;17,2241;21,0138;20,6899;20,4135;0,0196703;0,946826;-0,057775;-0,0578878;
A0A0K3AW96(1148);21,0196;20,6994;19,5702;20,2698;18,2501;17,3024;21,2568;19,0738;0,780129;0,199345;1,41899;1,57682;
A0A0K3AW96(1306);20,0866;19,9334;20,0008;19,5752;16,8861;21,0535;20,4705;17,0515;0,412538;0,397445;1,03358;0,933101;
A0A0K3AW96(2799);23,8732;22,4765;24,5949;24,1021;19,7319;22,0958;23,0487;21,4519;1,40021;0,0609046;2,17959;2,61615;
A0A0K3AW96(2725);20,0098;20,8175;21,2674;18,7177;18,2568;18,7759;20,7289;19,3757;0,553965;0,305489;0,918815;1,18922;
A0A0K3AWB0(580);21,586;22,6102;22,6811;23,2896;24,3395;24,7182;25,2893;24,3565;2,65928;0,00577349;-2,13418;-5,11385;+
A0A0K3AWB0(588);19,0862;19,5187;18,7934;20,0081;20,6595;19,0061;19,501;18,684;0,0788144;0,802971;-0,111035;-0,218828;
A0A0K3AWM6(430);18,642;17,8449;19,9226;19,9562;21,3268;19,617;18,1588;18,4386;0,124145;0,712415;-0,293881;-0,331732;
A0A0K3AXE0(11);20,9969;18,7899;21,1534;20,301;17,7523;20,3766;20,8437;19,1607;0,387389;0,414135;0,776964;0,885764;
A0A0K3AXT9(687);22,8941;22,344;24,6749;25,5252;26,6331;25,5033;26,0056;25,2301;1,30795;0,0734339;-1,98348;-2,45865;
A0A0K3AXT9(697);24,2244;22,8521;24,6327;24,3917;25,6837;27,4236;26,7681;26,3518;2,46653;0,00936151;-2,53157;-4,67444;+
A0A0K3AXT9(677);25,6561;25,6449;24,0066;25,766;22,9459;23,2731;24,2958;22,699;1,93509;0,021574;1,96494;3,58222;+
A0A0K3AXT9(683);25,2784;24,9528;25,3786;23,1489;26,4625;27,1201;26,9259;23,9472;0,781965;0,198892;-1,42427;-1,57991;
A0A0K3AY44(449);23,2163;22,2711;23,9584;23,6835;20,4477;21,1136;21,5285;22,3123;1,93973;0,0212575;1,93184;3,59111;+
A0A0K3AY44(442);21,4988;20,146;20,8879;21,8327;18,7914;18,0536;18,9134;20,0179;2,10222;0,0160997;2,14726;3,90885;+
A0A0K3AY85(173);23,786;24,3051;24,0489;23,9594;18,0733;19,3085;20,6588;17,6614;3,52215;0,00115419;5,09935;7,4542;+
A0A0K3AY85(152);19,064;21,4214;21,1639;19,3277;19,8893;18,5783;19,0812;19,4721;0,719214;0,223825;0,989057;1,47411;
A0A0K3AYE8(172);20,934;20,7191;20,1678;17,7849;20,1948;17,4668;19,5318;17,8033;0,546291;0,310336;1,15228;1,17568;
A0A0M7RFG7(49);20,6327;18,2446;19,1169;18,3422;23,7544;25,0076;24,5941;24,4377;3,91967;0,000609524;-5,3643;-8,78893;+
A0A0S4XRR1(215);19,3129;17,8661;16,9614;20,35;24,8747;23,4387;24,2034;23,0068;3,06291;0,00265008;-5,25831;-6,12532;+
A0A0T7CIX3(487);19,4338;19,6232;20,969;18,6255;19,51;19,1802;20,3095;19,3;0,0565594;0,854979;0,0879469;0,160319;
A0A0T7CIX3(136);20,7783;20,2916;18,2775;18,6855;19,0947;19,2576;19,5517;19,6653;0,0664995;0,830115;0,115924;0,18673;
A0A0T7CIX3(543);19,919;19,9702;20,7893;20,8758;18,5236;19,0979;18,6697;19,6895;2,04674;0,0172388;1,3934;3,79888;+
A0A131MBQ6(32);18,3731;19,1442;18,3353;19,9703;18,383;19,7354;20,2466;18,8817;0,255771;0,537191;-0,355922;-0,625101;
A0A131MCJ5(53);18,5752;19,8314;19,8238;21,7129;20,0335;20,9121;18,073;16,3575;0,419313;0,392288;1,14181;0,945743;
A0A131MD51(18);18,8875;21,6753;19,1331;18,3788;24,1954;24,241;24,7764;24,8024;3,23887;0,00205954;-4,98511;-6,61009;+
O16293(195);18,0751;18,7711;20,6488;21,2028;19,1847;19,6218;19,2725;21,1687;0,0552652;0,858378;-0,137488;-0,156846;
O02147(540);19,7207;20,0292;20,1321;18,9615;18,1144;20,3707;19,4255;20,6059;0,0456836;0,883188;0,0817337;0,130874;
F3Y5Q3(84);19,6122;20,2148;18,0652;17,908;19,6783;20,0169;21,5682;16,9123;0,210192;0,585087;-0,593904;-0,528192;
Q9N350(17);20,9087;21,0456;18,8889;20,9297;22,7144;23,3217;24,9161;23,4527;2,39789;0,0102624;-3,15803;-4,52401;+
Q9N350(179);20,7289;20,8271;17,8641;20,2752;23,2303;23,3644;23,6562;23,8135;2,6372;0,00627143;-3,59225;-5,06218;+
A0A1N7SYR3(844);19,3652;17,6647;19,2261;17,8528;23,8067;23,9231;23,9464;22,5394;3,96805;0,000363636;-5,02669;-8,96462;+
A1IMB7(151);21,3843;22,822;22,2066;20,9099;23,4745;23,6091;23,6917;23,2513;2,06921;0,0170169;-1,67598;-3,84323;+
A3QMB7(63);18,1192;20,438;19,7549;19,716;22,3757;23,0182;23,0929;23,6651;3,13869;0,00239607;-3,53095;-6,33059;+
J7SF86(65);19,4254;17,5702;19,0908;19,8282;19,2189;19,3868;20,6807;17,793;0,143796;0,67927;-0,291208;-0,37844;
U4PRJ1(143);19,9505;19,02;18,7999;19,6712;20,6035;19,2351;21,7549;19,1234;0,562782;0,300902;-0,818841;-1,20474;
A5JYX4(101);17,9413;18,9685;20,913;19,7204;18,3523;21,2156;19,5447;17,3114;0,0979471;0,765487;0,279807;0,267432;
A5JYX4(81);24,3233;23,7163;25,2255;24,9766;24,5257;24,5425;25,5771;23,5064;0,0140219;0,960992;0,0225139;0,0415192;
A5JYX4(77);16,9215;20,8291;18,5689;17,5726;19,4325;18,2136;17,8687;20,5942;0,208462;0,587653;-0,554225;-0,524427;
A5JYX4(130);18,7675;21,2906;19,7683;19,8006;21,005;20,0773;22,036;21,2865;0,92157;0,152449;-1,19447;-1,8129;
A5JYX4(131);19,9208;19,6788;20,624;19,3097;17,617;18,5062;21,6379;20,0051;0,18718;0,612854;0,441726;0,477564;
A5PEY0(153);23,9962;23,2687;23,9294;23,2499;26,2413;27,5532;26,1096;26,2722;3,5144;0,00114161;-2,93304;-7,43;+
I2HA81(362);26,6646;26,4748;26,3452;27,645;25,2276;25,7521;25,6308;26,0658;1,76018;0,0301304;1,11331;3,25437;+
A5Z2W7(48);17,7726;18,2734;20,4585;20,4723;19,6461;19,5996;18,897;18,4448;0,0440866;0,887274;0,0973043;0,126499;
A5Z2W7(56);21,5593;17,0292;21,4996;19,307;19,6908;17,3903;19,388;18,9776;0,357392;0,438413;0,987076;0,828401;
A6PVA5(9);18,9086;21,3799;20,2667;19,8195;18,1628;19,9157;18,4803;16,7249;1,11289;0,105858;1,77275;2,13093;
Q20621(425);22,6514;23,104;23,7628;22,7157;18,0417;19,0986;21,2424;20,0471;2,49649;0,00853034;3,45102;4,74105;+
A7DT41(137);20,1883;19,6343;21,16;19,2958;19,7301;18,9493;17,5281;21,1365;0,371923;0,425705;0,73357;0,856319;
A7DT41(240);20,2723;20,4241;19,2049;19,9651;18,9047;19,4749;17,9286;20,2632;0,71551;0,225174;0,823778;1,46783;
A7DT41(165);20,1812;18,7859;19,2332;21,1964;20,8749;20,6043;20,1402;19,1318;0,203911;0,592762;-0,338624;-0,514496;
A7DT41(223);20,1459;20,6361;20,3375;19,084;15,1323;20,626;17,4691;20,6805;0,523756;0,321848;1,57387;1,13572;
A7DT41(158);18,0656;19,5896;17,8924;19,941;18,682;20,2086;18,7456;18,0015;0,0180943;0,948879;-0,0372696;-0,0533404;
A7DT41(262);20,0623;20,6884;17,9407;19,6798;16,7566;19,8939;20,5756;20,2203;0,0786831;0,80322;0,231213;0,218489;
Q9XWW2(238);19,5653;20,4783;20,4591;20,9831;19,0842;19,4561;19,525;20,366;0,978819;0,137311;0,763614;1,908;
Q9XWW2(276);19,6154;17,6361;21,7057;19,5465;19,3944;18,8212;21,2513;19,4358;0,0349817;0,909219;-0,099731;-0,101303;
A7LPD6(582);18,2726;18,4019;21,0619;20,4002;18,2878;18,3792;19,5631;19,8285;0,264009;0,529663;0,519499;0,642189;
A7LPD6(545);21,1354;18,4259;17,9262;18,2997;23,8071;24,1422;24,1278;23,9624;3,31501;0,00187755;-5,06306;-6,82895;+
A7LPE6(329);21,398;19,5393;21,908;19,5867;20,2094;19,9123;18,796;21,2944;0,289556;0,504743;0,554994;0,694436;
Q5FC71(99);18,5302;20,0445;17,1038;19,8032;21,2009;19,0205;18,2035;18,3436;0,12438;0,712141;-0,321706;-0,3323;
Q5FC71(87);24,4637;23,5549;23,4291;23,5381;18,0799;19,8573;21,9117;21,1497;2,15205;0,0149844;3,49679;4,00904;+
Q5FC71(50);18,4799;21,7987;20,2574;21,0936;23,245;23,0478;24,3309;23,7943;2,21748;0,013556;-3,19708;-4,14264;+
Q5FC71(63);26,6136;26,3489;27,4005;25,299;30,7929;31,0411;30,0853;28,8552;2,92795;0,00336182;-3,7781;-5,77231;+
Q5FC71(64);29,5549;29,2163;30,4315;28,5097;33,0019;34,3821;33,6803;34,1913;3,89321;0,000728395;-4,38581;-8,69411;+
Q5FC71(74);19,7943;21,0468;19,4367;20,404;17,9528;20,2275;19,4644;19,4719;0,734984;0,217472;0,89128;1,50078;
A8WFH7(312);23,6211;23,5293;24,8926;21,5559;25,096;26,4556;26,0217;26,7964;1,86425;0,024727;-2,69268;-3,44782;+
A8WFH7(313);24,8241;25,5737;24,1082;25,2168;26,923;26,1803;25,9857;24,2337;0,66642;0,249656;-0,900007;-1,38426;
A8WFH7(322);25,6825;24,4848;25,3589;24,8275;25,1963;25,8901;25,4429;26,0555;0,839342;0,179125;-0,557796;-1,67596;
H2KYH9(63);20,7237;20,0675;17,4429;19,452;19,7487;17,9815;18,4639;20,7233;0,0730066;0,816302;0,19218;0,203774;
A8WHP8(79);24,747;23,3581;24,4813;22,8435;20,1272;19,2286;21,3475;18,0456;2,6149;0,00651294;4,17028;5,01037;+
A8WHP8(57);20,3088;18,8309;20,8736;20,1694;21,037;16,9152;21,167;18,8475;0,199179;0,597364;0,554017;0,504117;
A8WHP8(68);20,2525;18,8404;21,4177;21,082;18,1382;21,431;19,504;17,8746;0,540739;0,313091;1,16117;1,16587;
A8WHP8(347);19,6517;20,2754;18,9941;20,0007;18,1333;19,0979;18,6337;17,3611;1,66073;0,0366272;1,42397;3,07361;+
A8WHP8(348);20,0624;21,0525;20,3173;20,1972;17,0459;17,4737;20,6031;21,1983;0,573618;0,295683;1,32707;1,22374;
A8WHP8(181);19,0613;20,7369;19,8198;18,4839;18,1265;18,3221;19,3027;17,3529;1,02131;0,126715;1,24944;1,97858;
A8WHP8(154);18,8334;19,0273;19,3204;17,4076;20,8725;21,4506;20,0014;19,4163;1,55332;0,0449984;-1,788;-2,88242;+
A8WHP8(295);22,3757;22,907;23,9468;23,3757;22,5225;21,7908;22,6423;22,012;1,2274;0,0851289;0,909414;2,32259;
A8WHP8(297);19,8836;19,7802;21,1125;19,4498;19,1138;20,0552;19,4904;19,7747;0,491132;0,342276;0,448017;1,07728;
A8WHP8(218);19,7242;19,0992;19,928;19,0498;19,2174;21,6616;20,6503;18,285;0,26517;0,528938;-0,5033;-0,644588;
A9UJN7(555);24,8608;23,0407;25,3476;23,0468;21,8906;23,5375;22,3364;21,3585;1,2475;0,0813767;1,79325;2,35644;
A9UJN7(562);18,8476;19,482;20,0682;18,8977;18,4604;17,0602;20,2056;18,0101;0,582049;0,290581;0,889773;1,23849;
A9UJP1(38);19,8222;18,183;19,6651;18,4251;18,9033;20,3709;18,6678;20,2278;0,36978;0,427668;-0,518602;-0,852216;
A9UJP1(71);20,1119;21,3121;20,6411;20,2592;18,8719;20,8176;18,3692;19,4947;1,04081;0,122346;1,19273;2,01099;
A9UJP1(57);19,1565;20,7972;19,8249;20,207;24,8615;22,8557;25,1966;24,4543;3,36868;0,00163601;-4,3456;-6,98669;+
A9UJP1(73);23,9921;24,2238;24,0388;20,9093;23,8391;23,8874;24,2484;22,8725;0,195587;0,602743;-0,42087;-0,496204;
A9Z1K9(338);20,8244;16,9241;19,3365;20,132;24,0647;23,7384;24,1256;23,4516;2,71939;0,00506072;-4,54086;-5,25633;+
B0M0L8(154);17,5159;19,1286;20,7418;19,3442;24,3909;25,7657;26,1293;24,5924;3,58872;0,0011028;-6,03694;-7,66488;+
B0M0L8(179);25,3796;24,7762;26,8231;25,6267;18,4858;20,3756;19,1893;20,2003;4,2012;0,000502326;6,08868;9,85568;+
B0M0L8(35);18,8071;19,4619;16,2762;20,1926;23,9399;23,6402;23,8659;24,4044;3,05108;0,0028483;-5,27814;-6,09376;+
B0M0L8(98);22,0277;22,7376;23,7708;22,2834;19,1502;21,3765;19,5067;15,6998;1,63725;0,0378709;3,77157;3,03148;+
B0M0N4(102);18,7971;19,062;21,6575;18,8281;18,554;19,3054;20,4548;19,3413;0,0778917;0,805661;0,172277;0,216446;
B0M0N4(3);23,645;23,5373;24,3177;24,6165;24,1034;24,6879;24,4911;23,8903;0,358829;0,437175;-0,264037;-0,831173;
B0M0N4(88);18,1366;19,9326;20,6484;21,2382;22,5049;23,6314;22,1662;21,8206;1,76522;0,0299018;-2,54183;-3,26364;+
B2D6M4(494);19,7694;20,7445;19,7443;19,912;25,6658;25,6644;26,3827;25,3771;5,71375;0;-5,72993;-17,9334;+
B2D6M4(499);18,9094;20,1224;16,3753;20,9512;18,5606;20,6826;22,04;19,2727;0,359336;0,436976;-1,0494;-0,832152;
B2D6P1(119);17,4413;20,5889;20,9487;18,644;21,2714;20,618;20,8077;20,1283;0,741022;0,215438;-1,30063;-1,51098;
B2D6P1(97);20,2365;20,4078;18,3202;18,7563;22,9921;21,1897;22,2918;22,6216;2,32139;0,011341;-2,84361;-4,3599;+
B3CKG1(24);23,4617;23,0401;22,0858;22,5014;18,8264;18,3651;19,2918;18,4032;4,4522;0,000319018;4,05064;10,9033;+
B3WFT8(10);22,7022;21,3557;21,4743;22,1535;22,4824;22,9064;22,5654;22,625;1,16061;0,0977456;-0,723366;-2,2106;
E1B6S9(25);18,345;19,5884;17,9881;19,7795;17,5547;21,765;19,0325;21,2777;0,399664;0,407187;-0,982242;-0,908949;
G5EC65(1032);20,0809;18,0834;19,3113;19,774;18,3909;20,0661;19,6935;17,4703;0,219715;0,573784;0,407201;0,548792;
B3WFW7(70);19,7005;20,3745;18,0215;19,3774;23,1292;26,0271;22,8694;24,6437;2,78972;0,00453088;-4,7989;-5,4265;+
B3WFY5(28);19,32;20,7823;21,242;18,9441;23,5;23,9385;23,5393;24,3298;3,15392;0,00241186;-3,75479;-6,37247;+
B3WFY5(29);23,8211;23,3181;24,1166;21,8166;24,3826;25,9305;25,809;26,0201;1,9117;0,022675;-2,26741;-3,53759;+
B3WFY5(30);19,6776;20,0635;20,6625;19,2994;22,4523;23,791;23,506;24,3395;3,4773;0,00111017;-3,59645;-7,31499;+
B5BM23(908);19,2565;20,5214;20,8073;19,2984;20,4335;18,7878;19,4227;19,9481;0,244272;0,547465;0,322871;0,60104;
B5U8N2(48);20,794;17,0792;20,0665;17,8365;17,4037;19,9347;21,1609;19,8517;0,217349;0,575774;-0,643711;-0,543691;
B5U8N2(360);17,3103;17,1746;20,4174;20,4396;20,9354;18,9103;20,7375;19,2448;0,483847;0,346792;-1,12152;-1,06413;
B5U8N2(491);24,6075;25,1307;23,8537;24,455;22,7243;23,137;24,0986;22,1882;1,65411;0,0370274;1,47468;3,0617;+
B6VQ78(562);23,6962;23,7932;24,0711;23,5058;24,7936;25,0717;25,3417;26,0154;2,76354;0,00484211;-1,53903;-5,3627;+
B6VQ78(569);20,0811;18,7732;18,6893;18,8187;19,0913;20,749;19,4483;19,8817;0,699404;0,232105;-0,701973;-1,44049;
B6VQ78(172);21,297;19,2173;20,187;20,4549;23,5881;23,6613;25,4553;24,3153;3,20591;0,002;-3,96596;-6,51707;+
B6VQ78(176);20,4348;20,9126;19,4002;19,7272;19,7066;19,1923;18,6766;19,3035;1,17578;0,0944017;0,898945;2,23599;
D9PTN8(403);19,1145;19,9017;20,9113;19,8301;18,2814;18,0552;19,9678;18,035;1,20355;0,0893944;1,35455;2,28253;
B7WN71(239);20,3484;18,4317;21,5044;20,1382;23,1647;23,4752;26,9099;24,7369;2,25069;0,0129393;-4,46601;-4,2114;+
B7WN95(52);21,817;20,7137;23,1381;23,0892;20,7585;19,1846;20,8123;21,0274;1,29018;0,0748322;1,7438;2,42854;
B7WNA1(64);19,3637;18,8132;19,8949;19,5884;19,8961;20,3708;20,6711;21,4848;1,58882;0,0418247;-1,19059;-2,94518;+
B9ZSG9(872);21,2892;20,9302;20,5808;19,112;20,4987;18,4029;17,028;17,9701;1,2075;0,0884384;2,00316;2,28916;
C1P636(683);28,1097;27,49;29,1203;26,5139;18,4783;20,067;20,0159;19,1758;4,81344;0;8,37424;12,591;+
C1P636(727);20,6987;20,4937;19,9295;21,1422;17,9534;18,0741;18,7596;19,4827;2,43749;0,00990164;1,99858;4,61042;+
C1P636(864);27,9025;28,8274;29,1852;26,7635;28,8427;28,5983;28,7425;28,1472;0,309449;0,482969;-0,413035;-0,734396;
C1P636(741);19,5016;21,754;20,7256;19,0557;18,4082;18,2486;20,1828;20,7321;0,443715;0,37739;0,866262;0,990927;
C1P636(104);20,6485;18,7298;20,203;20,8085;20,3531;20,2175;19,5885;20,3915;0,027045;0,928032;-0,0401998;-0,078968;
C6KRI9(366);19,2445;18,5205;21,3972;19,5055;19,1637;17,8387;18,4294;19,3799;0,653873;0,25503;0,964018;1,36276;
C6KRJ1(158);23,5737;22,4739;23,5811;22,3814;26,5813;25,9916;26,517;26,9107;4,01329;0,000373702;-3,49765;-9,1317;+
C6KRJ1(190);18,4022;21,0043;20,3874;18,524;19,4496;20,9856;19,8474;20,8095;0,404901;0,403303;-0,693551;-0,918795;
C6KRL2(4);21,1565;19,3807;15,6495;18,3946;18,7797;20,0192;20,3605;20,1768;0,441285;0,379544;-1,18871;-0,986451;
C6KRL2(14);19,3761;18,9591;20,0725;19,869;19,8777;16,6764;19,8447;18,5845;0,469462;0,357208;0,823354;1,03804;
C6KRL2(18);19,2015;20,1216;22,0081;18,1704;19,4769;19,7259;20,5111;18,3891;0,143534;0,67929;0,349631;0,377825;
C6KRN1(3);20,5858;20,6337;21,9644;19,1441;19,9763;19,5928;20,3653;19,8188;0,490168;0,342974;0,643726;1,07554;
C6KRN1(24);19,2687;18,887;21,353;20,6831;18,4955;19,5373;21,2587;17,2448;0,388465;0,413016;0,913879;0,887803;
C7GIK1(69);23,8929;23,3273;24,6225;24,9028;20,3252;19,5685;21,0744;20,6322;3,67137;0,000842105;3,78633;7,93336;+
D0IMZ5(2153);16,1735;19,6873;19,4476;18,1699;19,4306;20,9576;17,2759;19,339;0,341978;0,45375;-0,88121;-0,798509;
D0IMZ5(269);17,7467;20,0903;20,3797;17,9029;20,221;19,4202;20,1358;19,5461;0,503893;0,334992;-0,800859;-1,10023;
D0PV95(599);18,4561;17,4135;18,4195;19,1969;19,5823;20,096;20,1322;20,3444;2,22869;0,013241;-1,66724;-4,16579;+
D0Z5P0(53);21,4034;18,626;19,3887;21,1228;20,2458;18,8091;20,3924;18,9351;0,283024;0,510746;0,53963;0,681181;
D0Z5P0(541);18,9025;20,0222;17,0252;17,7482;21,3789;21,5513;21,9157;21,5353;2,49962;0,00847244;-3,17076;-4,74805;+
D0Z5P0(470);20,3732;18,9264;19,9212;20,9562;21,3433;21,3339;22,127;22,7844;1,81258;0,0270716;-1,85292;-3,35119;+
Q22832(234);23,4199;24,9452;23,9638;25,6489;19,8751;21,241;19,5493;18,5249;3,115;0,00246602;4,69689;6,26586;+
Q22832(235);20,1997;20,919;18,7993;19,2352;19,348;17,1456;20,6451;19,7882;0,257519;0,535481;0,556602;0,628736;
Q22832(492);26,268;25,7124;25,4438;26,2238;24,8869;23,7701;25,6387;25,1417;1,25854;0,0794506;1,05267;2,37505;
Q8WQB8(183);20,2393;19,0665;19,1256;19,5508;23,4443;23,6253;24,1386;23,6197;5,01261;0;-4,21143;-13,6229;+
D3NQB5(149);17,4733;20,7375;21,1524;20,2789;18,254;20,9611;19,0671;20,1875;0,10545;0,749892;0,293097;0,2861;
D3YT77(49);20,7236;19,1327;19,0716;20,6191;17,3798;17,1247;20,9992;19,0978;0,577072;0,293509;1,23639;1,22979;
D3YT77(57);24,9812;25,7894;26,0258;25,9408;19,3181;20,814;19,8466;19,5324;5,12336;0;5,80653;14,2307;+
D4YWC3(77);18,9656;19,0413;19,0164;17,9689;18,2902;18,6151;18,8924;17,4355;0,489548;0,343261;0,439714;1,07442;
D4YWC3(78);22,5813;22,8879;23,0548;26,5052;21,3433;18,9633;21,9357;18,6676;1,53621;0,0467917;3,52979;2,85231;+
D4YWC3(41);24,9194;25,2759;25,5569;24,4396;19,0474;18,9917;20,9751;18,6871;4,17933;0,000477876;5,62261;9,76888;+
D4YWC3(51);20,298;20,6989;18,7604;19,8578;19,9255;21,2079;20,7915;19,7067;0,405171;0,403358;-0,504122;-0,919301;
D4YWC3(59);23,5635;23,6958;25,2668;23,9569;20,6749;19,2268;21,3645;19,768;3,12166;0,00237662;3,8622;6,284;+
