Leading.proteins.Positions.within.proteins;log2 daf2_d10_01;log2 daf2_d10_02;log2 daf2_d10_03;log2 daf2_d10_04;log2 daf2_d5_01;log2 daf2_d5_02;log2 daf2_d5_03;log2 daf2_d5_04; -Log Student's T-test p-value daf2_d10_daf2_d5;Student's T-test q-value daf2_d10_daf2_d5; Student's T-test Difference daf2_d10_daf2_d5;Student's T-test Test statistic daf2_d10_daf2_d5;Sign p-val: 0.05 
B3GWD8(187);19,715;20,1627;19,7253;17,7271;18,6804;19,5573;17,7639;17,7995;0,6034;0,279338;0,882288;1,27568;
B3GWD8(196);20,1273;18,8333;20,6156;20,7385;17,9553;19,3841;18,7385;18,1227;1,51348;0,056308;1,52852;2,81247;
A0A061AD09(37);21,1623;16,0536;21,1649;18,807;19,9716;20,2658;20,3397;16,2634;0,0188415;0,953561;0,0868416;0,0554981;
Q3S1I9(88);19,9088;20,3734;19,7662;18,8902;21,5334;18,8672;17,4174;20,5942;0,0476806;0,888968;0,131581;0,136325;
Q3S1I9(240);23,2732;23,2923;23,206;21,6354;20,6548;18,3746;18,1842;19,5638;2,69537;0,00681034;3,65736;5,19908;+
G5EDF9(7);21,0697;18,4201;20,6069;17,6945;20,7985;18,0818;17,7649;18,1729;0,285938;0,509567;0,74328;0,687102;
G5EDF9(13);24,0194;23,5051;25,0464;23,7446;16,7509;19,2432;19,3601;18,186;3,75275;0,000865385;5,69383;8,20552;+
G5EDF9(521);19,8937;21,4847;18,8163;19,8148;20,5993;20,0415;18,5054;19,6412;0,166884;0,666165;0,305522;0,431831;
A0A0K3AQS9(98);19,4027;19,4408;20,1587;19,7694;19,186;17,8454;17,7487;18,7668;1,7974;0,0350961;1,30619;3,32304;+
A0A0K3AQS9(58);20,1824;19,2693;18,8405;21,6328;18,1117;19,4842;18,0639;21,5604;0,271851;0,525143;0,676199;0,658344;
A0A0K3AQS9(173);25,424;24,6988;25,6331;23,7506;17,5341;20,0035;17,4432;17,5559;3,95918;0,00111801;6,74245;8,93219;+
A0A0K3AQS9(21);17,4171;19,0049;20,6998;19,9796;16,8838;16,3927;18,4173;20,3876;0,501176;0,335057;1,25501;1,09535;
A0A0K3AQS9(160);19,9414;19,855;20,4838;20,5562;20,257;16,6118;17,3617;19,52;1,03733;0,128095;1,77148;2,00519;
A0A0K3AQS9(122);25,5681;25,0337;23,642;24,8307;23,3109;25,2438;23,1944;26,5361;0,0787242;0,823368;0,19734;0,218595;
A0A0K3AQS9(114);23,3335;23,0578;24,5329;24,0537;25,2015;26,0473;26,1266;24,4081;1,74961;0,0381818;-1,70139;-3,23497;+
A0A0K3AQT4(28);19,1955;20,4821;19,6382;21,0684;20,446;17,5303;19,9837;18,2597;0,609127;0,276503;1,0411;1,28561;
A0A0K3AQT4(76);19,8817;19,6654;19,6218;21,3297;17,9544;20,3465;16,8071;19,5737;0,810141;0,190163;1,45421;1,62714;
A0A0K3AQT4(15);24,2532;22,7206;24,6827;28,7903;22,6691;22,8951;25,3383;23,8506;0,445616;0,372798;1,42343;0,994424;
A0A0K3AUF2(802);20,567;18,2231;20,1867;19,3315;17,039;19,5895;18,5096;20,9444;0,229368;0,573945;0,556458;0,569476;
A0A0K3ARB5(19);21,0573;21,1966;18,5223;21,2161;20,9408;18,3172;20,52;16,9115;0,530574;0,316799;1,32567;1,14784;
A0A0K3ARB5(20);19,2534;20,5415;19,9362;19,0259;18,8849;18,4124;17,5616;19,8779;0,851055;0,178221;1,00504;1,69551;
A0A0K3ARB5(6);17,9998;20,2318;21,3301;19,3922;18,536;18,0205;21,1036;20,2126;0,0985863;0,78885;0,270295;0,269031;
A0A0K3AS90(1163);20,1107;18,0673;19,7256;18,0966;19,881;17,3405;19,4837;18,6014;0,0804866;0,819374;0,173428;0,223136;
A0A0K3AWX1(391);21,5002;20,3806;19,1662;19,8254;19,2196;18,3801;18,4417;21,354;0,459079;0,364049;0,869216;1,01911;
A0A0K3AWX1(378);19,925;19,1114;19,1626;18,9364;18,8563;19,7672;17,2134;20,5817;0,086085;0,810685;0,179231;0,237473;
A0A0K3AVS5(10);21,1232;19,1095;19,7508;19,1267;17,4075;19,0627;16,5892;19,7017;0,93957;0,153259;1,58727;1,84281;
A0A0K3AW96(1148);21,0196;20,6994;19,5702;20,2698;17,0466;18,3825;17,123;17,3559;3,242;0,00172152;2,91273;6,61898;+
A0A0K3AW96(1306);20,0866;19,9334;20,0008;19,5752;19,7025;18,7605;18,238;16,5241;1,24672;0,0893116;1,59269;2,35512;
A0A0K3AW96(2799);23,8732;22,4765;24,5949;24,1021;16,9213;17,1014;16,9828;17,8156;4,92115;0;6,5564;13,1396;+
A0A0K3AW96(2725);20,0098;20,8175;21,2674;18,7177;20,5155;18,3212;18,2259;17,1078;0,933325;0,154611;1,66053;1,83244;
A0A0K3AWB0(580);21,586;22,6102;22,6811;23,2896;21,2405;17,61;19,591;17,5333;2,00361;0,0235846;3,54802;3,71445;+
A0A0K3AWB0(588);19,0862;19,5187;18,7934;20,0081;19,3238;18,6485;16,7509;18,2313;0,936686;0,153833;1,11297;1,83802;
A0A0K3AWM6(430);18,642;17,8449;19,9226;19,9562;24,3182;23,8309;23,624;23,8596;3,97255;0,00113208;-4,81673;-8,98112;+
A0A0K3AXE0(11);20,9969;18,7899;21,1534;20,301;19,1827;20,9926;18,2206;18,4044;0,637698;0,261359;1,11023;1,33497;
A0A0K3AXT9(687);22,8941;22,344;24,6749;25,5252;20,0365;18,1778;17,9622;18,7099;2,95658;0,00349239;5,13795;5,84588;+
A0A0K3AXT9(697);24,2244;22,8521;24,6327;24,3917;16,5713;18,6699;15,6548;21,9286;2,15633;0,0185786;5,8191;4,01769;+
A0A0K3AXT9(677);25,6561;25,6449;24,0066;25,766;21,7815;18,3722;17,4835;17,7571;2,99296;0,0033089;6,41985;5,9404;+
A0A0K3AXT9(683);25,2784;24,9528;25,3786;23,1489;21,474;21,7121;20,9384;22,1027;2,79634;0,00524605;3,13285;5,44269;+
A0A0K3AY44(449);23,2163;22,2711;23,9584;23,6835;20,6445;18,7418;18,2268;18,4764;3,17058;0,00190991;4,25997;6,41854;+
A0A0K3AY44(442);21,4988;20,146;20,8879;21,8327;18,0391;19,2965;20,0072;19,8983;1,6463;0,0444645;1,78108;3,04769;+
A0A0K3AY85(173);23,786;24,3051;24,0489;23,9594;22,5305;22,4355;21,8409;22,5664;3,79614;0,000942408;1,6815;8,35386;+
A0A0K3AY85(152);19,064;21,4214;21,1639;19,3277;17,9369;19,0789;18,4545;20,3351;0,804093;0,191922;1,2929;1,61701;
A0A0K3AYE8(172);20,934;20,7191;20,1678;17,7849;27,0043;25,7892;23,7527;24,7778;2,78248;0,00532438;-5,42955;-5,40879;+
A0A0M7RFG7(49);20,6327;18,2446;19,1169;18,3422;18,279;17,1109;18,839;19,5352;0,370718;0,428749;0,643135;0,854013;
A0A0S4XRR1(215);19,3129;17,8661;16,9614;20,35;18,383;18,8496;19,1691;20,1564;0,250853;0,548847;-0,516953;-0,61484;
A0A0T7CIX3(487);19,4338;19,6232;20,969;18,6255;19,0703;17,7684;18,0017;21,3331;0,269407;0,528675;0,61951;0,653321;
A0A0T7CIX3(136);20,7783;20,2916;18,2775;18,6855;19,8083;18,61;17,6294;18,241;0,577376;0,291994;0,936049;1,23032;
A0A0T7CIX3(543);19,919;19,9702;20,7893;20,8758;16,6254;17,3712;18,3318;18,0732;3,03167;0,00315508;2,78818;6,0422;+
A0A131MBQ6(32);18,3731;19,1442;18,3353;19,9703;23,085;23,843;23,8493;23,9922;4,4354;0,000913043;-4,73661;-10,8301;+
A0A131MCJ5(53);18,5752;19,8314;19,8238;21,7129;16,8112;19,2175;17,8232;20,7702;0,58052;0,291027;1,33028;1,23582;
A0A131MD51(18);18,8875;21,6753;19,1331;18,3788;15,6383;17,2765;20,4582;20,3217;0,335374;0,463704;1,09502;0,785609;
O16293(195);18,0751;18,7711;20,6488;21,2028;20,4965;17,461;18,4456;20,8863;0,118437;0,751285;0,352094;0,317931;
O02147(540);19,7207;20,0292;20,1321;18,9615;17,6753;20,5418;20,7526;20,047;0,0194426;0,952497;-0,0432882;-0,0572315;
F3Y5Q3(84);19,6122;20,2148;18,0652;17,908;25,0103;25,9812;23,979;25,2222;3,88321;0,00102273;-6,09813;-8,6585;+
Q9N350(17);20,9087;21,0456;18,8889;20,9297;18,6843;18,4944;16,3741;18,5412;1,72826;0,0396158;2,41973;3,19595;+
Q9N350(179);20,7289;20,8271;17,8641;20,2752;26,0506;24,1159;23,8858;23,7103;2,65847;0,00665263;-4,51685;-5,11194;+
A0A1N7SYR3(844);19,3652;17,6647;19,2261;17,8528;15,4637;19,776;19,0483;18,9576;0,0725792;0,835452;0,215783;0,20266;
A1IMB7(151);21,3843;22,822;22,2066;20,9099;23,842;21,8753;21,3635;25,2033;0,59347;0,284707;-1,24031;-1,25841;
A3QMB7(63);18,1192;20,438;19,7549;19,716;18,4943;17,9493;18,4404;20,374;0,423848;0,386805;0,69252;0,954182;
J7SF86(65);19,4254;17,5702;19,0908;19,8282;19,07;17,8528;15,9237;18,4128;0,668998;0,246682;1,16381;1,38866;
U4PRJ1(143);19,9505;19,02;18,7999;19,6712;17,4956;19,1253;20,5276;18,5927;0,253463;0,545726;0,425114;0,62029;
A5JYX4(101);17,9413;18,9685;20,913;19,7204;19,0347;18,3722;17,9498;17,9467;0,773926;0,20172;1,05994;1,5664;
A5JYX4(81);24,3233;23,7163;25,2255;24,9766;25,1179;24,7363;28,4675;25,764;0,79894;0,192901;-1,461;-1,60838;
A5JYX4(77);16,9215;20,8291;18,5689;17,5726;20,4409;17,8599;18,6158;16,5709;0,0295004;0,930784;0,101125;0,085916;
A5JYX4(130);18,7675;21,2906;19,7683;19,8006;17,7355;20,8947;18,7167;19,7196;0,317216;0,480949;0,640153;0,749839;
A5JYX4(131);19,9208;19,6788;20,624;19,3097;16,8127;17,8255;18,3202;17,4077;2,78624;0,00533632;2,29177;5,41799;+
A5PEY0(153);23,9962;23,2687;23,9294;23,2499;24,0885;22,7041;24,1687;24,9735;0,305404;0,49073;-0,372694;-0,726319;
I2HA81(362);26,6646;26,4748;26,3452;27,645;24,822;25,496;25,6175;24,0186;2,05053;0,0224198;1,79387;3,80632;+
A5Z2W7(48);17,7726;18,2734;20,4585;20,4723;24,2428;23,907;24,9455;23,5612;3,15649;0,00189286;-4,91994;-6,37956;+
A5Z2W7(56);21,5593;17,0292;21,4996;19,307;20,2105;14,3474;17,9709;18,8384;0,568794;0,295946;2,00694;1,21529;
A6PVA5(9);18,9086;21,3799;20,2667;19,8195;20,8349;17,6821;17,1269;18,2947;0,832577;0,184533;1,60903;1,66466;
Q20621(425);22,6514;23,104;23,7628;22,7157;19,1263;16,5937;17,5827;18,7088;3,71393;0,00133333;5,05562;8,07471;+
A7DT41(137);20,1883;19,6343;21,16;19,2958;20,0296;15,0793;18,7321;18,674;0,856231;0,177147;1,94083;1,70414;
A7DT41(240);20,2723;20,4241;19,2049;19,9651;21,1173;18,8486;15,9781;18,392;0,60075;0,28065;1,3826;1,27107;
A7DT41(165);20,1812;18,7859;19,2332;21,1964;16,7221;18,8498;21,0873;18,8114;0,418449;0,390497;0,981504;0,944134;
A7DT41(223);20,1459;20,6361;20,3375;19,084;21,6784;21,8198;22,3841;20,8957;1,94568;0,0264741;-1,64365;-3,6025;+
A7DT41(158);18,0656;19,5896;17,8924;19,941;19,8239;17,6665;18,8585;17,2972;0,240089;0,561073;0,460607;0,592225;
A7DT41(262);20,0623;20,6884;17,9407;19,6798;17,9234;19,2442;19,9297;18,7569;0,378488;0,421772;0,629277;0,86885;
Q9XWW2(238);19,5653;20,4783;20,4591;20,9831;19,2714;18,2567;17,4975;16,6185;2,08182;0,0218771;2,46043;3,86823;+
Q9XWW2(276);19,6154;17,6361;21,7057;19,5465;19,697;17,1417;17,8927;18,2445;0,673946;0,244787;1,38196;1,39712;
A7LPD6(582);18,2726;18,4019;21,0619;20,4002;19,0002;19,8925;15,6092;20,0064;0,305468;0,490801;0,907048;0,726447;
A7LPD6(545);21,1354;18,4259;17,9262;18,2997;17,4404;20,4334;14,4332;15,3696;0,637136;0,261254;2,02767;1,334;
A7LPE6(329);21,398;19,5393;21,908;19,5867;19,3542;18,0642;17,03;17,5164;1,78896;0,0354882;2,61681;3,30741;+
Q5FC71(99);18,5302;20,0445;17,1038;19,8032;19,7067;17,1465;17,943;18,0799;0,319572;0,478617;0,651388;0,754505;
Q5FC71(87);24,4637;23,5549;23,4291;23,5381;18,7688;16,6564;18,0709;16,9071;4,50537;0;6,14564;11,1378;+
Q5FC71(50);18,4799;21,7987;20,2574;21,0936;23,9384;25,3617;23,8403;24,2831;2,59351;0,00756823;-3,94843;-4,96099;+
Q5FC71(63);26,6136;26,3489;27,4005;25,299;27,855;28,1488;28,5958;28,1301;2,06697;0,0220501;-1,76692;-3,8388;+
Q5FC71(64);29,5549;29,2163;30,4315;28,5097;29,4493;30,9056;30,3057;30,0428;0,730955;0,218515;-0,747764;-1,49397;
Q5FC71(74);19,7943;21,0468;19,4367;20,404;20,2914;17,1102;18,526;17,7471;1,19252;0,0960816;1,75178;2,26402;
A8WFH7(312);23,6211;23,5293;24,8926;21,5559;23,9877;22,8495;23,6823;22,8308;0,0284763;0,931467;0,0621767;0,0830223;
A8WFH7(313);24,8241;25,5737;24,1082;25,2168;22,9005;24,0089;23,7107;23,8066;1,80238;0,0348886;1,324;3,33226;+
A8WFH7(322);25,6825;24,4848;25,3589;24,8275;18,9813;19,3075;18,9286;18,4037;5,85457;0;6,18316;18,945;+
H2KYH9(63);20,7237;20,0675;17,4429;19,452;18,6498;17,7428;16,4725;15,2186;1,23105;0,091709;2,40063;2,32874;
A8WHP8(79);24,747;23,3581;24,4813;22,8435;26,0294;24,7471;24,907;23,8113;0,784347;0,198634;-1,01618;-1,5839;
A8WHP8(57);20,3088;18,8309;20,8736;20,1694;15,5163;17,5576;17,6535;19,4812;1,45751;0,0621057;2,49354;2,71501;
A8WHP8(68);20,2525;18,8404;21,4177;21,082;20,2686;18,3918;14,7708;19,9943;0,71677;0,224169;2,04178;1,46996;
A8WHP8(347);19,6517;20,2754;18,9941;20,0007;20,6282;18,4059;16,4887;17,2777;0,809168;0,190152;1,53035;1,62551;
A8WHP8(348);20,0624;21,0525;20,3173;20,1972;21,0153;18,0229;18,6256;20,412;0,555822;0,30202;0,888412;1,19249;
A8WHP8(181);19,0613;20,7369;19,8198;18,4839;16,5976;17,2555;19,7883;16,6368;1,14023;0,105934;1,95594;2,17655;
A8WHP8(154);18,8334;19,0273;19,3204;17,4076;25,0651;26,5482;23,9107;25,0196;4,09196;0,0006;-6,48875;-9,42885;+
A8WHP8(295);22,3757;22,907;23,9468;23,3757;24,8824;23,3085;21,8038;23,8712;0,168223;0,664246;-0,315167;-0,434882;
A8WHP8(297);19,8836;19,7802;21,1125;19,4498;20,0211;16,5059;19,6575;18,4134;0,801364;0,192303;1,40706;1,61244;
A8WHP8(218);19,7242;19,0992;19,928;19,0498;19,5366;18,9367;16,8134;18,2423;0,856836;0,176888;1,06802;1,70515;
A9UJN7(555);24,8608;23,0407;25,3476;23,0468;18,9089;16,6535;17,3624;19,9964;3,03585;0,00316354;5,84369;6,05329;+
A9UJN7(562);18,8476;19,482;20,0682;18,8977;20,1647;18,6402;17,7242;18,8989;0,345655;0,454065;0,46687;0,805667;
A9UJP1(38);19,8222;18,183;19,6651;18,4251;17,9283;21,3924;18,0323;19,5474;0,0793655;0,821768;-0,201257;-0,220249;
A9UJP1(71);20,1119;21,3121;20,6411;20,2592;17,4413;20,1311;16,9306;17,3385;1,81853;0,0340863;2,62072;3,36228;+
A9UJP1(57);19,1565;20,7972;19,8249;20,207;19,8127;17,8057;19,3341;20,2748;0,49415;0,33898;0,689562;1,08272;
A9UJP1(73);23,9921;24,2238;24,0388;20,9093;17,9886;17,778;18,324;17,9868;3,22158;0,001825;5,27165;6,56117;+
A9Z1K9(338);20,8244;16,9241;19,3365;20,132;18,1301;20,0545;18,6864;19,4421;0,0863544;0,810667;0,225941;0,23816;
B0M0L8(154);17,5159;19,1286;20,7418;19,3442;18,0832;16,4154;17,3837;19,1975;0,793777;0,195082;1,41269;1,59972;
B0M0L8(179);25,3796;24,7762;26,8231;25,6267;24,6997;22,9772;24,0043;23,8997;1,70646;0,0406659;1,75618;3,15625;+
B0M0L8(35);18,8071;19,4619;16,2762;20,1926;19,7149;17,9595;18,0715;18,7319;0,0235588;0,942708;0,0650196;0,0690429;
B0M0L8(98);22,0277;22,7376;23,7708;22,2834;17,4149;18,5739;18,5097;19,7088;3,32331;0,00139661;4,15305;6,85316;+
B0M0N4(102);18,7971;19,062;21,6575;18,8281;18,4716;16,5904;17,2929;21,5418;0,373243;0,426066;1,11199;0,858842;
B0M0N4(3);23,645;23,5373;24,3177;24,6165;23,3067;22,962;20,647;23,3457;1,09617;0,116018;1,46381;2,10307;
B0M0N4(88);18,1366;19,9326;20,6484;21,2382;19,4698;19,3389;19,1964;20,0044;0,292177;0,502981;0,486607;0,699737;
B2D6M4(494);19,7694;20,7445;19,7443;19,912;25,2964;24,643;23,4756;23,7722;3,95024;0,00109091;-4,25424;-8,89959;+
B2D6M4(499);18,9094;20,1224;16,3753;20,9512;20,0384;18,987;18,634;18,2785;0,0339794;0,920841;0,105111;0,0985019;
B2D6P1(119);17,4413;20,5889;20,9487;18,644;18,8033;18,9855;17,1526;18,3365;0,545777;0,307723;1,08624;1,17477;
B2D6P1(97);20,2365;20,4078;18,3202;18,7563;16,4583;17,7869;16,6166;19,8956;0,933074;0,154616;1,74083;1,83202;
B3CKG1(24);23,4617;23,0401;22,0858;22,5014;22,1512;22,4292;23,1817;22,2618;0,291987;0,502971;0,266276;0,699351;
B3WFT8(10);22,7022;21,3557;21,4743;22,1535;23,7907;23,3437;22,6138;24,1685;1,83734;0,0327887;-1,55773;-3,39735;+
E1B6S9(25);18,345;19,5884;17,9881;19,7795;20,0604;18,5421;18,2087;17,9884;0,131281;0,727704;0,225348;0,348836;
G5EC65(1032);20,0809;18,0834;19,3113;19,774;17,6085;21,5815;18,2598;20,1804;0,032518;0,923902;-0,0951567;-0,0944077;
B3WFW7(70);19,7005;20,3745;18,0215;19,3774;16,9503;18,0369;19,4504;19,9794;0,396333;0,406835;0,764215;0,902674;
B3WFY5(28);19,32;20,7823;21,242;18,9441;16,5449;18,2842;18,7127;20,5999;0,755126;0,209375;1,53668;1,53477;
B3WFY5(29);23,8211;23,3181;24,1166;21,8166;18,7586;19,4052;18,8725;19,8658;3,39771;0,00146619;4,0426;7,07323;+
B3WFY5(30);19,6776;20,0635;20,6625;19,2994;19,9826;18,4677;18,3284;16,243;1,05416;0,124472;1,67033;2,03318;
B5BM23(908);19,2565;20,5214;20,8073;19,2984;26,1089;25,7739;28,2667;27,87;4,10204;0,000608696;-7,03399;-9,46751;+
B5U8N2(48);20,794;17,0792;20,0665;17,8365;17,2964;19,4821;17,8265;21,8554;0,0440236;0,896815;-0,171042;-0,126327;
B5U8N2(360);17,3103;17,1746;20,4174;20,4396;19,7921;18,4121;19,3331;21,5999;0,360131;0,43873;-0,948817;-0,833683;
B5U8N2(491);24,6075;25,1307;23,8537;24,455;18,0863;16,8069;18,4124;16,8285;5,10321;0;6,97817;14,1183;+
B6VQ78(562);23,6962;23,7932;24,0711;23,5058;19,2295;18,3622;18,3819;18,3734;6,14206;0;5,1798;21,1854;+
B6VQ78(569);20,0811;18,7732;18,6893;18,8187;19,0642;20,5474;18,8067;18,1017;0,0219435;0,947182;-0,0394135;-0,0644201;
B6VQ78(172);21,297;19,2173;20,187;20,4549;16,8218;19,9147;18,4577;19,9625;0,883064;0,16822;1,49988;1,74885;
B6VQ78(176);20,4348;20,9126;19,4002;19,7272;16,7263;16,0561;19,4134;21,0679;0,722542;0,221949;1,80277;1,47974;
D9PTN8(403);19,1145;19,9017;20,9113;19,8301;19,72;18,6937;15,0437;19,828;0,657902;0,252088;1,61802;1,36967;
B7WN71(239);20,3484;18,4317;21,5044;20,1382;20,1295;18,1714;16,6277;18,0424;0,999839;0,137411;1,86291;1,94291;
B7WN95(52);21,817;20,7137;23,1381;23,0892;18,6603;20,1285;18,2966;20,4123;1,94359;0,0265578;2,81506;3,5985;+
B7WNA1(64);19,3637;18,8132;19,8949;19,5884;16,8647;19,0305;16,9214;17,6808;1,74969;0,0382282;1,79072;3,23512;+
B9ZSG9(872);21,2892;20,9302;20,5808;19,112;20,5432;18,5417;16,7774;17,5947;1,18179;0,0980129;2,11381;2,24605;
C1P636(683);28,1097;27,49;29,1203;26,5139;17,3157;18,8478;18,1833;21,483;3,81397;0,000972973;8,85102;8,41545;+
C1P636(727);20,6987;20,4937;19,9295;21,1422;18,7508;19,4518;18,9647;18,3812;2,60538;0,00747325;1,67888;4,98835;+
C1P636(864);27,9025;28,8274;29,1852;26,7635;25,1877;25,0023;23,1957;25,4774;2,44158;0,0105896;3,45385;4,61941;+
C1P636(741);19,5016;21,754;20,7256;19,0557;18,2157;17,5293;18,0968;18,5673;1,80167;0,034845;2,15692;3,33094;+
C1P636(104);20,6485;18,7298;20,203;20,8085;18,1637;16,9372;18,2516;18,6327;1,89484;0,0292754;2,10115;3,50558;+
C6KRI9(366);19,2445;18,5205;21,3972;19,5055;20,1961;17,7619;16,2799;16,1577;0,939981;0,153293;2,06805;1,8435;
C6KRJ1(158);23,5737;22,4739;23,5811;22,3814;22,8552;24,3563;24,4903;25,2138;1,06809;0,121447;-1,22636;-2,05633;
C6KRJ1(190);18,4022;21,0043;20,3874;18,524;17,9909;18,3753;18,5884;18,469;0,929975;0,155104;1,2236;1,82687;
C6KRL2(4);21,1565;19,3807;15,6495;18,3946;18,5573;19,2276;18,4827;18,1175;0,0141206;0,962947;0,0490632;0,041807;
C6KRL2(14);19,3761;18,9591;20,0725;19,869;18,0508;19,8054;17,1838;19,3248;0,740059;0,214679;0,977985;1,50936;
C6KRL2(18);19,2015;20,1216;22,0081;18,1704;21,1684;19,499;17,901;19,3144;0,146079;0,701353;0,404678;0,38379;
C6KRN1(3);20,5858;20,6337;21,9644;19,1441;18,4859;16,9813;17,0374;21,0926;1,00126;0,136962;2,1827;1,94527;
C6KRN1(24);19,2687;18,887;21,353;20,6831;16,6547;18,5443;16,0815;17,7385;1,8856;0,0296737;2,7932;3,48809;+
C7GIK1(69);23,8929;23,3273;24,6225;24,9028;22,2257;21,9651;21,0796;22,2299;2,67449;0,00675214;2,31132;5,14966;+
D0IMZ5(2153);16,1735;19,6873;19,4476;18,1699;23,3442;22,874;23,689;23,8896;3,04886;0,00320652;-5,07964;-6,08785;+
D0IMZ5(269);17,7467;20,0903;20,3797;17,9029;18,0171;17,2613;18,8579;20,5255;0,139487;0,71203;0,364476;0,368303;
D0PV95(599);18,4561;17,4135;18,4195;19,1969;18,456;19,6768;17,2619;17,5595;0,0727481;0,835208;0,132913;0,2031;
D0Z5P0(53);21,4034;18,626;19,3887;21,1228;20,0418;18,9095;19,3082;18,7228;0,568128;0,296239;0,889622;1,21412;
D0Z5P0(541);18,9025;20,0222;17,0252;17,7482;21,092;16,867;20,6727;19,494;0,425669;0,385801;-1,10691;-0,957566;
D0Z5P0(470);20,3732;18,9264;19,9212;20,9562;17,5716;16,7928;19,0841;19,1684;1,39688;0,0700213;1,89003;2,61043;
Q22832(234);23,4199;24,9452;23,9638;25,6489;22,2082;20,8246;22,7351;21,787;2,17909;0,0181286;2,60571;4,06396;+
Q22832(235);20,1997;20,919;18,7993;19,2352;23,3504;23,7692;24,3282;21,7121;2,49863;0,00905222;-3,50162;-4,74584;+
Q22832(492);26,268;25,7124;25,4438;26,2238;24,3427;24,89;26,2767;24,6906;0,936014;0,154022;0,862038;1,83691;
Q8WQB8(183);20,2393;19,0665;19,1256;19,5508;19,0928;19,653;20,7014;19,2429;0,149211;0,696208;-0,176967;-0,391102;
D3NQB5(149);17,4733;20,7375;21,1524;20,2789;18,6507;19,1449;18,6933;18,5377;0,657928;0,252193;1,15387;1,36972;
D3YT77(49);20,7236;19,1327;19,0716;20,6191;18,895;18,6118;18,0457;18,1619;1,58962;0,0491216;1,45814;2,9466;+
D3YT77(57);24,9812;25,7894;26,0258;25,9408;16,7591;19,3226;19,0201;18,46;4,64069;0;7,29385;11,7558;+
D4YWC3(77);18,9656;19,0413;19,0164;17,9689;16,022;19,0653;18,9861;20,6764;0,0205106;0,949883;0,0605698;0,060306;
D4YWC3(78);22,5813;22,8879;23,0548;26,5052;24,0681;23,6399;22,6042;25,1474;0,0350254;0,917832;-0,107616;-0,101425;
D4YWC3(41);24,9194;25,2759;25,5569;24,4396;24,2521;21,9631;22,8151;24,209;1,53689;0,0544957;1,73815;2,85351;
D4YWC3(51);20,298;20,6989;18,7604;19,8578;18,2788;19,6474;18,75;17,5209;1,16521;0,101363;1,3545;2,2183;
D4YWC3(59);23,5635;23,6958;25,2668;23,9569;26,5906;26,2906;23,7506;27,1432;1,12497;0,109033;-1,823;-2,15108;
D4YWC3(68);20,9155;19,6688;18,7436;20,1855;23,4818;24,1974;23,928;24,2857;3,792;0,000927835;-4,09486;-8,33959;+
