Leading.proteinsPositions.within.proteins;log2 daf2_d10_01;log2 daf2_d10_02;log2 daf2_d10_03;log2 daf2_d10_04;log2 eat2_d10_01;log2 eat2_d10_02;log2 eat2_d10_03;log2 eat2_d10_04; -Log Student's T-test p-value daf2_d10_eat2_d10;Student's T-test q-value  daf2_d10_eat2_d10; Student's T-test Difference  daf2_d10_eat2_d10;Student's T-test Test statistic  daf2_d10_eat2_d10;Sign p-val: 0.05 
A0A0K3ARB5(19);21,0573;21,1966;18,5223;21,2161;21,609;20,8408;21,8861;20,5913;0,453222;0,230881;-0,733738;-1,00839;
A0A0K3ARB5(20);19,2534;20,5415;19,9362;19,0259;21,2273;20,5009;21,4646;21,4434;1,93092;0,00767036;-1,4698;-3,57424;+
A0A0K3ARB5(6);17,9998;20,2318;21,3301;19,3922;21,937;21,1124;20,9654;20,7929;1,01;0,0532703;-1,46343;-1,95979;
A0A0K3AS90(1163);20,1107;18,0673;19,7256;18,0966;20,9082;21,122;21,1568;20,9118;2,02143;0,00640134;-2,02464;-3,74921;+
A0A0K3AWX1(391);21,5002;20,3806;19,1662;19,8254;19,1487;19,1621;19,4934;21,5572;0,195856;0,507106;0,377738;0,496799;
A0A0K3AWX1(378);19,925;19,1114;19,1626;18,9364;21,5672;21,1885;21,1196;19,909;2,12208;0,0053059;-1,66219;-3,94863;+
A0A0K3AVS5(10);21,1232;19,1095;19,7508;19,1267;21,7;21,6957;20,974;24,552;1,42472;0,0213209;-2,45288;-2,65833;+
A0A0K3AW96(1148);21,0196;20,6994;19,5702;20,2698;19,2831;21,4545;21,0872;20,1488;0,0634332;0,805604;-0,103631;-0,178632;
A0A0K3AW96(1306);20,0866;19,9334;20,0008;19,5752;21,8725;22,6179;22,3776;25,1033;2,26592;0,00435902;-3,09385;-4,24314;+
A0A0K3AW96(2799);23,8732;22,4765;24,5949;24,1021;25,1462;24,6493;24,692;27,2157;1,15124;0,0385832;-1,66412;-2,19494;+
A0A0K3AW96(2725);20,0098;20,8175;21,2674;18,7177;20,7563;20,4282;19,8578;20,941;0,189013;0,519737;-0,292695;-0,481642;
A0A0K3AWB0(580);21,586;22,6102;22,6811;23,2896;25,5725;24,3052;25,0771;22,2245;1,12037;0,0410735;-1,75312;-2,14341;+
A0A0K3AWB0(588);19,0862;19,5187;18,7934;20,0081;23,8979;21,6642;22,6713;24,1166;2,99063;0,00117288;-3,73588;-5,93432;+
A0A0K3AWM6(430);18,642;17,8449;19,9226;19,9562;24,0193;22,7022;23,4581;24,3906;3,43489;0,000791774;-4,55113;-7,18533;+
A0A0K3AXE0(11);20,9969;18,7899;21,1534;20,301;21,8016;21,4159;20,7756;20,7887;0,726863;0,11121;-0,885145;-1,48705;
A0A0K3AXT9(687);22,8941;22,344;24,6749;25,5252;25,1956;24,653;25,5209;27,6707;0,978136;0,0577523;-1,90052;-1,90687;
A0A0K3AXT9(697);24,2244;22,8521;24,6327;24,3917;25,0797;24,7756;24,7697;24,4968;0,919728;0,0666471;-0,755221;-1,80984;
A0A0K3AXT9(677);25,6561;25,6449;24,0066;25,766;26,0959;24,4763;24,2506;21,3527;0,526877;0,187533;1,22453;1,14127;
A0A0K3AXT9(683);25,2784;24,9528;25,3786;23,1489;26,3155;25,2737;26,0163;27,2178;1,21516;0,0335987;-1,51616;-2,30202;+
A0A0K3AY44(449);23,2163;22,2711;23,9584;23,6835;24,2352;23,7219;23,3627;24,0361;0,638599;0,140496;-0,556623;-1,33652;
A0A0K3AY44(442);21,4988;20,146;20,8879;21,8327;21,8303;20,0851;21,8749;20,5794;0,00060598;0,997999;-0,00106287;-0,00182157;
A0A0K3AY85(173);23,786;24,3051;24,0489;23,9594;25,6122;25,825;26,0679;26,1032;4,67226;0;-1,8772;-11,9045;+
A0A0K3AY85(152);19,064;21,4214;21,1639;19,3277;23,7861;22,021;23,9979;24,2543;2,20808;0,00481203;-3,27055;-4,12331;+
A0A0K3AYE8(172);20,934;20,7191;20,1678;17,7849;26,121;25,6112;25,8081;21,1966;1,88256;0,00821214;-4,78281;-3,48235;+
A0A0M7RFG7(49);20,6327;18,2446;19,1169;18,3422;21,7591;21,1896;21,4763;20,8821;2,07056;0,00581976;-2,24263;-3,84589;+
A0A0S4XRR1(215);19,3129;17,8661;16,9614;20,35;24,166;23,9745;23,9467;20,7393;2,20097;0,00491557;-4,58404;-4,1087;+
A0A0T7CIX3(487);19,4338;19,6232;20,969;18,6255;20,4987;20,0837;21,739;21,0109;0,998693;0,0548464;-1,17022;-1,94101;
A0A0T7CIX3(136);20,7783;20,2916;18,2775;18,6855;24,1973;23,9414;23,847;25,0905;3,40924;0,0008867;-4,76084;-7,10783;+
A0A0T7CIX3(543);19,919;19,9702;20,7893;20,8758;20,1071;21,4045;20,7955;21,4149;0,64332;0,139041;-0,541916;-1,34464;
A0A131MBQ6(32);18,3731;19,1442;18,3353;19,9703;23,0821;23,0649;23,9164;24,2107;4,11755;0,000670807;-4,61275;-9,52732;+
A0A131MCJ5(53);18,5752;19,8314;19,8238;21,7129;19,6342;20,8798;20,8945;20,8499;0,34614;0,316766;-0,578753;-0,806609;
A0A131MD51(18);18,8875;21,6753;19,1331;18,3788;22,2376;21,4953;21,898;21,6791;1,65672;0,0128733;-2,30882;-3,0664;+
O16293(195);18,0751;18,7711;20,6488;21,2028;21,883;19,9637;21,2698;21,1131;0,814873;0,08836;-1,38299;-1,63506;
O02147(540);19,7207;20,0292;20,1321;18,9615;23,2088;22,1552;23,2034;24,8589;2,97641;0,00115526;-3,64566;-5,89728;+
F3Y5Q3(84);19,6122;20,2148;18,0652;17,908;20,5106;20,4482;21,1887;21,2719;1,68578;0,0123786;-1,90481;-3,11879;+
Q9N350(17);20,9087;21,0456;18,8889;20,9297;24,572;23,526;25,1125;20,0426;1,20992;0,033953;-2,87005;-2,29322;+
Q9N350(179);20,7289;20,8271;17,8641;20,2752;24,3225;24,0131;23,8334;22,6783;2,53666;0,00230806;-3,78797;-4,83134;+
A0A1N7SYR3(844);19,3652;17,6647;19,2261;17,8528;21,9554;20,7005;21,2447;21,1244;2,72971;0,00186813;-2,72906;-5,28105;+
A1IMB7(151);21,3843;22,822;22,2066;20,9099;22,3304;21,6851;23,3765;20,1465;0,0230323;0,925587;-0,053947;-0,0675379;
A3QMB7(63);18,1192;20,438;19,7549;19,716;21,8719;19,609;20,6555;20,5194;0,85991;0,0785666;-1,1569;-1,71027;
J7SF86(65);19,4254;17,5702;19,0908;19,8282;19,806;19,4739;20,628;19,5981;0,800602;0,0919203;-0,897882;-1,61116;
U4PRJ1(143);19,9505;19,02;18,7999;19,6712;21,5834;20,6769;19,9835;20,86;1,79985;0,00975314;-1,41554;-3,32758;+
A5JYX4(101);17,9413;18,9685;20,913;19,7204;21,6294;22,8169;21,5663;24,8026;1,82749;0,0091934;-3,31801;-3,37897;+
A5JYX4(81);24,3233;23,7163;25,2255;24,9766;25,3725;25,0324;24,7491;25,1401;0,682561;0,125365;-0,51312;-1,41182;
A5JYX4(77);16,9215;20,8291;18,5689;17,5726;20,8163;21,0768;21,1777;21,5562;1,66897;0,0127535;-2,68371;-3,08845;+
A5JYX4(130);18,7675;21,2906;19,7683;19,8006;19,8254;20,2988;21,3845;20,4238;0,415438;0,257028;-0,576372;-0,938518;
A5JYX4(131);19,9208;19,6788;20,624;19,3097;20,5262;21,2221;21,5318;19,8052;0,958055;0,0602769;-0,888037;-1,87352;
A5PEY0(153);23,9962;23,2687;23,9294;23,2499;25,1976;23,7598;25,1641;22,4747;0,337036;0,324768;-0,538033;-0,788861;
I2HA81(362);26,6646;26,4748;26,3452;27,645;25,8246;25,8714;27,0083;25,9346;0,747253;0,105612;0,622679;1,5215;
A5Z2W7(48);17,7726;18,2734;20,4585;20,4723;24,6619;24,5041;23,8225;20,9875;2,05661;0,00593282;-4,24981;-3,81832;+
A5Z2W7(56);21,5593;17,0292;21,4996;19,307;24,5632;25,1548;24,4441;20,8372;1,43516;0,0206808;-3,90107;-2,67634;+
A6PVA5(9);18,9086;21,3799;20,2667;19,8195;22,4739;20,8005;21,6686;24,5479;1,2699;0,0301041;-2,27906;-2,39424;+
Q20621(425);22,6514;23,104;23,7628;22,7157;26,0135;25,5235;25,7943;21,1307;0,620075;0,146728;-1,55702;-1,30457;
A7DT41(137);20,1883;19,6343;21,16;19,2958;20,9843;20,4114;19,2772;19,7172;0,0170598;0,945496;-0,0279336;-0,0503472;
A7DT41(240);20,2723;20,4241;19,2049;19,9651;21,2109;21,1785;21,7718;19,4215;0,799027;0,0923374;-0,92905;-1,60853;
A7DT41(165);20,1812;18,7859;19,2332;21,1964;21,0691;21,0397;18,0407;20,128;0,0900453;0,734491;-0,22019;-0,247537;
A7DT41(223);20,1459;20,6361;20,3375;19,084;20,9703;21,2433;20,2388;20,764;0,966775;0,0591789;-0,753252;-1,888;
A7DT41(158);18,0656;19,5896;17,8924;19,941;20,9853;20,5556;19,6077;20,4815;1,37585;0,0238259;-1,53538;-2,57437;+
A7DT41(262);20,0623;20,6884;17,9407;19,6798;20,6182;21,3027;21,5734;20,5954;1,17846;0,0363344;-1,4296;-2,24048;+
Q9XWW2(238);19,5653;20,4783;20,4591;20,9831;21,5353;21,0868;20,6244;20,2584;0,586783;0,159974;-0,504769;-1,24676;
Q9XWW2(276);19,6154;17,6361;21,7057;19,5465;20,5101;21,3649;19,961;19,6619;0,353696;0,308749;-0,748557;-0,821261;
A7LPD6(582);18,2726;18,4019;21,0619;20,4002;20,99;20,6424;20,0063;21,5853;0,81462;0,0884175;-1,27188;-1,63464;
A7LPD6(545);21,1354;18,4259;17,9262;18,2997;24,1857;24,8905;25,0602;28,2262;2,90578;0,00119108;-6,64383;-5,71578;+
A7LPE6(329);21,398;19,5393;21,908;19,5867;21,4304;20,3817;21,5546;19,9708;0,115912;0,670161;-0,226338;-0,311788;
Q5FC71(99);18,5302;20,0445;17,1038;19,8032;20,7822;21,4339;21,8781;19,5548;1,28453;0,0293425;-2,04182;-2,41897;+
Q5FC71(87);24,4637;23,5549;23,4291;23,5381;21,4626;20,0995;21,0815;20,7424;3,6019;0,000646341;2,89995;7,70715;+
Q5FC71(50);18,4799;21,7987;20,2574;21,0936;27,8768;27,0131;26,4436;27,0602;3,87953;0,000442623;-6,69101;-8,64545;+
Q5FC71(63);26,6136;26,3489;27,4005;25,299;27,6564;26,5632;27,0377;25,0677;0,0855283;0,746575;-0,165736;-0,236053;
Q5FC71(64);29,5549;29,2163;30,4315;28,5097;33,3555;33,4188;33,6814;28,1987;1,02148;0,0515924;-2,73554;-1,97886;
Q5FC71(74);19,7943;21,0468;19,4367;20,404;24,2607;23,9958;24,6922;27,0456;3,08137;0,00105606;-4,82814;-6,17485;+
A8WFH7(312);23,6211;23,5293;24,8926;21,5559;25,0506;25,2506;24,5741;21,1438;0,202134;0,496247;-0,605035;-0,510605;
A8WFH7(313);24,8241;25,5737;24,1082;25,2168;25,379;25,1923;26,3474;23,1536;0,0409783;0,873503;-0,0873876;-0,117947;
A8WFH7(322);25,6825;24,4848;25,3589;24,8275;24,3052;24,029;24,2603;23,6969;1,82182;0,00935922;1,0156;3,3684;+
H2KYH9(63);20,7237;20,0675;17,4429;19,452;21,5225;21,0172;20,8943;20,5508;1,11656;0,0415503;-1,57466;-2,13705;+
A8WHP8(79);24,747;23,3581;24,4813;22,8435;23,025;25,3287;22,4559;24,5313;0,00933109;0,970721;0,0222936;0,0277735;
A8WHP8(57);20,3088;18,8309;20,8736;20,1694;21,2604;21,5089;21,1721;21,0287;1,44563;0,0200226;-1,19684;-2,69444;+
A8WHP8(68);20,2525;18,8404;21,4177;21,082;21,7246;21,272;21,3048;20,635;0,649954;0,136639;-0,835991;-1,35604;
A8WHP8(347);19,6517;20,2754;18,9941;20,0007;21,8548;21,3014;21,8023;21,4422;3,0423;0,00102098;-1,86972;-6,07038;+
A8WHP8(348);20,0624;21,0525;20,3173;20,1972;22,8721;21,7956;23,8906;22,2759;2,42268;0,0031;-2,30121;-4,57799;+
A8WHP8(181);19,0613;20,7369;19,8198;18,4839;20,5827;19,1302;20,1471;21,2666;0,527374;0,187262;-0,756133;-1,14216;
A8WHP8(154);18,8334;19,0273;19,3204;17,4076;20,0063;20,9434;21,6443;19,7249;1,70737;0,0118621;-1,93256;-3,15792;+
A8WHP8(295);22,3757;22,907;23,9468;23,3757;23,6495;23,3839;23,9651;23,4029;0,584697;0,160733;-0,449028;-1,24312;
A8WHP8(297);19,8836;19,7802;21,1125;19,4498;22,4982;22,8863;22,7306;20,3378;1,58644;0,0148372;-2,05668;-2,94095;+
A8WHP8(218);19,7242;19,0992;19,928;19,0498;21,7567;20,974;21,275;21,41;3,35298;0,000837209;-1,90365;-6,94025;+
A9UJN7(555);24,8608;23,0407;25,3476;23,0468;21,6307;21,1563;21,0618;19,4438;2,25973;0,00437173;3,25083;4,23021;+
A9UJN7(562);18,8476;19,482;20,0682;18,8977;21,7606;21,2241;20,6012;21,0253;2,56007;0,00211165;-1,82895;-4,88446;+
A9UJP1(38);19,8222;18,183;19,6651;18,4251;20,8337;20,2516;21,7994;21,1831;2,02652;0,00636577;-1,99309;-3,75918;+
A9UJP1(71);20,1119;21,3121;20,6411;20,2592;21,6074;19,6301;21,3168;19,7908;0,00300972;0,99173;-0,00519943;-0,00902234;
A9UJP1(57);19,1565;20,7972;19,8249;20,207;25,4615;25,1134;25,633;27,1141;4,34072;0;-5,83413;-10,4261;+
A9UJP1(73);23,9921;24,2238;24,0388;20,9093;25,1295;24,9643;25,4021;23,0182;0,668426;0,130194;-1,33756;-1,38769;
A9Z1K9(338);20,8244;16,9241;19,3365;20,132;20,5842;20,7323;21,317;20,6205;0,878679;0,0749788;-1,50925;-1,74155;
B0M0L8(154);17,5159;19,1286;20,7418;19,3442;20,6987;20,7027;20,309;20,7099;1,11192;0,0418679;-1,42242;-2,12932;+
B0M0L8(179);25,3796;24,7762;26,8231;25,6267;24,7927;25,2357;25,4779;26,086;0,197128;0,504535;0,253342;0,499603;
B0M0L8(35);18,8071;19,4619;16,2762;20,1926;20,7058;19,7031;21,8011;20,5861;1,10183;0,0431682;-2,01456;-2,1125;+
B0M0L8(98);22,0277;22,7376;23,7708;22,2834;25,474;25,5772;24,6546;21,5552;0,78293;0,0950047;-1,61038;-1,58153;
B0M0N4(102);18,7971;19,062;21,6575;18,8281;24,719;24,5634;24,7246;22,1008;2,47677;0,00259705;-4,44079;-4,69714;+
B0M0N4(3);23,645;23,5373;24,3177;24,6165;24,0699;24,1641;24,3997;24,0027;0,184897;0,527688;-0,129969;-0,472473;
B0M0N4(88);18,1366;19,9326;20,6484;21,2382;21,4247;20,8739;19,8761;21,0103;0,491832;0,207197;-0,807302;-1,07854;
B2D6M4(494);19,7694;20,7445;19,7443;19,912;27,6832;26,0726;27,0805;26,0872;5,17249;0;-6,68831;-14,5085;+
B2D6M4(499);18,9094;20,1224;16,3753;20,9512;21,6725;20,2733;21,1519;20,2451;0,825324;0,0852258;-1,74612;-1,65254;
B2D6P1(119);17,4413;20,5889;20,9487;18,644;21,5443;20,3561;21,313;19,9066;0,736373;0,108976;-1,37427;-1,50313;
B2D6P1(97);20,2365;20,4078;18,3202;18,7563;21,9892;19,6764;21,8147;21,0431;1,20783;0,0339869;-1,70063;-2,28971;+
B3CKG1(24);23,4617;23,0401;22,0858;22,5014;25,6141;23,7333;24,3491;24,1618;1,81479;0,00956962;-1,69234;-3,35532;+
B3WFT8(10);22,7022;21,3557;21,4743;22,1535;23,7266;24,2193;24,2031;23,4053;2,73865;0,00187845;-1,96714;-5,30255;+
E1B6S9(25);18,345;19,5884;17,9881;19,7795;20,866;18,9558;20,9479;20,9911;1,19788;0,0347448;-1,51495;-2,27302;+
G5EC65(1032);20,0809;18,0834;19,3113;19,774;21,7818;21,4303;21,2461;21,3108;2,46909;0,00265311;-2,12984;-4,6801;+
B3WFW7(70);19,7005;20,3745;18,0215;19,3774;21,5579;22,4365;23,8335;22,577;2,49799;0,00253118;-3,23277;-4,74441;+
B3WFY5(28);19,32;20,7823;21,242;18,9441;23,8415;24,5537;24,4146;25,4662;3,34565;0,000829493;-4,4969;-6,91866;+
B3WFY5(29);23,8211;23,3181;24,1166;21,8166;24,9195;23,0552;21,5764;24,172;0,0651017;0,801376;-0,162698;-0,183044;
B3WFY5(30);19,6776;20,0635;20,6625;19,2994;19,7482;18,4664;21,4804;21,3404;0,166748;0,561442;-0,333114;-0,43152;
B5BM23(908);19,2565;20,5214;20,8073;19,2984;24,0766;24,3701;23,9299;24,6628;4,19598;0,00072973;-4,28898;-9,83492;+
B5U8N2(48);20,794;17,0792;20,0665;17,8365;21,4913;21,2821;20,7489;20,5406;1,19706;0,0347686;-2,07169;-2,27164;+
B5U8N2(360);17,3103;17,1746;20,4174;20,4396;20,4145;20,9176;21,7405;20,0991;1,02367;0,0514261;-1,95743;-1,9825;
B5U8N2(491);24,6075;25,1307;23,8537;24,455;22,4338;22,3162;23,341;22,5443;2,73131;0,0018707;1,85288;5,2849;+
B6VQ78(562);23,6962;23,7932;24,0711;23,5058;23,5396;24,0538;24,027;24,4733;0,529131;0,186259;-0,256896;-1,14528;
B6VQ78(569);20,0811;18,7732;18,6893;18,8187;24,0253;24,1954;23,8341;24,7094;4,9696;0;-5,10044;-13,3936;+
B6VQ78(172);21,297;19,2173;20,187;20,4549;21,642;20,6649;19,8164;20,3838;0,238351;0,441218;-0,33769;-0,588554;
B6VQ78(176);20,4348;20,9126;19,4002;19,7272;23,6822;23,377;23,6016;23,0704;3,97947;0,000526829;-3,31413;-9,00656;+
D9PTN8(403);19,1145;19,9017;20,9113;19,8301;21,3977;21,2719;21,0537;21,2828;1,88433;0,00822479;-1,31213;-3,48569;+
B7WN71(239);20,3484;18,4317;21,5044;20,1382;23,5192;22,6347;24,6094;23,4524;2,42563;0,00303268;-3,44828;-4,58445;+
B7WN95(52);21,817;20,7137;23,1381;23,0892;21,6393;20,813;19,4023;21,1742;0,974182;0,0583829;1,43228;1,9003;
B7WNA1(64);19,3637;18,8132;19,8949;19,5884;21,2993;19,6165;20,9416;20,8479;1,57556;0,0153089;-1,26127;-2,92169;+
B9ZSG9(872);21,2892;20,9302;20,5808;19,112;21,1978;21,8127;22,4531;23,278;1,399;0,022683;-1,70733;-2,61406;+
C1P636(683);28,1097;27,49;29,1203;26,5139;20,779;21,0683;20,7227;21,02;4,79183;0;6,91099;12,4836;+
C1P636(727);20,6987;20,4937;19,9295;21,1422;21,7447;20,9783;21,5709;20,5026;0,834299;0,0836081;-0,6331;-1,66754;
C1P636(864);27,9025;28,8274;29,1852;26,7635;30,0731;29,2611;30,0036;27,1609;0,503289;0,200796;-0,955026;-1,09914;
C1P636(741);19,5016;21,754;20,7256;19,0557;20,6949;21,4646;21,6526;21,297;0,781295;0,0954628;-1,01806;-1,57878;
C1P636(104);20,6485;18,7298;20,203;20,8085;24,2267;23,6741;25,6649;25,6374;3,30593;0,000891832;-4,70332;-6,80256;+
C6KRI9(366);19,2445;18,5205;21,3972;19,5055;21,7316;22,0649;22,6537;22,0835;2,06736;0,00580467;-2,46649;-3,83956;+
C6KRJ1(158);23,5737;22,4739;23,5811;22,3814;25,2667;24,4006;24,3994;21,1837;0,365761;0,298355;-0,8101;-0,844511;
C6KRJ1(190);18,4022;21,0043;20,3874;18,524;20,9254;21,2201;20,9721;21,3205;1,21629;0,0335579;-1,53004;-2,30393;+
C6KRL2(4);21,1565;19,3807;15,6495;18,3946;21,3642;20,8587;21,6605;21,4991;1,22636;0,0329436;-2,70032;-2,32085;+
C6KRL2(14);19,3761;18,9591;20,0725;19,869;21,518;20,5641;20,9167;19,0885;0,829158;0,0844833;-0,952652;-1,65895;
C6KRL2(18);19,2015;20,1216;22,0081;18,1704;20,9206;20,205;20,5774;20,9269;0,415724;0,256871;-0,782078;-0,939051;
C6KRN1(3);20,5858;20,6337;21,9644;19,1441;21,484;21,5206;21,2411;20,3934;0,401563;0,268366;-0,577759;-0,912524;
C6KRN1(24);19,2687;18,887;21,353;20,6831;21,796;20,2897;20,8251;20,2123;0,485553;0,210924;-0,732834;-1,06721;
C7GIK1(69);23,8929;23,3273;24,6225;24,9028;24,5533;24,9669;24,442;23,6684;0,194489;0,509267;-0,22125;-0,493779;
D0IMZ5(2153);16,1735;19,6873;19,4476;18,1699;20,4063;20,9288;21,6402;21,1567;1,70607;0,0119212;-2,66341;-3,15555;+
D0IMZ5(269);17,7467;20,0903;20,3797;17,9029;21,5125;20,0789;20,6525;19,8493;0,966589;0,0591796;-1,49337;-1,88769;
D0PV95(599);18,4561;17,4135;18,4195;19,1969;21,3794;21,5366;20,5142;21,3843;3,21012;0,000955466;-2,83214;-6,52891;+
D0Z5P0(53);21,4034;18,626;19,3887;21,1228;20,4903;20,513;20,9884;20,1689;0,236407;0,443859;-0,40493;-0,584439;
D0Z5P0(541);18,9025;20,0222;17,0252;17,7482;18,7222;20,8157;21,0419;20,9418;1,19765;0,0347759;-1,9559;-2,27263;+
D0Z5P0(470);20,3732;18,9264;19,9212;20,9562;21,6657;20,9494;20,5703;20,7088;0,964927;0,0592493;-0,929316;-1,88493;
Q22832(234);23,4199;24,9452;23,9638;25,6489;25,4476;24,7667;25,5468;27,4295;0,866136;0,0772585;-1,30319;-1,72065;
Q22832(235);20,1997;20,919;18,7993;19,2352;20,76;19,8659;20,4732;20,4041;0,529929;0,185856;-0,587477;-1,1467;
Q22832(492);26,268;25,7124;25,4438;26,2238;24,0034;23,9793;23,6716;23,3197;3,823;0,000415385;2,16853;8,44682;+
Q8WQB8(183);20,2393;19,0665;19,1256;19,5508;21,8786;19,1683;20,8092;20,9791;0,996984;0,0549895;-1,21323;-1,93817;
D3NQB5(149);17,4733;20,7375;21,1524;20,2789;25,1644;24,8759;24,9416;23,4658;2,66393;0,00200524;-4,70141;-5,12478;+
D3YT77(49);20,7236;19,1327;19,0716;20,6191;21,9817;20,6194;21,2085;20,0378;0,882262;0,0744159;-1,07509;-1,74751;
D3YT77(57);24,9812;25,7894;26,0258;25,9408;21,9037;19,8792;20,6222;20,1827;4,22588;0,000755245;5,03736;9,95451;+
D4YWC3(77);18,9656;19,0413;19,0164;17,9689;20,4978;17,9466;19,3766;21,2841;0,637982;0,140733;-1,02825;-1,33546;
D4YWC3(78);22,5813;22,8879;23,0548;26,5052;21,9399;20,4445;21,6109;23,8536;0,761507;0,101108;1,79506;1,54551;
