Leading.proteins.Positions.within.proteins;log2 daf2_d5_01;log2 daf2_d5_02;log2 daf2_d5_03;log2 daf2_d5_04;log2 eat2_d5_01;log2 eat2_d5_02;log2 eat2_d5_03;log2 eat2_d5_04; -Log Student's T-test p-value daf2_d5_eat2_d5;Student's T-test q-value  daf2_d5_eat2_d5; Student's T-test Difference  daf2_d5_eat2_d5;Student's T-test Test statistic  daf2_d5_eat2_d5;Sign p-val: 0.05 
A0A061AD09(37);19,9716;20,2658;20,3397;16,2634;21,3938;21,6922;20,62;20,5959;0,927261;0,0233548;-1,86534;-1,82236;+
Q3S1I9(88);21,5334;18,8672;17,4174;20,5942;20,7498;21,0134;19,3533;21,4814;0,461511;0,129692;-1,0464;-1,02355;
Q3S1I9(240);20,6548;18,3746;18,1842;19,5638;21,3117;21,354;20,8736;21,522;1,89421;0,00179678;-2,07098;-3,50438;+
G5EDF9(7);20,7985;18,0818;17,7649;18,1729;24,0161;23,4262;23,0996;23,9464;3,2622;0,000125749;-4,91759;-6,67655;+
G5EDF9(13);16,7509;19,2432;19,3601;18,186;24,4818;24,0993;24,7389;25,7138;4,01833;0,000154386;-6,37339;-9,1505;+
G5EDF9(521);20,5993;20,0415;18,5054;19,6412;24,245;22,5821;22,8668;21,9342;2,55676;0,00055814;-3,21018;-4,87692;+
A0A0K3AQS9(98);19,186;17,8454;17,7487;18,7668;22,5736;20,6851;21,604;20,2598;2,45353;0,000605304;-2,89395;-4,64572;+
A0A0K3AQS9(58);18,1117;19,4842;18,0639;21,5604;19,919;19,8893;21,57;20,1973;0,556494;0,089243;-1,08888;-1,19368;
A0A0K3AQS9(173);17,5341;20,0035;17,4432;17,5559;20,699;21,5537;20,7858;20,5967;2,24491;0,00100336;-2,77461;-4,19938;+
A0A0K3AQS9(21);16,8838;16,3927;18,4173;20,3876;21,3461;21,3356;20,2074;21,4635;1,75333;0,0023739;-3,06779;-3,2418;+
A0A0K3AQS9(160);20,257;16,6118;17,3617;19,52;21,2255;20,8924;20,869;19,5424;1,2325;0,0095152;-2,19471;-2,33118;+
A0A0K3AQS9(122);23,3109;25,2438;23,1944;26,5361;22,6992;23,0176;23,1191;25,5379;0,41722;0,155946;0,977825;0,941843;
A0A0K3AQS9(114);25,2015;26,0473;26,1266;24,4081;23,3056;23,3663;23,6906;22,986;2,57205;0,000564232;2,10871;4,91179;+
A0A0K3AQT4(28);20,446;17,5303;19,9837;18,2597;20,6956;20,7265;20,4906;21,5442;1,31861;0,00721526;-1,8093;-2,47675;+
A0A0K3AQT4(76);17,9544;20,3465;16,8071;19,5737;19,7726;21,2043;21,3274;20,6785;1,26254;0,00874828;-2,07527;-2,38181;+
A0A0K3AQT4(15);22,6691;22,8951;25,3383;23,8506;23,5387;22,0954;23,6309;24,2179;0,16173;0,47072;0,317521;0,420043;
A0A0K3AUF2(802);17,039;19,5895;18,5096;20,9444;24,1209;24,9183;24,6125;24,465;3,2102;0,000118644;-5,50855;-6,52913;+
A0A0K3ARB5(19);20,9408;18,3172;20,52;16,9115;20,7298;20,9154;21,1321;20,4242;0,851392;0,0303449;-1,62799;-1,69607;+
A0A0K3ARB5(20);18,8849;18,4124;17,5616;19,8779;19,3772;20,8089;21,3365;21,7094;1,63033;0,00317442;-2,12379;-3,01909;+
A0A0K3ARB5(6);18,536;18,0205;21,1036;20,2126;21,1086;21,5403;21,744;20,9044;1,32957;0,00702333;-1,85612;-2,49538;+
A0A0K3AS90(1163);19,881;17,3405;19,4837;18,6014;21,26;18,692;21,6605;21,9575;1,15908;0,011738;-2,06587;-2,20804;+
A0A0K3AWX1(391);19,2196;18,3801;18,4417;21,354;20,4063;21,2259;20,856;21,3477;1,16359;0,0116448;-1,61008;-2,21558;+
A0A0K3AWX1(378);18,8563;19,7672;17,2134;20,5817;20,2067;21,1319;21,5675;21,7429;1,37499;0,0061348;-2,05762;-2,57289;+
A0A0K3AVS5(10);17,4075;19,0627;16,5892;19,7017;22,8618;22,8099;24,1874;22,8885;3,12585;0,000109804;-4,9966;-6,29545;+
A0A0K3AW96(1148);17,0466;18,3825;17,123;17,3559;19,4154;20,9411;20,6079;21,8058;2,8243;0,000407332;-3,21554;-5,51154;+
A0A0K3AW96(1306);19,7025;18,7605;18,238;16,5241;21,1362;20,497;21,7356;21,356;2,15632;0,00110703;-2,87492;-4,01768;+
A0A0K3AW96(2799);16,9213;17,1014;16,9828;17,8156;24,0847;23,4552;23,6388;24,5912;6,06937;0;-6,73719;-20,5957;+
A0A0K3AW96(2725);20,5155;18,3212;18,2259;17,1078;22,4343;22,7659;22,0583;23,4681;2,75939;0,000430355;-4,13909;-5,35264;+
A0A0K3AWB0(580);21,2405;17,61;19,591;17,5333;21,1207;20,9225;20,842;21,2514;1,20595;0,0102227;-2,04047;-2,28656;+
A0A0K3AWB0(588);19,3238;18,6485;16,7509;18,2313;19,3826;20,8933;20,0842;21,9123;1,63421;0,00313272;-2,32947;-3,02603;+
A0A0K3AWM6(430);24,3182;23,8309;23,624;23,8596;26,0783;26,5827;24,6099;25,78;2,23716;0,00103614;-1,85457;-4,18331;+
A0A0K3AXE0(11);19,1827;20,9926;18,2206;18,4044;21,2874;20,3826;19,6053;20,6462;0,897353;0,0258364;-1,2803;-1,77263;+
A0A0K3AXT9(687);20,0365;18,1778;17,9622;18,7099;22,5778;25,7959;23,12;22,9221;2,85535;0,000329854;-4,88237;-5,58876;+
A0A0K3AXT9(697);16,5713;18,6699;15,6548;21,9286;24,1256;23,1609;23,4014;22,7519;1,95758;0,00156014;-5,1538;-3,62537;+
A0A0K3AXT9(677);21,7815;18,3722;17,4835;17,7571;20,6564;21,6875;20,5786;19,8244;0,868169;0,0286701;-1,83816;-1,72404;+
A0A0K3AXT9(683);21,474;21,7121;20,9384;22,1027;23,5538;23,6715;25,0661;23,2446;2,58086;0,000572402;-2,32717;-4,93194;+
A0A0K3AY44(449);20,6445;18,7418;18,2268;18,4764;21,2727;21,6916;21,7379;21,0921;2,26115;0,00101153;-2,42617;-4,23317;+
A0A0K3AY44(442);18,0391;19,2965;20,0072;19,8983;20,6647;20,7967;21,1714;21,5711;1,89874;0,00179978;-1,74071;-3,51297;+
A0A0K3AY85(173);22,5305;22,4355;21,8409;22,5664;27,2443;25,478;23,7824;26,8731;2,31986;0,000861972;-3,50109;-4,35666;+
A0A0K3AY85(152);17,9369;19,0789;18,4545;20,3351;21,5656;19,5303;21,5522;20,1419;1,27214;0,00864746;-1,7461;-2,39801;+
A0A0K3AYE8(172);27,0043;25,7892;23,7527;24,7778;20,0202;21,0251;20,72;21,2733;3,06189;0,000181818;4,57132;6,1226;+
A0A0M7RFG7(49);18,279;17,1109;18,839;19,5352;19,2147;21,5103;21,354;21,0584;1,71617;0,00257462;-2,34336;-3,17392;+
A0A0S4XRR1(215);18,383;18,8496;19,1691;20,1564;20,4294;20,0904;21,6607;21,4177;1,78457;0,00223368;-1,76;-3,2993;+
A0A0T7CIX3(487);19,0703;17,7684;18,0017;21,3331;26,7985;24,443;24,3687;26,0217;3,12489;0,000109375;-6,36461;-6,29281;+
A0A0T7CIX3(136);19,8083;18,61;17,6294;18,241;21,2652;21,0852;21,4821;20,4149;2,544;0,000553542;-2,48967;-4,84794;+
A0A0T7CIX3(543);16,6254;17,3712;18,3318;18,0732;20,508;21,5313;20,7521;21,8189;3,438;7,87E-05;-3,55218;-7,19479;+
A0A131MBQ6(32);23,085;23,843;23,8493;23,9922;23,1669;25,2568;23,9282;24,4602;0,476721;0,122365;-0,510662;-1,05122;
A0A131MCJ5(53);16,8112;19,2175;17,8232;20,7702;20,4518;21,3188;21,6377;20,9612;1,45819;0,00475077;-2,43678;-2,71619;+
A0A131MD51(18);15,6383;17,2765;20,4582;20,3217;22,2234;23,2742;23,5723;22,6911;1,995;0,00144626;-4,51656;-3,69771;+
O16293(195);20,4965;17,461;18,4456;20,8863;20,3817;20,6603;20,7754;21,0525;0,840892;0,0316162;-1,39513;-1,67855;+
O02147(540);17,6753;20,5418;20,7526;20,047;19,8363;22,7227;20,836;20,0648;0,53236;0,0977167;-1,11075;-1,15102;
F3Y5Q3(84);25,0103;25,9812;23,979;25,2222;21,1803;21,7271;19,6316;20,3644;3,37135;7,36E-05;4,32235;6,9946;+
Q9N350(17);18,6843;18,4944;16,3741;18,5412;21,0391;21,4325;21,7888;20,7147;2,77014;0,00043285;-3,22027;-5,37872;+
Q9N350(179);26,0506;24,1159;23,8858;23,7103;22,4724;22,6956;23,5364;23,6952;1,12791;0,0126519;1,34077;2,15598;+
A0A1N7SYR3(844);15,4637;19,776;19,0483;18,9576;21,2378;19,8349;21,5523;21,7171;1,40438;0,00547215;-2,77411;-2,62332;+
A1IMB7(151);23,842;21,8753;21,3635;25,2033;25,965;22,8421;23,3381;23,8852;0,360211;0,195925;-0,936574;-0,833837;
A3QMB7(63);18,4943;17,9493;18,4404;20,374;21,206;21,5263;21,4968;21,7754;2,57331;0,000564706;-2,68663;-4,91468;+
J7SF86(65);19,07;17,8528;15,9237;18,4128;20,2734;20,259;20,0158;21,6882;1,90769;0,00181492;-2,74428;-3,52996;+
U4PRJ1(143);17,4956;19,1253;20,5276;18,5927;21,582;20,1746;21,4126;21,197;1,65338;0,00302905;-2,15628;-3,06039;+
A5JYX4(101);19,0347;18,3722;17,9498;17,9467;20,6948;21,3708;20,6507;21,9711;3,38295;7,42E-05;-2,84598;-7,02913;+
A5JYX4(81);25,1179;24,7363;28,4675;25,764;24,1129;24,3753;24,8917;24,4856;0,921418;0,0239207;1,55506;1,81265;+
A5JYX4(77);20,4409;17,8599;18,6158;16,5709;21,245;20,4202;20,87;20,6246;1,57518;0,00380161;-2,41807;-2,92101;+
A5JYX4(130);17,7355;20,8947;18,7167;19,7196;19,3386;20,697;20,7156;21,6778;0,802391;0,0359017;-1,34066;-1,61416;+
A5JYX4(131);16,8127;17,8255;18,3202;17,4077;20,2291;20,613;19,7949;19,4653;3,0129;0,000175981;-2,43405;-5,99268;+
A5PEY0(153);24,0885;22,7041;24,1687;24,9735;25,5355;25,6998;26,2741;26,2982;2,07675;0,00122215;-1,96821;-3,85817;+
I2HA81(362);24,822;25,496;25,6175;24,0186;24,7242;27,0789;27,0492;27,1398;1,13472;0,0123146;-1,50952;-2,16735;+
A5Z2W7(48);24,2428;23,907;24,9455;23,5612;21,0167;20,4802;21,2138;21,5717;3,77869;0,000113402;3,09353;8,29391;+
A5Z2W7(56);20,2105;14,3474;17,9709;18,8384;20,2934;20,4612;21,815;19,0872;0,959328;0,0210991;-2,57238;-1,87563;+
A6PVA5(9);20,8349;17,6821;17,1269;18,2947;19,7895;20,7534;21,4499;21,8348;1,41832;0,00528615;-2,47224;-2,64729;+
Q20621(425);19,1263;16,5937;17,5827;18,7088;21,1897;20,0253;19,5769;20,4429;1,87015;0,00193407;-2,30583;-3,45893;+
A7DT41(137);20,0296;15,0793;18,7321;18,674;21,5836;19,9429;20,6132;20,6201;1,21116;0,0100578;-2,56117;-2,29531;+
A7DT41(240);21,1173;18,8486;15,9781;18,392;21,4812;22,0996;22,6976;22,4475;1,79197;0,00217336;-3,59748;-3,31298;+
A7DT41(165);16,7221;18,8498;21,0873;18,8114;21,3677;19,7855;21,0483;21,2688;1,07925;0,0143527;-1,99989;-2,0749;+
A7DT41(223);21,6784;21,8198;22,3841;20,8957;21,2246;20,1147;20,8393;20,825;1,30613;0,00762376;0,94362;2,45557;+
A7DT41(158);19,8239;17,6665;18,8585;17,2972;24,3781;24,4253;24,7751;24,4764;4,34784;0;-6,10219;-10,456;+
A7DT41(262);17,9234;19,2442;19,9297;18,7569;19,7496;20,66;21,2118;21,2848;1,73044;0,00250307;-1,76304;-3,19991;+
Q9XWW2(238);19,2714;18,2567;17,4975;16,6185;20,2102;21,101;20,1765;20,8463;2,33406;0,000746781;-2,67249;-4,38682;+
Q9XWW2(276);19,697;17,1417;17,8927;18,2445;20,859;20,453;21,4226;21,3102;2,5082;0,00053803;-2,76722;-4,76726;+
A7LPD6(582);19,0002;19,8925;15,6092;20,0064;21,0587;21,2205;20,7406;20,6755;1,16066;0,0117084;-2,29673;-2,21068;+
A7LPD6(545);17,4404;20,4334;14,4332;15,3696;25,6588;25,0256;24,5083;23,1772;2,76494;0,000432432;-7,67331;-5,36609;+
A7LPE6(329);19,3542;18,0642;17,03;17,5164;20,9544;21,3599;20,9047;19,2858;2,088;0,0011929;-2,63497;-3,88051;+
Q5FC71(99);19,7067;17,1465;17,943;18,0799;24,3965;25,1333;27,012;24,9088;4,00865;0,000151203;-7,14361;-9,11445;+
Q5FC71(87);18,7688;16,6564;18,0709;16,9071;20,9745;20,879;21,0967;21,5458;3,30577;6,82E-05;-3,52319;-6,8021;+
Q5FC71(50);23,9384;25,3617;23,8403;24,2831;25,0711;26,4664;26,7263;26,4932;1,92865;0,00167063;-1,83339;-3,56991;+
Q5FC71(63);27,855;28,1488;28,5958;28,1301;25,3515;23,6736;24,0319;23,9483;4,16496;0;3,93111;9,71221;+
Q5FC71(64);29,4493;30,9056;30,3057;30,0428;31,8013;33,8387;33,8163;32,9827;2,68615;0,000566243;-2,93392;-5,1772;+
Q5FC71(74);20,2914;17,1102;18,526;17,7471;21,5985;21,2506;19,8359;21,6113;1,78041;0,00226233;-2,6554;-3,29161;+
A8WFH7(312);23,9877;22,8495;23,6823;22,8308;20,7843;20,805;20,5197;21,6989;3,05606;0,000181595;2,38556;6,10702;+
A8WFH7(313);22,9005;24,0089;23,7107;23,8066;20,9733;19,8367;20,9435;19,9778;3,73187;0,000106024;3,17386;8,13495;+
A8WFH7(322);18,9813;19,3075;18,9286;18,4037;21,101;24,1767;23,4194;22,271;2,81729;0,000404449;-3,83673;-5,49424;+
H2KYH9(63);18,6498;17,7428;16,4725;15,2186;21,5217;20,5166;20,5425;21,5172;2,60903;0,00053886;-4,00359;-4,99678;+
A8WHP8(79);26,0294;24,7471;24,907;23,8113;24,2893;23,7657;24,4579;22,9699;0,899844;0,0255969;1,00297;1,77677;+
A8WHP8(57);15,5163;17,5576;17,6535;19,4812;20,8294;21,5916;21,2137;19,1049;1,73091;0,00250435;-3,13275;-3,20077;+
A8WHP8(68);20,2686;18,3918;14,7708;19,9943;21,2548;20,6183;20,8884;20,5537;0,99776;0,0186652;-2,47246;-1,93946;+
A8WHP8(347);20,6282;18,4059;16,4887;17,2777;21,5384;21,3693;20,8242;20,6777;1,69877;0,0026284;-2,90227;-3,1423;+
A8WHP8(348);21,0153;18,0229;18,6256;20,412;21,1554;20,6325;21,1355;20,2765;0,869067;0,028615;-1,28104;-1,72554;+
A8WHP8(181);16,5976;17,2555;19,7883;16,6368;20,2544;21,6151;20,0617;21,1577;2,05365;0,00128288;-3,20267;-3,81248;+
A8WHP8(154);25,0651;26,5482;23,9107;25,0196;20,8074;20,8022;21,4128;21,3674;3,41412;7,67E-05;4,03848;7,12252;+
A8WHP8(295);24,8824;23,3085;21,8038;23,8712;21,2695;23,6;22,7108;22,0169;0,625321;0,0689194;1,06718;1,31363;
A8WHP8(297);20,0211;16,5059;19,6575;18,4134;20,4923;20,5112;19,8218;21,6285;1,1778;0,0112682;-1,96399;-2,23936;+
A8WHP8(218);19,5366;18,9367;16,8134;18,2423;21,0897;19,8147;20,7466;20,5453;1,81714;0,00210796;-2,1668;-3,35969;+
A9UJN7(555);18,9089;16,6535;17,3624;19,9964;21,5432;21,1509;20,6708;20,7141;1,92875;0,00167157;-2,78943;-3,5701;+
A9UJN7(562);20,1647;18,6402;17,7242;18,8989;20,9299;20,9026;20,2859;21,8679;1,92663;0,00170621;-2,13956;-3,56604;+
A9UJP1(38);17,9283;21,3924;18,0323;19,5474;20,3697;21,2713;21,0209;20,8613;1,02585;0,0170349;-1,6557;-1,98612;+
A9UJP1(71);17,4413;20,1311;16,9306;17,3385;20,3752;20,9983;20,3401;21,596;1,95934;0,00156103;-2,86698;-3,62875;+
A9UJP1(57);19,8127;17,8057;19,3341;20,2748;24,7759;21,6179;22,9029;22,9717;2,37151;0,000764275;-3,76027;-4,46702;+
A9UJP1(73);17,9886;17,778;18,324;17,9868;23,5517;24,5036;25,2843;25,071;5,47327;0;-6,58331;-16,3254;+
A9Z1K9(338);18,1301;20,0545;18,6864;19,4421;25,7672;25,9749;25,6818;28,89;3,84285;0,000122905;-7,50018;-8,51609;+
B0M0L8(154);18,0832;16,4154;17,3837;19,1975;22,1166;23,2779;21,8406;23,467;3,32902;6,98E-05;-4,90554;-6,86984;+
B0M0L8(179);24,6997;22,9772;24,0043;23,8997;25,229;24,3716;24,5296;23,2563;0,361018;0,195321;-0,451383;-0,835391;
B0M0L8(35);19,7149;17,9595;18,0715;18,7319;21,0146;20,967;21,408;20,6054;2,80673;0,000448;-2,37931;-5,46822;+
B0M0L8(98);17,4149;18,5739;18,5097;19,7088;22,8827;21,4374;21,4661;23,8239;2,67729;0,000563177;-3,85071;-5,15625;+
B0M0N4(102);18,4716;16,5904;17,2929;21,5418;21,029;21,6173;21,7983;21,0978;1,40398;0,00546981;-2,91142;-2,62262;+
B0M0N4(3);23,3067;22,962;20,647;23,3457;23,7929;24,6363;24,2758;24,124;1,30641;0,00762691;-1,64193;-2,45603;+
B0M0N4(88);19,4698;19,3389;19,1964;20,0044;20,931;21,3061;21,7937;19,8725;1,79312;0,00217566;-1,47346;-3,31512;+
B2D6M4(494);25,2964;24,643;23,4756;23,7722;25,5304;27,5923;26,6201;26,5127;2,0635;0,0012111;-2,26705;-3,83193;+
B2D6M4(499);20,0384;18,987;18,634;18,2785;20,7468;20,9624;21,1756;20,5598;2,46064;0,000572327;-1,87668;-4,66142;+
B2D6P1(119);18,8033;18,9855;17,1526;18,3365;21,6003;20,9568;20,6863;21,0526;3,0375;0,000180049;-2,75451;-6,05767;+
B2D6P1(97);16,4583;17,7869;16,6166;19,8956;20,8261;20,4019;19,9709;20,3885;1,80387;0,00214992;-2,70747;-3,33503;+
B3CKG1(24);22,1512;22,4292;23,1817;22,2618;24,6014;25,6672;24,6381;24,9835;3,46363;8,07E-05;-2,46659;-7,27301;+
B3WFT8(10);23,7907;23,3437;22,6138;24,1685;21,3531;19,5144;21,0243;21,69;2,3487;0,000753791;2,58376;4,41807;+
E1B6S9(25);20,0604;18,5421;18,2087;17,9884;19,2882;20,5428;21,0318;21,5463;1,52246;0,00408974;-1,90237;-2,82819;+
G5EC65(1032);17,6085;21,5815;18,2598;20,1804;21,0863;21,0029;21,1349;20,951;0,914793;0,0244281;-1,63621;-1,80163;+
B3WFW7(70);16,9503;18,0369;19,4504;19,9794;20,2918;19,5298;20,0551;21,9286;1,12276;0,0129202;-1,84709;-2,14739;+
B3WFY5(28);16,5449;18,2842;18,7127;20,5999;20,6349;21,5405;21,2236;21,7733;1,71713;0,00257593;-2,75764;-3,17566;+
B3WFY5(29);18,7586;19,4052;18,8725;19,8658;23,2228;22,8943;24,2937;23,8111;4,41935;0;-4,32998;-10,7606;+
B3WFY5(30);19,9826;18,4677;18,3284;16,243;24,1499;24,4939;24,652;23,8111;3,57285;9,17E-05;-6,02134;-7,61421;+
B5BM23(908);26,1089;25,7739;28,2667;27,87;24,4894;28,4348;27,7537;24,8589;0,209565;0,376441;0,620674;0,526829;
B5U8N2(48);17,2964;19,4821;17,8265;21,8554;18,9469;19,8055;21,0633;20,5318;0,376514;0,183586;-0,971778;-0,865087;
B5U8N2(360);19,7921;18,4121;19,3331;21,5999;19,5044;20,8151;21,4949;20,1092;0,381435;0,179969;-0,696589;-0,87446;
B5U8N2(491);18,0863;16,8069;18,4124;16,8285;24,819;24,834;23,1623;23,0611;4,21769;0;-6,43554;-9,92159;+
B6VQ78(562);19,2295;18,3622;18,3819;18,3734;19,6568;22,6306;23,9513;23,6542;2,08389;0,00122514;-3,88647;-3,87235;+
B6VQ78(569);19,0642;20,5474;18,8067;18,1017;21,3647;21,3349;20,829;20,8332;1,97504;0,0014832;-1,96044;-3,65903;+
B6VQ78(172);16,8218;19,9147;18,4577;19,9625;24,1702;24,2232;22,9661;23,9612;3,13131;0,000110964;-5,04104;-6,31037;+
B6VQ78(176);16,7263;16,0561;19,4134;21,0679;20,6392;21,7098;20,9488;20,2275;1,10573;0,0136215;-2,5654;-2,11899;+
D9PTN8(403);19,72;18,6937;15,0437;19,828;20,5785;20,5149;21,7013;21,0948;1,21068;0,0100459;-2,65099;-2,2945;+
B7WN71(239);20,1295;18,1714;16,6277;18,0424;21,2807;21,2965;21,2213;20,4487;2,03089;0,00132701;-2,81907;-3,76774;+
B7WN95(52);18,6603;20,1285;18,2966;20,4123;20,3419;21,2027;20,3604;20,3478;1,09144;0,0139089;-1,18877;-2,0952;+
B7WNA1(64);16,8647;19,0305;16,9214;17,6808;21,7147;22,5178;22,0646;22,4565;3,83412;0,000121884;-4,56405;-8,48558;+
B9ZSG9(872);20,5432;18,5417;16,7774;17,5947;21,5045;20,9024;21,5147;21,3549;1,93832;0,00162223;-2,95488;-3,5884;+
C1P636(683);17,3157;18,8478;18,1833;21,483;21,471;20,7173;19,5881;21,9699;0,97908;0,0195945;-1,97911;-1,90844;+
C1P636(727);18,7508;19,4518;18,9647;18,3812;22,5521;21,6449;21,9665;23,5047;3,56325;9,00E-05;-3,52991;-7,58368;+
C1P636(864);25,1877;25,0023;23,1957;25,4774;28,286;29,9323;29,7354;28,7573;3,33233;7,03E-05;-4,46198;-6,87955;+
C1P636(741);18,2157;17,5293;18,0968;18,5673;20,1321;21,8338;21,1902;21,0473;3,42713;7,79E-05;-2,94855;-7,16183;+
C1P636(104);18,1637;16,9372;18,2516;18,6327;22,8085;23,5901;24,9533;24,3424;4,23881;0;-5,9273;-10,0066;+
C6KRI9(366);20,1961;17,7619;16,2799;16,1577;21,458;21,5299;22,758;22,377;2,3711;0,000763158;-4,43184;-4,46612;+
C6KRJ1(158);22,8552;24,3563;24,4903;25,2138;22,732;24,4234;23,0384;24,1261;0,45355;0,134798;0,648929;1,00899;
C6KRJ1(190);17,9909;18,3753;18,5884;18,469;19,5567;21,5613;21,3932;20,3586;2,54493;0,000554913;-2,36157;-4,85006;+
C6KRL2(4);18,5573;19,2276;18,4827;18,1175;20,5165;20,4768;20,0589;21,1083;3,06994;0,000183851;-1,94387;-6,14416;+
C6KRL2(14);18,0508;19,8054;17,1838;19,3248;20,7262;21,7809;21,8341;20,1589;1,88876;0,00185296;-2,53385;-3,49406;+
C6KRL2(18);21,1684;19,499;17,901;19,3144;21,3622;21,7378;21,3455;21,7891;1,66029;0,00299951;-2,08796;-3,07282;+
C6KRN1(3);18,4859;16,9813;17,0374;21,0926;20,1318;19,6751;21,7919;20,0726;0,964671;0,0205815;-2,01854;-1,88451;+
C6KRN1(24);16,6547;18,5443;16,0815;17,7385;20,3814;20,4836;21,7323;21,738;2,91622;0,000291069;-3,82909;-5,74236;+
C7GIK1(69);22,2257;21,9651;21,0796;22,2299;23,811;22,8812;22,466;22,9325;1,57644;0,00378061;-1,14758;-2,92324;+
D0IMZ5(2153);23,3442;22,874;23,689;23,8896;21,5477;19,0419;20,7347;20,8467;2,62917;0,000544978;2,90646;5,04349;+
D0IMZ5(269);18,0171;17,2613;18,8579;20,5255;20,606;21,0738;19,3191;21,881;1,2313;0,00950759;-2,05456;-2,32915;+
D0PV95(599);18,456;19,6768;17,2619;17,5595;19,3101;21,5928;21,3521;20,4235;1,75211;0,00237144;-2,43108;-3,23956;+
D0Z5P0(53);20,0418;18,9095;19,3082;18,7228;21,329;21,5462;21,6418;19,4906;1,61799;0,00324361;-1,75631;-2,99705;+
D0Z5P0(541);21,092;16,867;20,6727;19,494;20,7662;21,4595;20,9881;21,0587;0,793088;0,0369402;-1,53671;-1,59857;+
D0Z5P0(470);17,5716;16,7928;19,0841;19,1684;20,4718;20,3956;21,7591;21,5323;2,25969;0,00101084;-2,88549;-4,23012;+
Q22832(234);22,2082;20,8246;22,7351;21,787;24,509;25,7114;25,2927;25,8654;3,31709;6,91E-05;-3,4559;-6,83502;+
Q22832(235);23,3504;23,7692;24,3282;21,7121;25,3073;26,7902;26,0234;27,1309;2,31715;0,000859551;-3,023;-4,3509;+
Q22832(492);24,3427;24,89;26,2767;24,6906;23,796;25,5118;25,5586;26,0285;0,0982024;0,634971;-0,173746;-0,26807;
Q8WQB8(183);19,0928;19,653;20,7014;19,2429;20,462;19,6709;21,2049;21,2928;0,962028;0,0207477;-0,985135;-1,88012;+
D3NQB5(149);18,6507;19,1449;18,6933;18,5377;19,858;21,7673;21,5756;21,8638;2,65511;0,000555654;-2,50954;-5,10408;+
D3YT77(49);18,895;18,6118;18,0457;18,1619;23,0579;21,7964;24,7733;22,4304;3,31988;6,95E-05;-4,5859;-6,84315;+
D3YT77(57);16,7591;19,3226;19,0201;18,46;20,4155;21,8365;20,9268;21,0737;2,22295;0,00102721;-2,67268;-4,15392;+
