Leading.proteins.Positions.within.proteins;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log Student's T-test p-value daf2_d1_N2_d1;Student's T-test q-value  daf2_d1_N2_d1; Student's T-test Difference  daf2_d1_N2_d1;Student's T-test Test statistic  daf2_d1_N2_d1;Sign p-val: 0.05 
A0A061AL01(593);20,0754;18,2202;17,6589;16,784;22,4827;21,9031;22,7817;20,8327;2,46183;0,000101172;-3,81542;-4,66404;+
B3GWD8(179);16,4716;20,1434;18,0472;17,2104;21,8025;21,2305;21,2327;21,3365;2,27605;0,000323035;-3,43241;-4,26432;+
B3GWD8(187);17,632;19,3657;18,0831;17,2284;21,6807;20,9138;20,3555;20,8815;2,76047;3,31E-05;-2,88055;-5,35525;+
B3GWD8(196);18,4499;19,4154;20,0343;20,7251;22,4631;23,3466;23,5005;23,4366;3,2102;4,84E-05;-3,53049;-6,52912;+
A0A061AD09(37);17,906;21,1345;16,4319;16,1673;21,5062;20,4952;21,0376;21,3714;1,47507;0,00316609;-3,19266;-2,74549;+
Q3S1I9(88);19,1311;19,4345;14,2751;18,4942;21,8584;19,6352;20,7846;20,7815;1,20257;0,00724449;-2,93122;-2,28088;+
Q3S1I9(240);18,8384;18,4484;18,2648;17,5428;21,5356;21,1871;20,1814;21,3339;3,32932;5,43E-05;-2,7859;-6,87074;+
G5EDF9(7);19,5352;19,2865;16,8267;16,7708;24,1315;22,8015;20,8969;22,766;2,39333;0,000150411;-4,54418;-4,51414;+
G5EDF9(13);19,6254;17,7227;18,0937;19,1357;23,9311;24,08;23,9537;22,6179;3,95412;0;-5,00131;-8,91373;+
G5EDF9(521);18,6314;18,2198;17,8122;17,6154;22,76;21,6825;23,0431;22,6419;4,69359;0;-4,46217;-12,006;+
A0A0K3AQS9(98);17,603;18,7267;19,615;20,1055;20,8844;20,5834;20,5976;20,7259;1,64269;0,00196745;-1,68528;-3,04122;+
A0A0K3AQS9(58);17,0079;17,0877;17,5294;18,4891;25,6561;23,6395;24,8017;24,4926;4,94047;0;-7,11893;-13,2403;+
A0A0K3AQS9(173);19,5435;18,3263;15,8761;18,4172;23,5659;24,066;23,2581;25,0997;3,31629;5,34E-05;-5,95664;-6,83267;+
A0A0K3AQS9(21);14,8631;19,229;19,6763;19,8968;22,3292;22,883;23,1855;23,2034;1,9994;0,00079849;-4,48398;-3,70626;+
A0A0K3AQS9(160);19,8502;19,0791;15,407;19,3083;24,4751;23,6704;22,5505;22,1758;2,24869;0,000464171;-4,80677;-4,20724;+
A0A0K3AQS9(122);24,8825;26,8821;24,532;25,1322;27,0311;23,825;23,132;25,4939;0,187244;0,379784;0,486667;0,477706;
A0A0K3AQS9(114);23,0096;24,039;23,7708;23,1221;24,1379;21,8971;20,4928;23,1852;0,602073;0,0545026;1,05711;1,27337;
A0A0K3AQT4(28);16,5639;18,1063;20,4177;16,4886;21,1342;21,0676;21,3159;21,0689;1,90662;0,000990511;-3,25253;-3,52794;+
A0A0K3AQT4(76);19,0277;16,4604;19,6502;20,205;21,5296;20,7628;21,0501;20,9683;1,42486;0,00382005;-2,2419;-2,65857;+
A0A0K3AQT4(15);24,0873;26,5782;24,8889;25,4078;27,2704;24,6571;22,4098;25,6652;0,075333;0,685353;0,23996;0,209822;
A0A0K3AUF2(802);18,1795;16,7184;16,7635;17,5669;24,1907;23,856;26,4937;25,293;4,48754;0;-7,65129;-11,0586;+
A0A0K3ARB5(19);18,875;19,2089;18,8931;21,167;20,9736;19,8905;19,8582;21,2968;0,712802;0,0357301;-0,968762;-1,46324;+
A0A0K3ARB5(20);16,8625;16,3362;20,4867;17,3409;21,719;20,5158;19,1962;19,7462;1,24198;0,00645077;-2,53774;-2,34714;+
A0A0K3ARB5(6);21,7176;17,9259;19,594;17,9442;21,4565;21,1337;21,3257;20,1905;0,936849;0,0164444;-1,73119;-1,83829;+
A0A0K3AS90(1163);19,9853;19,1169;16,5842;19,7021;21,345;20,7845;20,9709;21,2185;1,53002;0,0027776;-2,2326;-2,84144;+
A0A0K3AWX1(391);18,2363;16,0893;18,828;18,8605;20,5952;21,1569;20,2451;20,6194;2,09529;0,000706581;-2,65065;-3,89503;+
A0A0K3AWX1(378);16,5286;16,7494;20,1453;17,2836;21,2589;20,7377;20,2561;20,7478;1,9249;0,000945983;-3,07338;-3,56274;+
A0A0K3AVS5(10);19,7771;15,4372;16,464;14,9265;23,628;24,8086;23,2801;24,7292;3,18236;4,72E-05;-7,4603;-6,45125;+
A0A0K3AW96(1148);20,2924;19,9187;19,4777;18,0573;24,5966;23,7813;23,7407;25,0312;3,78824;0;-4,85094;-8,32665;+
A0A0K3AW96(1306);17,9081;17,6823;19,0514;19,7005;24,8421;22,4087;21,6094;21,9022;2,46887;0,000101611;-4,105;-4,67962;+
A0A0K3AW96(2799);24,7155;24,497;24,1469;24,3428;27,197;25,0786;22,8459;25,8439;0,3886;0,136273;-0,815757;-0,888059;
A0A0K3AW96(2725);18,9353;20,0953;19,3601;19,4865;24,8787;23,1273;22,027;23,073;3,00396;4,05E-05;-3,80717;-5,9692;+
A0A0K3AWB0(580);19,7813;20,4972;18,563;17,0901;24,3776;25,7191;24,2234;24,9402;3,41149;0;-5,83219;-7,11461;+
A0A0K3AWB0(588);24,101;23,3889;22,388;23,7281;21,8025;23,1578;24,0246;23,5749;0,167288;0,421789;0,261576;0,43275;
A0A0K3AWM6(430);23,678;22,2101;23,4154;23,2864;24,4153;23,2446;22,9447;22,798;0,159837;0,438457;-0,203154;-0,415695;
A0A0K3AXE0(11);16,7014;15,822;17,09;19,8284;21,8107;20,6244;20,4591;21,4094;2,16232;0,000613497;-3,71544;-4,02985;+
A0A0K3AXT9(687);18,2074;18,5787;18,5314;16,7152;21,9272;20,2788;20,7855;21,1803;2,78725;3,38E-05;-3,0348;-5,42044;+
A0A0K3AXT9(697);18,4025;16,9469;18,6828;19,5663;21,8816;20,9136;20,6568;20,0859;2,02778;0,000760994;-2,48488;-3,76165;+
A0A0K3AXT9(677);20,0542;20,9535;20,8621;19,8291;20,9535;20,1235;20,9864;21,0461;0,440599;0,106376;-0,35264;-0,985187;
A0A0K3AXT9(683);23,535;22,6793;21,5477;22,4001;19,1698;20,3715;23,7548;25,0392;0,117906;0,549054;0,456698;0,31664;
A0A0K3AY44(449);19,1045;16,4947;17,6107;18,1739;22,3302;23,9248;23,1523;23,879;3,7721;0;-5,47565;-8,27137;+
A0A0K3AY44(442);19,1986;21,4812;20,9665;18,1993;21,6842;20,5563;20,7241;21,3145;0,65944;0,0437547;-1,10834;-1,37231;+
A0A0K3AY85(173);25,9454;24,3814;26,0678;24,6328;25,4942;24,6612;23,7519;22,8119;0,726452;0,0339987;1,07705;1,48636;+
A0A0K3AY85(152);14,3948;18,3315;17,3173;20,3628;22,8706;23,0196;22,2356;24,266;2,23853;0,000461211;-5,49638;-4,18615;+
A0A0K3AYE8(172);18,3668;17,5142;20,8139;20,5446;22,4384;24,5147;24,2352;22,7816;2,31493;0,000330927;-4,18261;-4,34622;+
A0A0M7RFG7(49);17,2354;17,7319;21,8939;15,7625;22,1248;22,099;22,7431;21,2307;1,5536;0,002572;-3,89347;-2,8829;+
A0A0S4XRR1(215);18,2786;19,8257;18,9918;19,0622;21,1807;20,4396;21,3225;21,3997;2,74221;3,28E-05;-2,04605;-5,31111;+
A0A0T7CIX3(487);17,6419;15,7369;19,1335;17,8152;24,8942;24,1029;25,9055;24,0082;3,88039;0;-7,14581;-8,64848;+
A0A0T7CIX3(136);17,928;15,8865;18,2257;19,0344;21,0406;21,248;20,9348;20,3489;2,3797;0,000223646;-3,12444;-4,48466;+
A0A0T7CIX3(543);22,3153;23,6387;25,56;21,9732;23,3789;22,8895;20,8006;22,9397;0,380116;0,142155;0,869663;0,87195;
A0A131MBQ6(32);18,819;18,9241;19,1981;16,4408;25,1108;26,1567;25,8829;25,2848;4,38015;0;-7,26334;-10,5926;+
A0A131MCJ5(53);19,0749;17,2805;17,6864;17,6319;23,1595;23,2072;24,6513;24,1212;4,45395;0;-5,86636;-10,9109;+
A0A131MD51(18);17,2094;21,3529;18,6864;19,1835;20,867;21,1862;20,7891;20,8594;1,09894;0,00976656;-1,81738;-2,10769;+
O16293(195);20,4288;16,8812;15,7731;17,6074;21,6274;20,1542;21,3373;20,2275;1,60713;0,00212219;-3,16397;-2,97771;+
O02147(540);16,6471;16,5986;17,5232;15,7265;24,4651;24,1807;23,4572;24,2615;5,64573;0;-7,46726;-17,4637;+
F3Y5Q3(84);23,5195;24,0505;23,9401;24,3921;21,9272;20,9851;21,1849;20,5479;3,77765;0;2,81428;8,29034;+
Q9N350(17);17,9925;18,1336;17,8698;16,0204;23,4188;22,5584;26,8347;23,4788;3,07357;4,28E-05;-6,56863;-6,15388;+
Q9N350(179);18,223;16,7634;18,7061;18,8272;24,2873;22,7752;23,5959;22,11;3,55113;0;-5,06218;-7,54529;+
A0A1N7SYR3(844);19,9284;16,0746;17,4457;21,3675;21,695;21,2506;20,1661;19,7916;0,785826;0,0275788;-2,0218;-1,58639;+
A1IMB7(151);17,6137;16,2196;17,9873;18,0177;21,1346;20,6906;21,0994;20,4001;3,49064;0;-3,37161;-7,35618;+
A3QMB7(63);18,2404;19,1517;18,5459;17,1143;20,7533;20,264;20,5696;21,0339;2,71147;3,22E-05;-2,39212;-5,2374;+
J7SF86(65);18,5131;15,9295;16,7924;18,8893;21,7961;20,2847;20,5564;20,116;2,12428;0,00069007;-3,15724;-3,95304;+
U4PRJ1(143);17,6739;20,5709;18,6834;17,1073;21,6964;20,9746;20,8258;21,3205;1,85661;0,00104854;-2,69544;-3,43346;+
A5JYX4(101);15,8591;18,2536;18,2596;17,0309;24,2108;23,1112;23,859;21,3045;3,25747;5,03E-05;-5,77057;-6,66302;+
A5JYX4(81);17,6546;18,8981;15,447;18,3201;26,0093;22,103;25,3166;25,5269;3,06534;4,27E-05;-7,15901;-6,13182;+
A5JYX4(77);18,6665;18,1172;18,8853;17,6799;21,5335;20,9716;19,4306;20,4544;2,30188;0,000328194;-2,26032;-4,31862;+
A5JYX4(130);19,0056;15,6309;19,8691;17,671;22,6773;22,232;21,6404;22,4295;2,35287;0,000308043;-4,20065;-4,42699;+
A5JYX4(131);16,4654;17,3029;19,1918;17,068;22,6773;22,232;24,1891;24,6567;3,42591;0;-5,93175;-7,15814;+
A5PEY0(153);17,3816;17,7264;17,8202;16,5209;25,4644;22,8952;23,3948;23,1835;4,16477;0;-6,37219;-9,71146;+
I2HA81(362);24,0944;26,341;25,3171;25,1258;26,4924;25,37;25,1078;24,4062;0,070403;0,70253;-0,124535;-0,196977;
A5Z2W7(48);18,647;20,0237;17,5179;17,5502;22,5596;22,6869;23,4988;22,4997;3,33601;5,47E-05;-4,37657;-6,89032;+
A5Z2W7(56);17,4493;16,6851;19,2948;20,4206;21,968;21,1502;21,3301;20,8869;1,75956;0,00141794;-2,87132;-3,25323;+
A6PVA5(9);19,5992;17,1533;20,0019;17,3718;27,5735;23,9388;24,4157;22,9424;2,59968;6,53E-05;-6,18601;-4,97521;+
Q20621(425);16,7016;18,5542;17,5189;17,9472;21,3146;20,6435;20,8705;20,5577;3,52303;0;-3,1661;-7,45694;+
A7DT41(137);16,0578;19,7925;18,7766;19,1982;23,0492;22,3925;24,97;22,0553;2,35424;0,000308219;-4,66045;-4,42993;+
A7DT41(240);19,3238;17,7215;19,1374;17,0103;21,4522;20,5941;20,7678;21,2938;2,42501;0,000153661;-2,7287;-4,58308;+
A7DT41(165);21,955;21,9151;22,3214;22,7479;25,3521;24,2168;23,9424;23,4319;2,36192;0,000248562;-2,00091;-4,4464;+
A7DT41(223);17,7618;18,0225;19,0974;18,7176;21,412;19,658;21,3901;21,2744;2,5312;6,17E-05;-2,53382;-4,81899;+
A7DT41(158);17,0682;18,5915;19,2448;17,8919;24,1845;20,9528;23,4102;23,4571;2,88972;3,68E-05;-4,80204;-5,6751;+
A7DT41(262);21,7963;23,2136;24,5772;21,9635;24,5448;23,4025;23,1043;23,8193;0,535782;0,0700845;-0,83008;-1,15708;
Q9XWW2(238);17,3944;16,3736;16,7751;17,9778;21,3288;21,232;20,8383;21,4169;4,44709;0;-4,07375;-10,8809;+
Q9XWW2(276);19,3277;15,9895;18,3958;19,0922;21,5198;20,3758;21,1726;21,0898;1,91659;0,000968707;-2,8382;-3,54691;+
A7LPD6(582);15,9451;19,6048;19,3003;18,7618;21,7712;21,1057;21,3015;21,3149;1,89028;0,00103174;-2,97033;-3,49693;+
A7LPD6(545);23,7459;23,6288;24,0346;22,4553;24,3295;22,7091;22,7206;23,6534;0,0774292;0,677754;0,113013;0,215251;
A7LPE6(329);18,0096;18,2239;17,8341;18,1462;21,5275;21,2404;20,8049;20,7134;5,16236;0;-3,0181;-14,4508;+
Q5FC71(99);19,1099;19,8583;21,344;18,6697;20,3206;21,0849;20,6799;20,3585;0,682835;0,0394267;-0,865479;-1,41229;+
Q5FC71(87);18,3516;17,533;18,6161;17,6739;23,178;21,7079;23,041;22,4926;4,41952;0;-4,56123;-10,7614;+
Q5FC71(50);15,6631;18,0475;17,4507;18,2885;23,473;22,5561;23,3486;23,2706;4,04085;0;-5,79962;-9,23485;+
Q5FC71(63);17,8397;18,9099;16,8287;18,0884;23,4473;25,6413;23,8265;24,7489;4,22873;0;-6,49934;-9,96598;+
Q5FC71(64);27,0045;28,323;25,8017;27,5357;30,5159;28,3956;27,4724;27,457;0,704192;0,0367236;-1,294;-1,44863;+
Q5FC71(74);16,2716;17,2125;17,2737;16,6483;21,1731;21,0306;20,6905;20,6821;5,261;0;-4,04254;-15,0221;+
A8WFH7(312);22,5643;24,0001;21,6725;22,8817;21,9383;21,0262;21,0937;21,3629;1,46083;0,00337222;1,42437;2,72077;+
A8WFH7(313);19,6347;17,606;15,6609;17,1459;21,6483;21,1861;21,274;20,5321;2,28321;0,000324442;-3,64824;-4,27933;+
A8WFH7(322);17,1084;18,2615;19,0927;17,0435;21,9007;20,8866;21,1112;20,8968;3,04037;4,18E-05;-3,3223;-6,06528;+
H2KYH9(63);15,9268;18,8791;19,0479;18,6844;20,9452;20,3794;21,3666;20,8089;1,93;0,000947704;-2,74048;-3,57248;+
A8WHP8(79);18,0862;20,7003;16,6657;18,8695;21,0232;20,9093;20,3694;20,2612;1,26692;0,00583284;-2,06038;-2,3892;+
A8WHP8(57);17,2651;17,8724;19,9237;16,5159;21,4926;20,4379;20,3095;20,0491;1,81731;0,00114187;-2,67799;-3,36001;+
A8WHP8(68);16,4139;14,4741;17,503;17,3345;21,8556;21,2609;20,4131;21,153;3,11808;4,48E-05;-4,73926;-6,27424;+
A8WHP8(347);17,5167;16,6113;17,5731;17,7571;21,055;20,9253;21,3503;20,5017;4,59723;0;-3,59354;-11,554;+
A8WHP8(348);20,4217;17,8456;19,3533;15,5039;21,2944;20,9086;20,4398;21,4136;1,33883;0,00499738;-2,73296;-2,51115;+
A8WHP8(181);19,6349;16,4658;19,1677;17,4659;21,8871;20,6285;21,2773;21,3874;2,13633;0,000659939;-3,1115;-3,97729;+
A8WHP8(154);23,4111;24,0388;23,8164;23,4749;23,2677;24,7549;24,1846;22,9503;0,0856437;0,650141;-0,104058;-0,236347;
A8WHP8(295);20,7419;22,2576;23,8703;21,1095;22,3801;22,2303;22,1913;23,5533;0,325751;0,187428;-0,593898;-0,76671;
A8WHP8(297);16,7429;18,0243;17,0813;19,0057;21,0094;20,4796;20,4503;20,9462;2,8888;3,67E-05;-3,00781;-5,6728;+
A8WHP8(218);17,7038;18,3006;19,4744;16,9199;21,5321;20,7202;20,872;20,2321;2,41155;0,000152019;-2,73939;-4,5537;+
A9UJN7(555);18,9899;17,6018;18,5144;16,8416;21,261;21,0153;20,4617;21,3037;2,96216;3,93E-05;-3,0235;-5,86032;+
A9UJN7(562);17,7153;19,6786;19,7675;18,5137;24,5306;25,2145;23,6747;23,5798;3,84369;0;-5,33113;-8,51905;+
A9UJP1(38);18,6;18,5502;19,3091;19,1397;21,4518;21,1751;19,9734;21,4049;2,73576;3,27E-05;-2,10156;-5,2956;+
A9UJP1(71);19,1098;16,4962;18,655;16,5827;21,2025;20,9375;21,0627;21,0856;2,56959;6,35E-05;-3,36113;-4,90616;+
A9UJP1(57);14,5825;16,8062;20,0231;17,7743;23,9156;22,1042;21,0743;20,8243;1,90481;0,00098917;-4,68311;-3,52448;+
A9UJP1(73);22,6034;22,3056;20,3255;23,733;24,8843;20,9237;22,3069;21,0457;0,0140332;0,935515;-0,048244;-0,0415522;
A9Z1K9(338);18,3866;19,1054;17,9877;16,3741;21,8829;20,2243;20,7176;21,3981;2,39598;0,000150854;-3,09229;-4,51988;+
B0M0L8(154);17,857;18,7975;19,9887;20,9355;23,4622;22,0198;21,9639;23,0405;2,23936;0,000461702;-3,22693;-4,18787;+
B0M0L8(179);22,7903;24,7255;23,5835;23,3055;25,6005;26,2634;27,5623;27,6125;2,57009;6,37E-05;-3,15847;-4,90731;+
B0M0L8(35);19,0626;19,5735;18,7121;19,4029;21,1606;21,1918;21,1776;20,465;3,35263;5,58E-05;-1,81095;-6,9392;+
B0M0L8(98);16,3137;17,1336;17,7465;17,0591;23,4548;20,7018;23,2471;21,3577;3,33358;5,46E-05;-5,12712;-6,88319;+
B0M0N4(102);16,9701;19,1055;18,118;18,2541;21,6374;20,5461;20,3349;21,4086;2,73351;3,27E-05;-2,86983;-5,2902;+
B0M0N4(3);23,2087;23,6756;25,4263;24,2614;23,9416;23,9374;21,9504;22,5869;0,735295;0,0331018;1,0389;1,50131;+
B0M0N4(88);16,6639;18,6498;17,8201;19,4437;21,2342;21,0938;20,6816;20,849;2,45328;0,000100306;-2,82027;-4,64517;+
B2D6M4(494);23,673;25,2946;26,4505;24,4428;28,4802;23,7904;26,005;25,9466;0,430327;0,111404;-1,09034;-0,966204;
B2D6M4(499);16,5856;17,4055;20,2348;19,3342;24,9736;22,7269;25,7027;23,5296;2,78354;3,37E-05;-5,84321;-5,41137;+
B2D6P1(119);17,5904;20,1226;17,9621;17,7316;21,89;20,7663;20,8738;21,4188;2,35968;0,000273249;-2,88557;-4,44159;+
B2D6P1(97);18,9014;17,8063;20,1686;18,9247;20,6732;20,497;20,5497;21,3869;1,88038;0,00102715;-1,82643;-3,47822;+
B3CKG1(24);19,2642;16,4014;19,5197;20,0294;20,4696;21,1678;21,1164;20,393;1,24674;0,00631348;-1,98306;-2,35515;+
B3WFT8(10);18,0307;16,8844;17,1375;16,373;24,1572;21,3356;22,264;22,2322;3,64324;0;-5,39086;-7,84113;+
E1B6S9(25);18,6026;16,8641;20,0172;19,0598;21,8755;20,8551;21,1529;20,6491;1,89459;0,00100448;-2,49725;-3,50509;+
G5EC65(1032);18,1164;16,0998;18,1509;19,4079;20,6342;20,5365;21,3086;21,1788;2,23521;0,000460477;-2,97079;-4,17928;+
B3WFW7(70);21,3602;17,5718;18,9167;18,854;21,6564;19,9752;20,6999;20,4518;0,885988;0,0195482;-1,52016;-1,75372;+
B3WFY5(28);16,4401;19,6351;17,1878;16,9072;24,3361;22,2086;20,8543;22,6177;2,56706;6,33E-05;-4,96159;-4,90039;+
B3WFY5(29);18,1912;17,2033;17,195;18,0567;25,2606;25,6371;24,2254;24,6313;5,66087;0;-7,27705;-17,5672;+
B3WFY5(30);17,9842;19,554;16,4702;21,4069;21,8475;20,8262;20,2425;21,2122;1,01064;0,0129071;-2,17829;-1,96085;+
B5BM23(908);17,8374;16,927;18,273;18,5831;20,8511;20,8173;21,3685;21,4045;3,73203;0;-3,20524;-8,13548;+
B5U8N2(48);19,4225;17,1692;17,3141;17,4451;20,9623;21,1629;20,9435;19,7158;2,41833;0,000152654;-2,8584;-4,56849;+
B5U8N2(360);18,1712;18,5284;18,0341;20,4115;21,9108;20,9403;21,1293;21,0155;2,21433;0,000455643;-2,46266;-4,13616;+
B5U8N2(491);18,2079;18,1186;17,2369;19,1808;21,6035;20,4234;20,8624;21,2641;3,03132;4,14E-05;-2,85231;-6,04127;+
B6VQ78(562);14,8644;20,2146;18,2068;19,258;20,3301;21,1531;20,9921;20,4219;1,14718;0,00854952;-2,5883;-2,18815;+
B6VQ78(569);20,5131;18,4541;17,9577;20,2613;21,7015;20,8772;20,8378;20,6811;1,35669;0,00483308;-1,72784;-2,5416;+
B6VQ78(172);20,3277;18,1062;19,0267;18,2347;21,3109;21,1032;20,8876;20,4697;2,01237;0,000779468;-2,01898;-3,73153;+
B6VQ78(176);18,1222;17,6773;19,499;18,2741;21,2737;19,9373;20,7188;19,9678;2,20505;0,000478829;-2,08125;-4,11708;+
D9PTN8(403);18,1468;15,2071;17,0486;17,6624;21,5179;19,9372;20,8101;20,819;2,70104;3,20E-05;-3,75482;-5,21254;+
B7WN71(239);17,925;16,6742;18,5905;19,6352;20,6509;21,0606;20,9516;21,2993;2,33436;0,00030286;-2,78438;-4,38746;+
B7WN95(52);21,7326;22,8559;27,0028;22,218;23,6545;23,6426;23,7851;23,8004;0,080199;0,668324;-0,268291;-0,222396;
B7WNA1(64);17,7647;18,5871;18,2033;17,8967;25,063;24,3442;24,8811;25,0327;6,78172;0;-6,71731;-27,1412;+
B9ZSG9(872);16,1226;19,1411;16,9976;16,6789;24,3338;23,6515;23,0454;23,8972;4,00738;0;-6,49693;-9,10974;+
C1P636(683);25,7144;26,3304;25,4538;25,8301;28,1348;25,807;25,7378;25,8324;0,389018;0,135897;-0,545829;-0,88885;
C1P636(727);15,9196;19,7251;17,0032;19,9054;22,5634;21,3879;19,6426;22,1402;1,49595;0,00305198;-3,29517;-2,78184;+
C1P636(864);25,064;24,3155;24,5389;24,8321;29,5716;26,7085;28,3355;27,7339;2,81271;3,45E-05;-3,39977;-5,48293;+
C1P636(741);16,7576;21,2111;17,4887;18,5936;21,3669;20,2532;21,2229;21,4144;1,34336;0,00498201;-2,55161;-2,51887;+
C1P636(104);17,6087;20,229;17,1308;19,6554;24,762;24,5635;24,3927;23,9698;3,51274;0;-5,76604;-7,42481;+
C6KRI9(366);18,1693;15,0907;16,4394;17,5768;22,3659;22,2663;24,2502;22,3208;3,43234;0;-5,98174;-7,17762;+
C6KRJ1(158);24,4326;24,4605;26,4846;24,3524;21,2626;20,6756;20,0427;20,9836;3,44721;0;4,19138;7,2228;+
C6KRJ1(190);19,424;20,1725;20,1467;18,7584;20,3283;20,404;21,1907;20,1934;1,1725;0,00789131;-0,903671;-2,2305;+
C6KRL2(4);16,7956;21,8184;19,1989;18,2664;23,0431;21,9074;21,3555;20,478;1,18966;0,00745095;-2,67615;-2,25924;+
C6KRL2(14);20,7082;20,0066;18,1155;17,9902;20,8562;20,5113;21,1452;21,3433;1,33003;0,00512897;-1,75889;-2,49616;+
C6KRL2(18);18,1465;19,0307;16,6751;18,8534;20,182;20,4313;20,6707;21,3595;2,24182;0,000462687;-2,48445;-4,19297;+
C6KRN1(3);19,3306;15,8292;18,8088;20,5486;21,2271;21,1854;21,1812;20,6375;1,27342;0,00568676;-2,42853;-2,40019;+
C6KRN1(24);17,6828;17,5006;16,4275;16,0409;24,1883;22,7178;21,1276;23,7962;3,57348;0;-6,04454;-7,61622;+
C7GIK1(69);25,3592;25,4251;28,9871;25,2176;23,6246;22,9265;23,0686;21,6752;1,84655;0,00106842;3,42351;3,4146;+
D0IMZ5(2153);17,1889;18,2264;18,7215;17,5709;20,3637;20,2484;20,6917;21,2716;3,24097;4,99E-05;-2,71692;-6,61603;+
D0IMZ5(269);19,2803;16,9583;16,9882;19,263;21,7987;20,5935;20,77;20,7443;2,13273;0,000658279;-2,85419;-3,97004;+
D0PV95(599);17,8211;16,5464;17,4694;17,8589;21,7354;21,0298;21,0726;19,4831;3,02036;4,11E-05;-3,40629;-6,01232;+
D0Z5P0(53);17,411;17,9014;18,6556;19,2248;21,6852;20,0233;21,2088;21,325;2,66325;3,12E-05;-2,76238;-5,12319;+
D0Z5P0(541);16,9003;18,0781;19,6056;17,9194;20,8272;21,215;21,1002;21,0753;2,69278;3,18E-05;-2,92857;-5,19291;+
D0Z5P0(470);16,6548;16,6767;20,199;18,4508;24,0986;26,7054;25,8866;26,2077;3,56329;0;-7,72928;-7,58381;+
Q22832(234);17,5687;16,2136;16,8627;19,8625;21,5334;21,2143;21,0244;21,3546;2,41266;0,0001522;-3,65483;-4,55613;+
Q22832(235);20,3867;20,2048;20,7456;22,3366;21,6843;21,1874;21,291;21,3982;0,420668;0,11663;-0,471795;-0,948267;
Q22832(492);22,8951;23,158;24,4768;22,887;26,2281;24,2209;23,5277;25,3317;1,08397;0,0103205;-1,47288;-2,08276;+
Q8WQB8(183);17,5912;18,6467;20,4481;18,8304;21,7144;20,8788;20,2655;19,9798;1,39125;0,00428073;-1,83056;-2,60076;+
D3NQB5(149);19,1845;17,8981;18,4627;16,621;21,7707;20,2087;19,9619;20,6796;2,08734;0,000732116;-2,6136;-3,8792;+
D3YT77(49);23,5158;24,3109;24,0186;24,4625;23,9252;26,2417;25,21;21,5748;0,0551968;0,758776;-0,160987;-0,156662;
D3YT77(57);25,8061;25,2083;24,9314;26,4041;25,2045;25,3242;26,9926;24,6673;0,0229166;0,896161;0,0403204;0,0672069;
D4YWC3(77);16,8579;18,9977;18,1094;21,1243;23,4471;23,236;22,3357;24,3212;2,44397;0,00012629;-4,56272;-4,62467;+
