Leading.proteins.Positions.within.proteins;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04; -Log Student's T-test p-value daf2_d15_eat2_d15;Student's T-test q-value  daf2_d15_eat2_d15; Student's T-test Difference  daf2_d15_eat2_d15;Student's T-test Test statistic  daf2_d15_eat2_d15;Sign p-val: 0.05 
A0A061AD09(37);18,914;21,1819;19,9261;20,3977;21,3746;20,6783;21,0299;20,5448;0,778733;0,0907345;-0,801958;-1,57448;
Q3S1I9(88);20,1555;21,0436;20,5461;17,5459;22,0414;20,9049;19,5599;20,4587;0,438751;0,228124;-0,918436;-0,981779;
Q3S1I9(240);17,2498;20,9428;21,0508;18,4893;22,4755;21,0297;22,664;23,1742;1,49447;0,0169005;-2,90272;-2,77926;+
G5EDF9(7);19,1434;20,2455;20,667;19,6401;21,7113;20,9051;21,5384;21,0025;1,89731;0,00753697;-1,36531;-3,51025;+
G5EDF9(13);16,9269;20,7184;19,8914;17,7498;20,9095;20,6514;21,4471;20,1895;1,11476;0,0408924;-1,97776;-2,13405;+
G5EDF9(521);19,2824;20,4845;18,4336;17,7753;20,6047;20,1422;20,203;20,9822;1,28213;0,0273434;-1,48906;-2,4149;+
A0A0K3AQS9(98);20,1377;19,0934;21,4023;19,2155;21,6466;21,084;20,5156;19,8864;0,591907;0,147977;-0,82092;-1,25569;
A0A0K3AQS9(58);19,049;20,2455;19,231;18,9535;20,922;19,9403;21,0624;21,5466;1,80281;0,00933048;-1,4981;-3,33306;+
A0A0K3AQS9(173);24,5131;25,5433;25,8393;24,7071;25,4485;22,6639;24,3064;25,0223;0,52805;0,175889;0,790393;1,14336;
A0A0K3AQS9(21);18,9476;18,3177;21,7191;18,7087;24,2264;23,5739;24,9054;23,2206;2,73605;0,00195889;-4,55828;-5,2963;+
A0A0K3AQS9(160);18,8794;21,5318;19,37;18,701;25,0452;23,174;22,6811;24,166;2,58664;0,00233921;-4,146;-4,94521;+
A0A0K3AQS9(122);23,0312;24,175;23,9764;23,6184;26,767;25,9117;25,99;26,6959;3,63481;0,000549451;-2,64091;-7,81363;+
A0A0K3AQS9(114);24,4388;25,6619;25,4762;24,7688;25,2813;24,0705;24,6979;22,9127;0,704541;0,108922;0,845839;1,44922;
A0A0K3AQT4(28);19,3892;20,6914;19,4052;21,3583;23,3782;23,6285;24,0569;23,3793;3,23727;0,000888087;-3,39972;-6,60554;+
A0A0K3AQT4(76);21,3553;20,8135;19,1609;20,4094;22,6481;25,086;25,3506;24,9068;2,70334;0,00197409;-4,06309;-5,21801;+
A0A0K3AQT4(15);23,4273;25,6183;23,5469;25,7808;25,216;23,437;23,4736;22,1196;0,52862;0,175712;1,03177;1,14437;
A0A0K3AUF2(802);24,989;25,0697;25,7064;25,695;24,6902;23,4674;22,0641;23,1463;1,9036;0,00752888;2,02305;3,52219;+
A0A0K3ARB5(19);21,4239;18,5816;17,1574;20,7084;23,1416;22,6612;23,7309;23,5633;2,03669;0,00525814;-3,80647;-3,77911;+
A0A0K3ARB5(20);18,1528;21,1239;20,0021;20,3468;23,1416;24,762;25,0833;24,8576;2,97988;0,00103618;-4,55472;-5,90629;+
A0A0K3ARB5(6);18,9491;21,0836;19,6106;20,2593;23,2863;21,656;20,6174;22,6982;1,50967;0,0162;-2,08879;-2,80581;+
A0A0K3AS90(1163);21,8841;23,3941;23,9261;21,9732;23,6604;22,5202;22,852;22,2183;0,0103215;0,966331;-0,0183749;-0,0306876;
A0A0K3AWX1(391);18,5279;20,4503;19,7802;18,1208;19,8885;21,5349;21,2998;21,2814;1,45155;0,0187372;-1,78135;-2,70469;+
A0A0K3AWX1(378);19,6015;18,2769;19,8578;20,4266;21,5456;21,1286;21,0404;21,5365;2,01509;0,00557986;-1,77207;-3,73683;+
A0A0K3AVS5(10);19,2328;21,4122;18,5684;18,7992;21,6481;21,4494;20,6691;21,1544;1,34485;0,0231555;-1,72709;-2,5214;+
A0A0K3AW96(1148);19,2064;18,6786;18,9338;20,2821;22,5114;22,1148;20,7902;22,8784;2,54919;0,00245092;-2,79851;-4,85972;+
A0A0K3AW96(1306);18,0195;19,2893;19,6365;19,7068;20,7289;20,2022;21,8042;21,5686;1,9139;0,00727656;-1,9129;-3,54178;+
A0A0K3AW96(2799);24,8451;24,9791;24,6071;24,6526;26,7722;25,6859;27,8765;27,4224;2,38151;0,00323846;-2,16829;-4,48858;+
A0A0K3AW96(2725);21,5887;21,6373;19,3148;18,6676;26,696;23,4355;22,1419;22,4113;1,3883;0,0214905;-3,36907;-2,59569;+
A0A0K3AWB0(580);24,6823;24,4977;22,9433;23,3859;25,8509;22,0571;22,9232;25,1645;0,0425774;0,857117;-0,121653;-0,122353;
A0A0K3AWB0(588);24,4477;24,918;24,3882;25,4792;24,4604;24,1179;24,1296;24,6268;0,841153;0,0785379;0,474577;1,67898;
A0A0K3AWM6(430);22,1893;22,7417;22,4606;22,9553;21,2875;19,9649;20,0605;20,9046;2,85641;0,00157464;2,03235;5,5914;+
A0A0K3AXE0(11);23,3135;23,6569;22,9244;23,761;20,4498;21,3899;20,9074;19,486;3,15651;0,000917923;2,85562;6,37963;+
A0A0K3AXT9(687);22,8458;24,3326;25,3286;23,9543;25,7905;26,8828;27,7092;25,4412;1,73563;0,0106979;-2,34056;-3,2094;+
A0A0K3AXT9(697);24,5952;25,5464;24,8092;25,0119;21,9727;20,2349;20,6954;21,0619;4,11078;0;3,99947;9,50116;+
A0A0K3AXT9(677);23,2431;22,989;24,3828;21,292;24,8458;27,2829;26,6816;26,9848;2,20986;0,00397929;-3,47205;-4,12696;+
A0A0K3AXT9(683);24,6719;25,561;26,1103;24,7853;24,4766;26,1682;26,4029;26,1487;0,407816;0,248831;-0,517007;-0,924262;
A0A0K3AY44(449);23,1223;24,6297;23,0697;24,6748;25,3899;26,5551;26,9841;26,9997;2,35848;0,00329278;-2,60809;-4,43902;+
A0A0K3AY44(442);19,8204;19,5473;19,4607;19,7054;22,0035;20,5391;20,5605;20,4148;1,75253;0,0103622;-1,246;-3,24033;+
A0A0K3AY85(173);23,2743;24,0641;22,5811;24,3463;24,5809;26,7236;25,768;26,3321;2,00672;0,0056758;-2,2847;-3,7205;+
A0A0K3AY85(152);19,0112;19,4806;18,4926;20,359;19,8134;20,591;20,7853;20,8305;1,35235;0,022978;-1,16924;-2,53419;+
A0A0K3AYE8(172);25,8169;25,5543;26,3048;24,9971;19,5271;20,8876;21,2137;21,3042;4,23562;0;4,93506;9,99373;+
A0A0M7RFG7(49);18,7192;18,4608;19,2622;20,5113;22,0768;20,8755;21,3311;21,0708;2,14212;0,00459681;-2,10018;-3,98897;+
A0A0S4XRR1(215);19,7892;19,8407;21,4249;21,3841;21,2132;21,1193;21,1607;21,0533;0,528745;0,175576;-0,526867;-1,14459;
A0A0T7CIX3(487);19,8783;19,0894;19,6309;19,0376;21,9368;18,5195;18,4005;21,0016;0,247728;0,409954;-0,55555;-0,608298;
A0A0T7CIX3(136);22,4476;23,5894;22,6929;22,9612;19,9278;21,4489;20,543;21,0004;2,77099;0,00185839;2,19275;5,38079;+
A0A0T7CIX3(543);18,2339;19,4477;20,3417;20,6335;21,146;20,5567;20,5375;20,7377;0,996557;0,0528139;-1,08025;-1,93746;
A0A131MBQ6(32);19,7154;19,1922;19,439;19,0004;21,7223;18,9888;20,0508;21,2503;0,936856;0,0624534;-1,1663;-1,83831;
A0A131MCJ5(53);18,7225;18,876;17,3808;18,9988;20,2832;19,4886;19,8333;20,2595;1,89057;0,00767238;-1,4716;-3,49749;+
A0A131MD51(18);19,5739;21,4356;19,0641;19,958;21,5559;21,5134;21,337;20,255;1,00076;0,0523688;-1,15742;-1,94443;
O16293(195);19,1007;21,2447;19,289;19,7215;21,9782;18,3985;20,9695;21,0961;0,366898;0,283122;-0,771597;-0,846693;
O02147(540);18,6832;19,1102;20,6793;18,719;21,4841;21,3722;20,0657;21,2176;1,63615;0,0125368;-1,73698;-3,02951;+
F3Y5Q3(84);16,6789;20,1247;20,0422;18,748;23,8072;23,2767;21,9531;23,8411;2,4826;0,00263374;-4,32107;-4,71011;+
Q9N350(17);19,1539;20,3531;20,2152;20,2314;21,9322;24,0387;25,3652;24,8307;2,62732;0,00211525;-4,05331;-5,03918;+
Q9N350(179);18,8699;18,4687;20,1066;19,228;24,381;27,1767;26,3585;26,0858;4,23661;0;-6,83219;-9,99771;+
A0A1N7SYR3(844);19,6278;19,8636;20,2616;21,3335;21,6527;18,7842;20,7236;20,6829;0,0975032;0,696243;-0,189234;-0,266321;
A1IMB7(151);20,4523;22,2048;22,1832;21,3616;20,1651;21,4032;20,405;20,527;0,954732;0,059598;0,92541;1,868;
A3QMB7(63);17,6319;18,2987;18,4044;18,7888;20,7373;20,1265;19,4449;20,363;2,69478;0,00197176;-1,88695;-5,19766;+
J7SF86(65);19,0076;20,0814;20,6708;19,6542;21,6992;19,8334;20,528;19,015;0,25436;0,401882;-0,415422;-0,62216;
U4PRJ1(143);20,6165;20,7691;19,0239;21,702;20,3424;21,1414;21,6776;21,4089;0,438755;0,228205;-0,614701;-0,981786;
A5JYX4(101);18,7163;20,0395;19,5082;19,2127;25,0451;23,9429;23,8379;23,3846;4,34713;0;-4,6834;-10,453;+
A5JYX4(81);25,44;25,662;25,8266;24,9303;25,7235;27,2136;26,6909;26,9276;1,68107;0,0119088;-1,1742;-3,11028;+
A5JYX4(77);20,132;21,7808;18,9932;19,2551;21,1575;20,7076;21,5962;20,9997;0,817081;0,0827077;-1,07497;-1,63875;
A5JYX4(130);16,0522;20,3897;19,817;19,9238;22,7036;24,2487;23,7622;25,1969;2,32097;0,00337488;-4,93217;-4,35902;+
A5JYX4(131);18,5103;21,7444;19,5785;19,3377;22,7036;23,7003;24,2314;22,5855;2,3466;0,00326792;-3,51249;-4,41359;+
A5PEY0(153);25,0144;26,2196;26,6622;25,2368;23,403;24,0328;25,7259;23,9859;1,24446;0,0295881;1,49637;2,35131;+
I2HA81(362);26,1084;25,2943;24,7101;27,3164;21,0581;20,2849;19,3281;20,9725;3,65195;0,000560224;5,44638;7,86958;+
A5Z2W7(48);24,85;26,1873;25,1369;25,3771;21,1554;22,6265;22,7661;22,033;3,36132;0,000520325;3,24258;6,96489;+
A5Z2W7(56);17,2929;20,6773;19,6286;20,7095;24,0147;24,2679;25,58;22,7831;2,45599;0,00280567;-4,58435;-4,65115;+
A6PVA5(9);17,8576;20,0067;20,2908;18,2716;21,8409;23,5633;24,0965;23,1731;2,70663;0,00198109;-4,0618;-5,22585;+
Q20621(425);21,1221;21,2677;21,1657;22,8519;23,8934;23,9373;24,0824;24,923;2,78012;0,00186767;-2,60711;-5,40303;+
A7DT41(137);20,1947;19,2356;20,6366;20,3541;20,992;20,3824;19,657;21,681;0,49557;0,193479;-0,572822;-1,08527;
A7DT41(240);22,6025;22,2099;23,0785;21,3064;21,2066;20,6973;21,3437;21,2599;1,56869;0,0145343;1,17246;2,90954;+
A7DT41(165);18,2015;18,3157;18,3216;18,69;20,9432;18,7387;21,3275;21,4523;1,87562;0,00802665;-2,23323;-3,46923;+
A7DT41(223);22,9246;23,9797;23,2708;22,5694;20,8964;19,8609;20,8022;19,31;3,05463;0,000998459;2,96875;6,10321;+
A7DT41(158);21,6223;21,3458;19,3817;18,9936;20,6043;20,8339;20,6146;21,1435;0,282155;0,367134;-0,463243;-0,679411;
A7DT41(262);19,8265;18,5372;16,9959;20,3545;20,8753;18,8561;21,3432;21,0917;0,862251;0,0747409;-1,61304;-1,71418;
Q9XWW2(238);20,4138;20,6969;18,6047;19,3115;20,8231;21,5212;20,6574;21,6754;1,37793;0,0220126;-1,41253;-2,57792;+
Q9XWW2(276);18,2866;19,8391;21,5308;20,9095;21,3114;18,261;20,5507;20,9375;0,043624;0,853802;-0,123638;-0,12523;
A7LPD6(582);20,8021;18,6108;21,4502;19,943;25,3577;24,5915;22,9995;24,3284;2,71241;0,00192628;-4,11776;-5,23964;+
A7LPD6(545);22,5658;23,7734;23,3864;24,543;25,6671;23,456;21,6948;23,5304;0,00734166;0,974849;-0,0199504;-0,0219008;
A7LPE6(329);17,7102;19,6702;19,2313;19,1203;23,2776;26,6366;26,8808;25,5553;3,43718;0,000442478;-6,65459;-7,1923;+
Q5FC71(99);19,8956;19,9982;19,3812;20,4882;21,18;20,5198;20,3911;21,6162;1,44402;0,0190313;-0,985992;-2,69165;+
Q5FC71(87);18,2681;18,1544;19,9249;17,3854;20,7639;20,5807;21,0098;19,4139;1,69418;0,011442;-2,00885;-3,13399;+
Q5FC71(50);20,9254;20,1818;20,987;18,1146;21,8289;21,485;21,1998;21,5596;1,12112;0,0402953;-1,46614;-2,14466;+
Q5FC71(63);26,1607;25,7528;26,0474;26,7204;29,9646;29,1614;28,4394;27,7251;2,64769;0,0020274;-2,65228;-5,08668;+
Q5FC71(64);27,1809;28,337;30,6158;29,3041;31,1305;32,3033;32,1706;23,7038;0,171903;0,530801;-0,967625;-0,443239;
Q5FC71(74);20,2073;20,0412;19,5822;18,7399;22,0454;21,1911;20,4814;21,1949;1,86906;0,00815941;-1,58553;-3,45687;+
A8WFH7(312);23,3037;24,2573;24,3991;24,1401;23,8858;24,9999;24,9737;23,5204;0,296798;0,350969;-0,319895;-0,709053;
A8WFH7(313);26,8728;24,5494;23,3343;26,4388;20,907;20,2394;20,6324;21,4894;2,68214;0,00195566;4,48176;5,16771;+
A8WFH7(322);20,0259;21,6593;20,1693;19,1683;21,2492;24,6939;25,122;25,553;1,89527;0,00758209;-3,89884;-3,5064;+
H2KYH9(63);18,8725;17,3345;19,6855;21,5193;21,2969;20,7897;20,8244;19,1231;0,539634;0,170921;-1,15555;-1,16391;
A8WHP8(79);22,8864;23,2635;23,3742;24,8535;23,1619;22,8317;22,1447;22,7106;0,932936;0,0630367;0,882184;1,83179;
A8WHP8(57);18,645;21,2241;20,125;21,0957;21,4583;20,6505;21,4453;21,1883;0,711993;0,106871;-0,913111;-1,46187;
A8WHP8(68);24,3083;24,876;23,5463;23,2606;23,1303;22,6735;23,4692;21,9141;1,28108;0,0273741;1,20103;2,41313;+
A8WHP8(347);18,0383;18,5571;21,2864;18,0249;21,4823;19,5476;21,7658;21,1653;1,14135;0,0384203;-2,0136;-2,17842;+
A8WHP8(348);18,8674;19,2016;18,9095;20,8581;21,9637;22,0137;22,2861;22,9176;2,79835;0,0017744;-2,83609;-5,44763;+
A8WHP8(181);19,7459;21,7575;18,216;17,467;21,7561;20,04;21,5093;19,5039;0,607515;0,141552;-1,40571;-1,28282;
A8WHP8(154);22,4921;22,6352;23,1711;21,9737;26,4881;21,3335;23,9101;25,2886;0,72711;0,102604;-1,68705;-1,48747;
A8WHP8(295);20,4846;20,8112;20,4014;19,4404;21,0801;20,5858;21,0352;20,3379;0,662075;0,121979;-0,475323;-1,37682;
A8WHP8(297);20,5093;19,9838;20,6276;18,1366;22,5417;21,4511;22,0691;21,6776;1,83752;0,00859227;-2,12056;-3,3977;+
A8WHP8(218);19,1594;19,6987;20,5422;20,1382;24,6815;23,962;26,0082;23,7266;3,67503;0,000569801;-4,70995;-7,94543;+
A9UJN7(555);20,6753;21,1221;18,6594;19,9755;23,215;23,0289;23,0514;22,1979;2,49316;0,00264736;-2,76521;-4,73362;+
A9UJN7(562);20,0487;21,1655;20,9676;19,7518;20,7697;21,3594;21,3015;19,535;0,184995;0,506604;-0,258025;-0,472691;
A9UJP1(38);19,2747;18,6067;19,4322;21,4711;21,5906;21,499;20,7047;21,494;1,32897;0,0242291;-1,62592;-2,49436;+
A9UJP1(71);19,8878;20,8049;19,208;19,1284;20,2506;21,0321;20,7145;21,4523;1,26218;0,0285494;-1,10511;-2,3812;+
A9UJP1(57);23,8331;23,0792;22,2913;23,8028;21,5028;21,5451;19,4138;19,8022;2,16023;0,00440809;2,68567;4,0256;+
A9UJP1(73);22,5704;22,2897;24,597;21,7233;21,5209;19,799;21,7202;20,2947;1,33884;0,0238413;1,96139;2,51116;+
A9Z1K9(338);20,758;19,4392;19,2736;18,3697;22,0807;20,7789;20,4122;20,0691;1,0842;0,0438915;-1,3751;-2,08315;+
B0M0L8(154);23,1719;23,0548;23,6366;21,5808;22,2482;23,2929;23,418;22,296;0,0298076;0,899961;0,0472484;0,0867827;
B0M0L8(179);27,1923;27,8825;26,3383;23,7252;25,0547;24,0391;23,9533;24,3759;1,06089;0,0460729;1,92881;2,04436;+
B0M0L8(35);21,5333;19,4082;19,8641;19,915;21,3568;20,6489;21,7948;21,1252;1,04059;0,0477887;-1,05127;-2,01061;+
B0M0L8(98);26,6421;26,3261;25,1795;25,3638;21,1448;18,6417;19,8242;20,6551;3,94596;0,000569343;5,81144;8,88403;+
B0M0N4(102);19,1738;20,5474;19,5135;16,1275;21,0359;20,9745;19,6175;20,3549;0,820759;0,082091;-1,65517;-1,64491;
B0M0N4(3);18,0847;18,9521;20,2411;17,3731;20,7542;20,0336;20,038;18,9517;0,900983;0,0679821;-1,28164;-1,77867;
B0M0N4(88);19,5514;20,8068;19,826;16,4835;21,7548;20,1904;21,3833;20,5938;0,921675;0,0646005;-1,81366;-1,81308;
B2D6M4(494);22,7578;23,1097;24,3148;22,9021;27,6548;27,3311;27,584;27,434;4,62042;0;-4,22987;-11,6612;+
B2D6M4(499);17,253;18,1076;20,2682;18,1702;20,8768;20,2682;20,2449;20,1922;1,58754;0,0138014;-1,94579;-2,94291;+
B2D6P1(119);18,2705;21,3844;18,7737;19,5105;24,4981;23,0686;23,1787;23,9531;2,82056;0,00173846;-4,18984;-5,50231;+
B2D6P1(97);20,158;20,9217;20,3969;20,0411;24,4506;20,9849;22,1507;22,6162;1,56853;0,0145251;-2,17116;-2,90926;+
B3CKG1(24);20,266;21,0645;20,6188;20,4849;27,2999;25,661;25,3296;26,1432;4,66881;0;-5,49988;-11,8882;+
B3WFT8(10);18,4821;19,8177;20,006;19,644;22,0012;22,6959;22,1929;22,1263;3,49416;0,000483092;-2,76664;-7,36705;+
E1B6S9(25);19,9847;18,3855;19,8987;19,0092;24,249;23,6046;24,2913;24,2745;4,58349;0;-4,78529;-11,4908;+
G5EC65(1032);20,3845;19,0909;20,7047;19,6353;22,0556;21,381;21,2617;21,2197;1,99083;0,00580575;-1,52568;-3,68962;+
B3WFW7(70);19,7862;20,9401;20,1099;19,6194;21,101;20,6637;21,735;20,5653;1,1997;0,0328935;-0,902335;-2,27606;+
B3WFY5(28);23,4149;23,7315;27,1289;24,315;20,4862;20,2767;21,8412;21,2993;2,13812;0,00465552;3,67172;3,9809;+
B3WFY5(29);19,3582;20,4076;20,0051;18,2451;24,8655;21,8924;26,0785;25,781;2,53611;0,00254739;-5,15033;-4,8301;+
B3WFY5(30);21,9279;21,1901;21,2037;22,1223;21,9788;21,8769;23,0364;22,7919;1,12077;0,0403211;-0,810014;-2,14407;+
B5BM23(908);17,7966;19,0075;19,8149;20,4367;21,4004;18,4321;21,0326;20,8444;0,62723;0,134297;-1,16344;-1,31693;
B5U8N2(48);19,3527;18,7334;19,0145;19,3477;25,606;24,3541;24,7975;23,9565;5,17186;0;-5,56647;-14,5049;+
B5U8N2(360);20,2633;18,4588;20,4388;17,5074;21,8163;18,9145;21,0268;20,94;0,792998;0,0872987;-1,50731;-1,59842;
B5U8N2(491);20,5519;19,1668;21,1441;18,3377;22,7242;23,1932;23,5548;25,4057;2,393;0,00308019;-3,91938;-4,51341;+
B6VQ78(562);19,6435;19,7078;19,4343;20,7515;25,0628;26,0294;25,7148;26,3512;5,19666;0;-5,90526;-14,6471;+
B6VQ78(569);19,0605;19,6628;21,3169;19,7396;22,895;26,3524;26,1879;24,1823;2,67846;0,00195338;-4,95944;-5,15903;+
B6VQ78(172);18,7448;19,4361;20,5701;19,7201;21,0986;21,2985;21,5946;21,1327;2,25365;0,00355398;-1,66333;-4,21756;+
B6VQ78(176);20,5243;22,2868;22,6806;21,9646;19,8899;18,6924;20,4361;21,3514;1,29374;0,0263153;1,77161;2,43456;+
D9PTN8(403);18,5618;19,1817;19,889;19,9538;20,9566;18,7733;20,8016;21,1581;0,788786;0,0884741;-1,02577;-1,59135;
B7WN71(239);18,3699;20,2467;18,182;19,4032;23,1489;25,845;24,9966;23,8267;3,38191;0,000535565;-5,40386;-7,02603;+
B7WN95(52);20,4706;19,6986;18,1941;19,7211;22,8597;21,9995;21,2783;20,3977;1,60931;0,0131271;-2,11269;-2,98158;+
B7WNA1(64);19,2965;18,9987;19,1889;19,6038;23,4342;26,3625;27,8663;27,7608;3,30859;0,000604651;-7,08399;-6,81029;+
B9ZSG9(872);19,674;20,0255;18,6412;18,8489;21,9632;20,988;21,3919;20,4921;2,25197;0,00355084;-1,91141;-4,21406;+
C1P636(683);27,7008;26,7488;27,4769;27,3912;27,3936;22,2508;24,0562;23,2087;1,46589;0,0179881;3,10213;2,72955;+
C1P636(727);22,9692;26,3648;25,376;24,413;21,5017;20,6155;20,9376;20,8148;2,65261;0,00196789;3,81341;5,09822;+
C1P636(864);25,8866;25,6956;26,2341;24,5328;27,3016;27,091;26,9855;27,1379;2,20462;0,00396902;-1,54173;-4,1162;+
C1P636(741);19,2177;20,1429;19,4047;20,8035;20,7915;18,6303;21,4809;21,2311;0,374318;0,27526;-0,641296;-0,860895;
C1P636(104);17,9553;21,2553;16,7793;21,7272;21,5846;20,2994;20,0581;19,0028;0,247269;0,410448;-0,806964;-0,607336;
C6KRI9(366);20,7414;21,158;19,3679;21,1913;21,9266;19,3904;20,3025;21,3167;0,0600045;0,803262;-0,119386;-0,169526;
C6KRJ1(158);22,949;22,8606;24,4534;24,4054;25,9445;23,7488;23,1183;23,9353;0,287096;0,362489;-0,519608;-0,689451;
C6KRJ1(190);21,2327;21,8295;18,2657;17,4938;20,6562;21,2023;20,4001;21,4084;0,505561;0,187599;-1,2113;-1,10322;
C6KRL2(4);21,0431;20,7774;19,4863;20,2261;22,8889;21,835;24,3561;22,8322;2,22896;0,00387467;-2,59485;-4,16633;+
C6KRL2(14);17,5634;20,2593;20,2766;20,7387;25,5941;21,7457;22,4191;22,735;1,65311;0,0121264;-3,41399;-3,05991;+
C6KRL2(18);19,5013;20,1225;18,5821;19,3218;21,2868;21,1702;20,1776;21,2708;2,06948;0,00511237;-1,5944;-3,84376;+
C6KRN1(3);20,4915;21,1809;20,6294;18,8108;21,2725;20,4811;20,8668;19,7007;0,194731;0,490278;-0,302087;-0,494313;
C6KRN1(24);18,7834;21,633;19,4782;20,5855;22,4722;21,5802;20,6416;21,6901;1,04764;0,0470279;-1,47601;-2,02233;+
C7GIK1(69);22,2957;22,4606;23,6504;22,941;23,2566;25,7555;25,0678;24,4368;1,58044;0,0140177;-1,79223;-2,93033;+
D0IMZ5(2153);17,2497;19,7816;18,6444;18,6436;20,9664;21,1219;21,2973;20,5326;2,34792;0,00327101;-2,39972;-4,41641;+
D0IMZ5(269);20,4579;18,016;20,0986;16,2599;21,7955;19,2461;21,4775;21,4753;1,03835;0,0481055;-2,2905;-2,00689;+
D0PV95(599);19,026;18,8259;19,7958;20,6101;22,0229;19,7411;21,0967;21,6996;1,29266;0,026424;-1,57562;-2,43273;+
D0Z5P0(53);19,0256;19,215;18,7473;20,3153;21,4557;20,0335;20,3962;20,3614;1,43425;0,0195264;-1,23589;-2,67478;+
D0Z5P0(541);17,7092;20,7841;18,4649;19,1874;20,359;19,1344;21,2743;20,7016;0,835917;0,0791841;-1,33097;-1,67024;
D0Z5P0(470);19,2621;19,6182;17,6342;18,4357;20,301;21,1824;21,586;21,3731;2,39378;0,00308616;-2,37305;-4,51512;+
Q22832(234);23,0937;23,0485;24,3155;23,4028;21,7678;20,4897;21,5053;21,0149;2,84868;0,00160836;2,27071;5,5721;+
Q22832(235);19,5397;19,2291;20,6574;16,6171;21,2276;21,5547;20,6354;20,5055;1,1624;0,0361167;-1,96997;-2,21359;+
Q22832(492);19,6961;20,9385;20,2637;19,0692;25,435;25,4003;25,6343;25,4797;5,0204;0;-5,49542;-13,6649;+
Q8WQB8(183);18,7886;18,4448;21,4132;19,2394;22,0855;20,489;19,631;21,2149;0,813318;0,0834601;-1,38362;-1,63246;
D3NQB5(149);20,3307;20,9601;19,4805;18,2813;20,7621;21,519;19,6622;20,0074;0,458331;0,21511;-0,724526;-1,01774;
D3YT77(49);24,1438;24,3426;22,5823;23,975;19,7032;20,6854;20,0644;20,4718;3,61455;0,000540541;3,52973;7,74795;+
D3YT77(57);21,8203;22,5435;24,0178;22,5739;19,9694;20,6495;20,7197;20,3783;2,48026;0,00268448;2,30965;4,70489;+
D4YWC3(77);18,9142;20,1141;19,4961;19,7609;23,604;24,0338;23,7666;24,081;5,34454;0;-4,3;-15,5227;+
D4YWC3(78);23,2902;25,0463;23,4214;24,1096;24,4575;22,9531;21,5042;23,3842;0,570746;0,15686;0,892118;1,21871;
