Leading.proteins.Positions.within.proteins;log2 eat2_d5_01;log2 eat2_d5_02;log2 eat2_d5_03;log2 eat2_d5_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log Student's T-test p-value eat2_d5_eat2_d1;Student's T-test q-value eat2_d5_eat2_d1; Student's T-test Difference eat2_d5_eat2_d1;Student's T-test Test statistic eat2_d5_eat2_d1;Sign p-val: 0.05 
A0A0K3AQS9(21);21,3461;21,3356;20,2074;21,4635;20,1117;21,2592;21,6426;21,1536;0,0363913;0,93732;0,0463715;0,105233;
A0A0K3AQS9(160);21,2255;20,8924;20,869;19,5424;23,0888;23,3046;23,0679;23,8624;3,1965;0,00505882;-2,69858;-6,49073;+
A0A0K3AQS9(122);22,6992;23,0176;23,1191;25,5379;22,9346;24,8838;25,3789;23,9325;0,348909;0,554242;-0,689;-0,811987;
A0A0K3AQS9(114);23,3056;23,3663;23,6906;22,986;25,79;22,4392;23,0577;23,7932;0,235878;0,670444;-0,432912;-0,583317;
A0A0K3AQT4(28);20,6956;20,7265;20,4906;21,5442;20,2928;19,9698;20,1963;21,073;0,699462;0,298216;0,481272;1,44059;
A0A0K3AQT4(76);19,7726;21,2043;21,3274;20,6785;21,0963;20,912;20,8785;20,2299;0,0286194;0,951115;-0,0334558;-0,0834269;
A0A0K3AQT4(15);23,5387;22,0954;23,6309;24,2179;24,1107;26,6339;26,9381;26,1947;1,79893;0,0412863;-2,5986;-3,32587;+
A0A0K3AUF2(802);24,1209;24,9183;24,6125;24,465;24,1314;24,3147;22,6413;26,1291;0,113891;0,822217;0,225055;0,306855;
A0A0K3ARB5(19);20,7298;20,9154;21,1321;20,4242;20,0765;21,5337;21,419;20,832;0,175242;0,742937;-0,164929;-0,450794;
A0A0K3ARB5(20);19,3772;20,8089;21,3365;21,7094;20,7941;19,6603;20,6867;20,8551;0,210585;0,699732;0,308918;0,529047;
A0A0K3ARB5(6);21,1086;21,5403;21,744;20,9044;19,3907;20,4478;21,35;20,0251;1,18362;0,125797;1,02091;2,24911;
A0A0K3AS90(1163);21,26;18,692;21,6605;21,9575;20,8704;20,3729;21,6243;20,9135;0,0227688;0,96024;-0,0527864;-0,066784;
A0A0K3AWX1(391);20,4063;21,2259;20,856;21,3477;20,9564;21,8743;21,1983;20,9949;0,442774;0,470449;-0,297033;-0,989195;
A0A0K3AWX1(378);20,2067;21,1319;21,5675;21,7429;20,1172;19,378;20,8477;20,3891;1,10844;0,142583;0,979265;2,12351;
A0A0K3AVS5(10);22,8618;22,8099;24,1874;22,8885;19,6512;20,623;20,637;21,3632;2,7799;0,00821836;2,61825;5,40249;+
A0A0K3AW96(1148);19,4154;20,9411;20,6079;21,8058;20,224;21,7503;20,1577;18,8285;0,235856;0,670244;0,452424;0,58327;
A0A0K3AW96(1306);21,1362;20,497;21,7356;21,356;20,8483;21,2299;21,6972;20,5487;0,102586;0,83222;0,100186;0,279;
A0A0K3AW96(2799);24,0847;23,4552;23,6388;24,5912;25,6721;25,3345;25,2425;24,467;1,86103;0,0377854;-1,23657;-3,44177;+
A0A0K3AW96(2725);22,4343;22,7659;22,0583;23,4681;23,6612;24,9205;23,6158;23,5435;1,51597;0,0681231;-1,25359;-2,81683;
A0A0K3AWB0(580);21,1207;20,9225;20,842;21,2514;21,4794;24,8791;22,9747;22,8663;1,54122;0,0648095;-2,01571;-2,86112;
A0A0K3AWB0(588);19,3826;20,8933;20,0842;21,9123;20,3309;21,4537;20,4319;21,0258;0,15351;0,768698;-0,242477;-0,40109;
A0A0K3AWM6(430);26,0783;26,5827;24,6099;25,78;20,12;21,7507;20,0534;20,4033;3,97299;0,00350943;5,18087;8,98273;+
A0A0K3AXE0(11);21,2874;20,3826;19,6053;20,6462;22,4303;22,7649;22,611;22,0671;2,71406;0,00875829;-1,98796;-5,24359;+
A0A0K3AXT9(687);22,5778;25,7959;23,12;22,9221;19,9877;21,6152;21,8766;20,4859;1,62976;0,0554612;2,61262;3,01807;
A0A0K3AXT9(697);24,1256;23,1609;23,4014;22,7519;20,2089;21,3739;21,1602;21,372;2,94742;0,00615297;2,33117;5,82227;+
A0A0K3AXT9(677);20,6564;21,6875;20,5786;19,8244;20,4863;20,7412;20,8545;19,7058;0,205976;0,705353;0,239778;0,519008;
A0A0K3AXT9(683);23,5538;23,6715;25,0661;23,2446;22,5374;23,6676;22,9655;24,5416;0,324794;0,577145;0,455964;0,764822;
A0A0K3AY44(449);21,2727;21,6916;21,7379;21,0921;20,445;21,4865;21,4319;20,6497;0,696435;0,299225;0,445277;1,43545;
A0A0K3AY44(442);20,6647;20,7967;21,1714;21,5711;20,8052;21,4248;20,9981;20,3659;0,201283;0,710767;0,152488;0,508737;
A0A0K3AY85(173);27,2443;25,478;23,7824;26,8731;24,7656;24,4963;24,7206;24,5222;0,761279;0,267099;1,21827;1,54513;
A0A0K3AY85(152);21,5656;19,5303;21,5522;20,1419;21,0927;21,2122;21,3657;20,2574;0,197103;0,716658;-0,284523;-0,499548;
A0A0K3AYE8(172);20,0202;21,0251;20,72;21,2733;21,5262;22,4827;22,4416;24,4971;1,56027;0,062198;-1,97719;-2,89467;
A0A0M7RFG7(49);19,2147;21,5103;21,354;21,0584;20,6771;20,6611;20,3198;20,9856;0,0812005;0,864989;0,123435;0,224972;
A0A0S4XRR1(215);20,4294;20,0904;21,6607;21,4177;21,0429;20,6115;19,8162;21,3312;0,151444;0,769812;0,199085;0,396296;
A0A0T7CIX3(487);26,7985;24,443;24,3687;26,0217;19,7109;21,4567;21,3905;20,6123;3,14884;0,00519861;4,61537;6,35849;+
A0A0T7CIX3(136);21,2652;21,0852;21,4821;20,4149;20,1268;21,1031;21,6238;20,4548;0,233542;0,673475;0,234747;0,578361;
A0A0T7CIX3(543);20,508;21,5313;20,7521;21,8189;21,5981;23,4093;23,2447;21,5807;1,15898;0,130852;-1,30563;-2,20788;
A0A131MBQ6(32);23,1669;25,2568;23,9282;24,4602;22,5722;24,5823;25,1195;24,4063;0,0157715;0,974768;0,0329752;0,0466106;
A0A131MCJ5(53);20,4518;21,3188;21,6377;20,9612;20,3938;20,5954;20,445;20,7507;1,06262;0,152816;0,546117;2,04723;
A0A131MD51(18);22,2234;23,2742;23,5723;22,6911;21,9222;22,6273;23,9803;23,7033;0,075013;0,873643;-0,118065;-0,208991;
O16293(195);20,3817;20,6603;20,7754;21,0525;20,6063;19,3543;20,9579;20,2706;0,521675;0,408375;0,420187;1,13201;
O02147(540);19,8363;22,7227;20,836;20,0648;22,3016;24,7085;25,9691;23,2469;1,65879;0,0526596;-3,19163;-3,07013;
F3Y5Q3(84);21,1803;21,7271;19,6316;20,3644;20,7274;21,2712;21,8845;21,3061;0,506753;0,419486;-0,571458;-1,10535;
Q9N350(17);21,0391;21,4325;21,7888;20,7147;19,6511;20,5802;21,1492;20,5286;1,02102;0,164805;0,766491;1,97809;
Q9N350(179);22,4724;22,6956;23,5364;23,6952;20,1667;20,9368;21,2222;20,33;3,09403;0,00578361;2,43596;6,20899;+
A0A1N7SYR3(844);21,2378;19,8349;21,5523;21,7171;19,2409;21,6692;20,9466;20,7021;0,277377;0,624626;0,445837;0,669664;
A1IMB7(151);25,965;22,8421;23,3381;23,8852;21,5437;22,0336;22,2475;23,2573;1,17861;0,126449;1,73706;2,24073;
A3QMB7(63);21,206;21,5263;21,4968;21,7754;19,7862;20,3313;21,4998;21,0685;1,08337;0,147298;0,829693;2,08176;
J7SF86(65);20,2734;20,259;20,0158;21,6882;20,2106;20,7925;21,2625;21,3095;0,306876;0,592554;-0,334688;-0,729262;
U4PRJ1(143);21,582;20,1746;21,4126;21,197;20,1385;21,0131;18,542;21,257;0,581036;0,365923;0,853909;1,23672;
A5JYX4(101);20,6948;21,3708;20,6507;21,9711;23,1305;23,9312;23,8744;22,6587;2,64433;0,0105553;-2,22686;-5,07884;+
A5JYX4(81);24,1129;24,3753;24,8917;24,4856;22,0736;23,9466;24,1974;23,8034;0,963689;0,184927;0,961143;1,88288;
A5JYX4(77);21,245;20,4202;20,87;20,6246;19,8675;20,7706;20,9515;20,5536;0,372905;0,528999;0,254143;0,858196;
A5JYX4(130);19,3386;20,697;20,7156;21,6778;22,1988;22,4953;21,5202;22,1974;1,53933;0,0647195;-1,49569;-2,8578;
A5JYX4(131);20,2291;20,613;19,7949;19,4653;22,1074;22,4953;21,5202;23,1808;2,76259;0,00857284;-2,30035;-5,3604;+
A5PEY0(153);25,5355;25,6998;26,2741;26,2982;20,9131;21,3883;20,6974;20,9538;6,04181;0;4,96378;20,3763;+
I2HA81(362);24,7242;27,0789;27,0492;27,1398;22,8822;27,0794;27,0144;26,7743;0,186077;0,729954;0,560451;0,475105;
A5Z2W7(48);21,0167;20,4802;21,2138;21,5717;20,7838;21,5025;21,4989;21,2999;0,295784;0,602577;-0,200682;-0,707012;
A5Z2W7(56);20,2934;20,4612;21,815;19,0872;19,3226;20,2489;21,1835;20,6749;0,0284606;0,951025;0,0567141;0,0829778;
A6PVA5(9);19,7895;20,7534;21,4499;21,8348;23,262;23,2864;21,0682;22,9927;1,29409;0,101598;-1,69546;-2,43516;
Q20621(425);21,1897;20,0253;19,5769;20,4429;23,2634;22,6777;22,0148;21,3952;2,06049;0,0270746;-2,02908;-3,82599;+
A7DT41(137);21,5836;19,9429;20,6132;20,6201;18,8158;21,5728;21,7393;21,1376;0,0589689;0,900126;-0,126427;-0,166764;
A7DT41(240);21,4812;22,0996;22,6976;22,4475;20,3176;21,194;20,477;20,8339;2,38577;0,0160221;1,47585;4,49777;+
A7DT41(165);21,3677;19,7855;21,0483;21,2688;23,8283;24,7014;25,0748;23,9268;3,50368;0,00402094;-3,51528;-7,3966;+
A7DT41(223);21,2246;20,1147;20,8393;20,825;20,5484;21,5432;21,2107;20,8539;0,400711;0,502937;-0,288186;-0,910921;
A7DT41(158);24,3781;24,4253;24,7751;24,4764;24,615;23,7201;24,2872;23,7657;0,906265;0,205784;0,416719;1,78745;
A7DT41(262);19,7496;20,66;21,2118;21,2848;24,0827;23,2516;23,8585;22,1429;2,45708;0,0139337;-2,60738;-4,65355;+
Q9XWW2(238);20,2102;21,101;20,1765;20,8463;20,7063;21,5031;21,8584;20,2812;0,546085;0,389456;-0,503722;-1,17532;
Q9XWW2(276);20,859;20,453;21,4226;21,3102;19,1112;21,2878;21,6913;21,2726;0,0999831;0,834548;0,170451;0,272519;
A7LPD6(582);21,0587;21,2205;20,7406;20,6755;20,7658;20,7158;20,6376;20,3455;0,987076;0,176503;0,307625;1,92172;
A7LPD6(545);25,6588;25,0256;24,5083;23,1772;20,8353;20,6443;20,6382;21,3902;3,26389;0,00526984;3,71546;6,68138;+
A7LPE6(329);20,9544;21,3599;20,9047;19,2858;20,5485;21,0322;21,4446;20,9136;0,305085;0,594066;-0,358543;-0,725682;
Q5FC71(99);24,3965;25,1333;27,012;24,9088;20,8513;21,8524;21,4673;19,8916;3,05092;0,00563578;4,34698;6,09333;+
Q5FC71(87);20,9745;20,879;21,0967;21,5458;20,0685;21,6842;20,4942;19,9995;0,645997;0,325599;0,562388;1,34924;
Q5FC71(50);25,0711;26,4664;26,7263;26,4932;26,5943;28,3036;28,7584;26,3827;0,953895;0,187287;-1,32049;-1,86661;
Q5FC71(63);25,3515;23,6736;24,0319;23,9483;24,122;24,0926;24,8296;27,9515;0,452617;0,4615;-0,997619;-1,00728;
Q5FC71(64);31,8013;33,8387;33,8163;32,9827;29,3594;31,1211;30,7817;29,4716;2,36506;0,0159928;2,92631;4,45315;+
Q5FC71(74);21,5985;21,2506;19,8359;21,6113;21,0924;21,1527;21,2322;20,7167;0,0199172;0,967792;0,0255666;0,0585987;
A8WFH7(312);20,7843;20,805;20,5197;21,6989;23,4759;23,0125;22,4648;22,8125;3,0073;0,00566565;-1,98941;-5,97797;+
A8WFH7(313);20,9733;19,8367;20,9435;19,9778;20,7436;20,9297;21,8716;21,0238;0,913304;0,202717;-0,709355;-1,79916;
A8WFH7(322);21,101;24,1767;23,4194;22,271;20,3805;22,665;24,4235;21,918;0,139067;0,791334;0,395265;0,367311;
H2KYH9(63);21,5217;20,5166;20,5425;21,5172;20,1333;20,809;20,2668;20,3764;1,00801;0,169485;0,628138;1,95648;
A8WHP8(79);24,2893;23,7657;24,4579;22,9699;23,8438;22,9258;22,5875;22,9949;0,930843;0,197263;0,782681;1,82831;
A8WHP8(57);20,8294;21,5916;21,2137;19,1049;20,588;21,3695;21,0452;21,043;0,229941;0,67902;-0,326537;-0,570698;
A8WHP8(68);21,2548;20,6183;20,8884;20,5537;19,6432;21,2902;21,5098;20,3485;0,104571;0,830835;0,13087;0,283924;
A8WHP8(347);21,5384;21,3693;20,8242;20,6777;20,2697;21,5125;21,7887;21,1808;0,078902;0,866707;-0,0855126;-0,219054;
A8WHP8(348);21,1554;20,6325;21,1355;20,2765;20,8158;21,1233;21,6061;21,1029;0,646387;0,325548;-0,362038;-1,34991;
A8WHP8(181);20,2544;21,6151;20,0617;21,1577;20,7415;20,7206;21,8826;21,3949;0,390059;0,510706;-0,412669;-0,890822;
A8WHP8(154);20,8074;20,8022;21,4128;21,3674;21,4412;22,6873;22,6751;20,7767;0,78539;0,254565;-0,797633;-1,58565;
A8WHP8(295);21,2695;23,6;22,7108;22,0169;21,4907;21,462;20,2302;20,822;1,27898;0,104565;1,39809;2,40958;
A8WHP8(297);20,4923;20,5112;19,8218;21,6285;23,114;23,335;21,5291;23,5152;2,06385;0,0269685;-2,25986;-3,83261;+
A8WHP8(218);21,0897;19,8147;20,7466;20,5453;20,9978;21,1914;21,0732;20,3696;0,50416;0,421585;-0,358947;-1,1007;
A9UJN7(555);21,5432;21,1509;20,6708;20,7141;20,3034;21,7889;20,2967;20,51;0,299502;0,598912;0,295002;0,714491;
A9UJN7(562);20,9299;20,9026;20,2859;21,8679;20,2461;21,3017;21,539;21,0835;0,0369704;0,936911;-0,0460305;-0,106845;
A9UJP1(38);20,3697;21,2713;21,0209;20,8613;19,0972;21,5018;21,4749;20,4262;0,164947;0,753398;0,255803;0,42741;
A9UJP1(71);20,3752;20,9983;20,3401;21,596;20,7754;21,2796;21,4993;21,2506;0,51407;0,413386;-0,373842;-1,11844;
A9UJP1(57);24,7759;21,6179;22,9029;22,9717;22,3508;24,0385;24,6726;22,9248;0,203821;0,708201;-0,429596;-0,514299;
A9UJP1(73);23,5517;24,5036;25,2843;25,071;23,7969;24,428;24,7722;23,5462;0,43505;0,475204;0,466818;0,974944;
A9Z1K9(338);25,7672;25,9749;25,6818;28,89;20,1415;21,4402;21,3336;21,2091;3,26677;0,00529084;5,54735;6,68964;+
B0M0L8(154);22,1166;23,2779;21,8406;23,467;22,2206;23,0069;22,2746;22,6231;0,120429;0,814267;0,144216;0,322759;
B0M0L8(179);25,229;24,3716;24,5296;23,2563;24,9529;25,1135;25,0916;24,3269;0,543198;0,391417;-0,524614;-1,17022;
B0M0L8(35);21,0146;20,967;21,408;20,6054;20,304;21,0669;20,6657;18,9223;0,75607;0,269476;0,759007;1,53636;
B0M0L8(98);22,8827;21,4374;21,4661;23,8239;22,9874;23,8159;23,6436;23,136;0,803617;0,246108;-0,993174;-1,61622;
B0M0N4(102);21,029;21,6173;21,7983;21,0978;18,7555;21,9056;20,2279;20,4692;0,767581;0,264043;1,04604;1,55573;
B0M0N4(3);23,7929;24,6363;24,2758;24,124;24,3454;23,7015;23,1392;21,4984;0,814098;0,241643;1,03615;1,63376;
B0M0N4(88);20,931;21,3061;21,7937;19,8725;20,7754;21,5527;21,8158;19,9556;0,0287559;0,950903;-0,0490322;-0,083813;
B2D6M4(494);25,5304;27,5923;26,6201;26,5127;24,9244;27,366;27,1777;25,6319;0,15145;0,770095;0,288845;0,396311;
B2D6M4(499);20,7468;20,9624;21,1756;20,5598;24,984;24,3233;25,3258;24,4813;5,20861;0,00376471;-3,91744;-14,7161;+
B2D6P1(119);21,6003;20,9568;20,6863;21,0526;20,5095;21,199;20,8649;20,7348;0,464699;0,454099;0,246945;1,02936;
B2D6P1(97);20,8261;20,4019;19,9709;20,3885;20,0498;21,5581;20,7946;20,5847;0,436379;0,474691;-0,349957;-0,9774;
B3CKG1(24);24,6014;25,6672;24,6381;24,9835;19,3419;21,7821;20,0069;20,6851;3,64282;0,00392405;4,51855;7,83973;+
B3WFT8(10);21,3531;19,5144;21,0243;21,69;24,8013;23,49;23,5209;23,1971;2,51166;0,0132383;-2,8569;-4,77502;+
E1B6S9(25);19,2882;20,5428;21,0318;21,5463;20,5692;21,8788;20,6257;19,418;0,00995945;0,985212;-0,0206618;-0,029623;
G5EC65(1032);21,0863;21,0029;21,1349;20,951;20,4316;20,9295;20,2328;21,3291;0,587304;0,361481;0,313033;1,24766;
B3WFW7(70);20,2918;19,5298;20,0551;21,9286;21,7908;21,7776;21,8369;19,7096;0,517348;0,410813;-0,827391;-1,1243;
B3WFY5(28);20,6349;21,5405;21,2236;21,7733;20,2881;21,8965;21,6186;20,5289;0,174786;0,742999;0,210053;0,449764;
B3WFY5(29);23,2228;22,8943;24,2937;23,8111;21,9412;22,5069;22,4384;23,249;1,32255;0,09727;1,02161;2,48345;
B3WFY5(30);24,1499;24,4939;24,652;23,8111;23,5732;23,558;23,4256;22,1002;1,48587;0,0720292;1,1125;2,76428;
B5BM23(908);24,4894;28,4348;27,7537;24,8589;19,7499;21,7201;21,2273;19,1894;2,64239;0,0104843;5,91254;5,07431;+
B5U8N2(48);18,9469;19,8055;21,0633;20,5318;20,3902;21,6241;21,5243;21,2768;1,0794;0,147723;-1,117;-2,07516;
B5U8N2(360);19,5044;20,8151;21,4949;20,1092;20,2006;21,8813;21,6502;21,3221;0,660167;0,316509;-0,782651;-1,37355;
B5U8N2(491);24,819;24,834;23,1623;23,0611;20,9247;22,208;23,6637;22,5598;1,13674;0,135588;1,63004;2,17072;
B6VQ78(562);19,6568;22,6306;23,9513;23,6542;20,7402;21,5127;21,0615;19,8414;0,80351;0,246077;1,68429;1,61604;
B6VQ78(569);21,3647;21,3349;20,829;20,8332;20,565;21,215;19,9568;20,3054;0,974219;0,180902;0,579909;1,90037;
B6VQ78(172);24,1702;24,2232;22,9661;23,9612;20,8063;21,7547;21,7957;19,9784;2,71482;0,0087791;2,74644;5,24541;+
B6VQ78(176);20,6392;21,7098;20,9488;20,2275;20,1589;18,8541;20,92;20,1963;0,791477;0,251867;0,848998;1,59587;
D9PTN8(403);20,5785;20,5149;21,7013;21,0948;20,4975;21,8731;21,6907;20,9261;0,265992;0,636584;-0,274472;-0,646283;
B7WN71(239);21,2807;21,2965;21,2213;20,4487;20,5753;21,8538;21,7585;20,5651;0,113811;0,821545;-0,126328;-0,306661;
B7WN95(52);20,3419;21,2027;20,3604;20,3478;22,1949;23,4438;24,3243;23,0751;2,82101;0,00730612;-2,69633;-5,50343;+
B7WNA1(64);21,7147;22,5178;22,0646;22,4565;25,9612;24,5155;26,1278;23,7499;2,52245;0,0130267;-2,90018;-4,79927;+
B9ZSG9(872);21,5045;20,9024;21,5147;21,3549;19,8703;21,3079;21,6396;20,3982;0,556328;0,383243;0,515154;1,19338;
C1P636(683);21,471;20,7173;19,5881;21,9699;24,3829;27,3911;27,7469;24,7838;2,64532;0,0105792;-5,13956;-5,08114;+
C1P636(727);22,5521;21,6449;21,9665;23,5047;20,0767;20,7002;20,7928;20,7136;2,23989;0,0195947;1,84625;4,18896;+
C1P636(864);28,286;29,9323;29,7354;28,7573;26,7961;29,2473;28,5872;27,7194;0,822775;0,237947;1,09026;1,64828;
C1P636(741);20,1321;21,8338;21,1902;21,0473;20,095;21,0316;20,7677;21,2815;0,239932;0,666211;0,25686;0,591895;
C1P636(104);22,8085;23,5901;24,9533;24,3424;21,381;24,6498;24,5692;23,2222;0,207748;0,702612;0,468042;0,522873;
C6KRI9(366);21,458;21,5299;22,758;22,377;23,4178;22,6652;22,4566;21,8489;0,585551;0,362617;-0,566406;-1,24461;
C6KRJ1(158);22,732;24,4234;23,0384;24,1261;20,6147;24,5905;24,5901;23,698;0,0719047;0,879024;0,206674;0,200901;
C6KRJ1(190);19,5567;21,5613;21,3932;20,3586;20,6628;21,0369;20,9473;20,4694;0,0440864;0,924111;-0,061635;-0,126499;
C6KRL2(4);20,5165;20,4768;20,0589;21,1083;20,8262;20,981;21,7895;20,1363;0,436389;0,47489;-0,393102;-0,977418;
C6KRL2(14);20,7262;21,7809;21,8341;20,1589;22,9168;23,8624;23,4076;23,9452;2,64365;0,0105315;-2,40798;-5,07724;+
C6KRL2(18);21,3622;21,7378;21,3455;21,7891;20,2009;21,6174;21,8525;20,0957;0,615201;0,343467;0,617054;1,29614;
C6KRN1(3);20,1318;19,6751;21,7919;20,0726;23,1583;24,5248;25,9561;23,2362;2,47885;0,0133439;-3,801;-4,70176;+
C6KRN1(24);20,3814;20,4836;21,7323;21,738;22,1506;23,3214;24,4259;21,7815;1,38638;0,0871273;-1,83603;-2,59241;
C7GIK1(69);23,811;22,8812;22,466;22,9325;23,3502;23,4996;22,6015;23,7689;0,316391;0,584281;-0,282404;-0,748201;
D0IMZ5(2153);21,5477;19,0419;20,7347;20,8467;20,9014;21,698;19,3266;20,3338;0,0102357;0,985473;-0,0221848;-0,0304355;
D0IMZ5(269);20,606;21,0738;19,3191;21,881;19,5755;21,3665;21,3168;19,8443;0,0995317;0,835196;0,194267;0,271392;
D0PV95(599);19,3101;21,5928;21,3521;20,4235;19,336;21,5063;21,0711;20,7198;0,00543081;0,994284;0,011354;0,0162355;
D0Z5P0(53);21,329;21,5462;21,6418;19,4906;20,5128;21,7192;21,6914;19,8671;0,027221;0,952906;0,0542946;0,0794671;
D0Z5P0(541);20,7662;21,4595;20,9881;21,0587;20,1461;21,3154;21,7611;20,5787;0,111871;0,820847;0,117785;0,301913;
D0Z5P0(470);20,4718;20,3956;21,7591;21,5323;20,8005;23,2358;22,5839;23,7822;1,10316;0,143517;-1,5609;-2,11471;
Q22832(234);24,509;25,7114;25,2927;25,8654;23,0661;24,3663;23,8804;23,8569;2,06037;0,0270343;1,55223;3,82574;+
Q22832(235);25,3073;26,7902;26,0234;27,1309;20,4505;20,5782;21,5406;21,0552;4,54856;0,00246809;5,40682;11,3317;+
Q22832(492);23,796;25,5118;25,5586;26,0285;22,5459;25,5605;25,091;24,0634;0,502211;0,422561;0,908522;1,09721;
Q8WQB8(183);20,462;19,6709;21,2049;21,2928;20,2351;19,5339;19,8739;19,2225;1,12831;0,138021;0,94132;2,15666;
D3NQB5(149);19,858;21,7673;21,5756;21,8638;19,1156;21,4079;20,5093;21,0382;0,495077;0,429951;0,748423;1,08439;
D3YT77(49);23,0579;21,7964;24,7733;22,4304;26,9154;24,1033;23,6747;25,4848;1,08528;0,146988;-2,03006;-2,08494;
D3YT77(57);20,4155;21,8365;20,9268;21,0737;20,6808;21,1046;21,0922;20,269;0,332231;0,570273;0,276476;0,77945;
D4YWC3(77);21,4333;20,9433;22,0595;22,2341;20,5166;21,2539;21,2144;20,885;1,06099;0,153045;0,700077;2,04453;
D4YWC3(78);22,7256;22,2712;23,2153;20,8154;22,4424;22,9434;21,4398;21,4046;0,115241;0,821195;0,199344;0,310151;
D4YWC3(41);23,5316;24,951;24,5745;26,6976;22,8801;23,3068;27,7911;25,1851;0,0395293;0,933593;0,147896;0,113943;
D4YWC3(51);24,5724;24,1726;23,2585;23,9493;23,5754;24,7777;25,0008;23,6026;0,213989;0,695334;-0,250905;-0,53643;
D4YWC3(59);24,5962;26,2509;27,3165;25,7321;26,1208;25,6806;26,0864;27,6045;0,227513;0,681237;-0,399135;-0,565516;
