ProteinAccessions;log2 daf2_d15_01;log2 daf2_d15_02;log2 daf2_d15_03;log2 daf2_d15_04;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04; -Log Student's T-test p-value daf2_d15_eat2_d15;Student's T-test q-value daf2_d15_eat2_d15; Student's T-test Difference daf2_d15_eat2_d15;Student's T-test Test statistic daf2_d15_eat2_d15;Sign p-val: 0.05 
A0A0K3AY44;11,1797;0;11,7027;11,9444;14,5274;14,9106;14,1329;14,1151;1,01132;0,0218441;-5,71475;-1,96198;+
A0A0K3AY85;11,6281;11,721;12,6924;12,1074;17,0251;16,7949;16,5392;16,7802;5,74663;0,000245902;-4,74766;-18,1648;+
A0A0K3AYJ1;12,4012;13,0067;12,079;12,7615;18,2089;18,0073;17,8211;18,1223;6,55837;0;-5,47781;-24,8952;+
A0A0M7REP5;16,969;17,1551;16,6583;16,6533;14,2564;13,9323;14,303;14,672;4,92338;8,78E-05;2,56803;13,1512;+
A0A0S4XR31;15,548;15,909;14,9418;15,2816;16,6829;16,1602;16,4987;17,0321;2,28526;0,000920902;-1,17337;-4,28363;+
A0A0S4XR36;12,8848;11,3349;11,9022;11,0724;14,9076;14,8515;14,3097;14,7577;3,32679;0,00019084;-2,90807;-6,86332;+
A0A0S4XR43;14,3554;14,8698;15,2589;15,5152;16,9135;18,0429;17,0148;18,1154;3,07322;0,000196778;-2,52183;-6,15295;+
A0A0S4XR45;10,3791;12,9526;13,9639;12,0798;14,5088;15,3408;14,8214;15,0466;1,79344;0,00279774;-2,58555;-3,3157;+
A0A0S4XR68;15,6695;15,2273;15,0333;15,8729;14,4437;14,7402;14,5769;15,2609;1,41166;0,0076881;0,695313;2,63583;+
A0A0T7CIX3;14,2199;14,5321;13,2238;13,2607;14,2698;14,6345;14,9513;14,3684;1,05604;0,0193665;-0,746874;-2,0363;+
A0A0U1RML5;14,5608;13,9;15,9433;15,3709;14,7205;15,3466;14,1093;15,1959;0,067952;0,631955;0,10067;0,190551;
A0A131MAU8;11,9446;14,1103;12,5545;11,976;15,0152;15,4174;14,0271;14,1608;1,7857;0,00287967;-2,00877;-3,30139;+
A0A131MB12;14,2522;14,2834;15,2578;15,1575;16,7812;17,1397;16,4086;17,1083;3,23683;0,00018596;-2,12174;-6,60429;+
A0A131MBA2;12,1904;11,6131;12,4417;12,0958;14,2153;15,2885;14,9233;15,5025;3,90728;0,000112345;-2,89719;-8,7444;+
A0A131MBB2;14,8595;14,4487;14,6613;15,687;17,4286;17,1168;17,8944;17,1989;3,61307;0,000140892;-2,49557;-7,74317;+
A0A131MBC3;14,9965;15,5489;15,1183;15,4392;15,4904;16,1751;15,6821;17,814;0,953402;0,0254171;-1,01465;-1,86579;+
A0A131MBF9;13,7875;14,0472;14,1074;13,9659;17,0963;17,2883;17,1651;17,6089;6,55668;0;-3,31266;-24,8789;+
A0A131MBG0;12,2141;11,9291;11,7245;12,0408;13,5014;14,8787;14,9912;14,9658;3,35065;0,000152657;-2,60714;-6,93339;+
A0A131MBG4;10,7789;10,776;11,2011;10,8951;15,1018;15,8048;14,7287;16,1082;5,01543;9,43E-05;-4,52312;-13,6381;+
A0A131MBU3;18,2469;18,4921;18,0862;18,343;18,486;19,0949;18,6693;19,0721;1,68051;0,00381697;-0,538555;-3,10926;+
A0A131MCJ0;14,1769;14,1706;13,6974;13,3656;14,9512;15,1653;14,7827;14,5216;2,23676;0,00097283;-1,00256;-4,18248;+
A0A131MCL1;12,2741;11,8514;11,6321;11,9399;14,8386;15,4973;14,6679;15,2853;4,98012;9,19E-05;-3,14789;-13,4493;+
A0A131MCL4;14,1267;14,1581;13,718;14,0143;14,7368;15,4125;14,7582;15,2962;2,6739;0,000359032;-1,04663;-5,14825;+
A0A163UT65;15,2906;15,2906;14,9485;15,2859;14,8537;13,8747;14,1222;14,9647;1,42642;0,00744222;0,750104;2,66125;+
A0A164D380;14,6701;15,3405;14,7615;15,7224;16,0663;16,2508;15,9408;16,1495;2,04874;0,00168043;-0,978215;-3,80281;+
A0A164D3C9;15,7529;15,3083;15,6958;16,429;14,3041;15,4268;14,617;15,3927;1,24852;0,0115507;0,86133;2,35816;+
A0A164D3G3;15,4699;14,4148;15,4962;14,9293;15,029;15,2687;14,1828;14,5604;0,394447;0,136372;0,317309;0,899116;
A0A168H9Z7;14,0168;15,8241;14,2198;14,1418;17,5211;17,356;17,34;16,814;3,00492;0,000216125;-2,70714;-5,97171;+
A0A1C3NSI5;15,6143;15,803;15,3881;15,7427;14,5094;15,4919;14,6169;14,9703;1,66842;0,00395732;0,739903;3,08745;+
A0A1C3NSL1;11,9171;12,2049;12,2413;12,078;14,2628;14,8545;15,0037;14,8676;5,19;0,000117647;-2,63682;-14,6088;+
A0A1C3NSL5;18,7993;19,158;18,5913;18,9076;18,4237;18,5668;18,2106;18,6;1,50939;0,00613803;0,413762;2,80531;+
A0A1D3PCL0;11,6659;11,9376;11,7363;11,9968;14,6816;15,437;14,9032;15,1038;5,70654;0,00023622;-3,19728;-17,883;+
A0A1D3PCL8;14,317;14,6147;14,2337;13,9844;15,8234;15,3592;16,4145;14,9125;2,07934;0,00157352;-1,33995;-3,8633;+
A0A1I6CM73;12,0296;11,8316;11,6299;11,6139;14,9823;14,6351;14,665;15,3349;5,48569;0,000172911;-3,12808;-16,4049;+
A0A1I6CM84;15,4036;15,1741;15,4845;14,2731;15,9712;16,3456;16,4401;16,5278;2,18291;0,00109899;-1,23735;-4,07176;+
A0A1I6CM85;13,3827;13,5771;12,9542;11,7949;14,8144;15,4542;15,0403;14,6875;2,51475;0,000633607;-2,07185;-4,78197;+
A0A1I6CM94;15,0814;15,9583;15,9012;14,9412;16,6746;17,4854;16,6199;18,2509;2,05251;0,0016694;-1,78717;-3,81024;+
A0A1I6CM95;13,5757;0;12,8483;12,9887;14,5589;15,4747;14,7881;14,9943;0,76332;0,0437358;-5,10087;-1,54856;+
A0A1I6CMC9;12,277;11,8445;11,4988;11,9791;14,8097;14,4842;14,6116;15,4395;4,47959;0,000117763;-2,93638;-11,0235;+
A0A1N7SYP3;18,6546;18,747;18,9479;19,3414;20,7031;21,3275;20,7838;21,3111;4,06441;0,000124188;-2,10861;-9,32383;+
A0A1N7SYP6;16,776;16,9279;16,7213;17,0443;19,6491;18,0783;17,8849;20,1577;1,96373;0,0021621;-2,07512;-3,6372;+
A0A1N7SYQ5;14,7991;13,8354;15,6027;14,8009;14,5257;15,4335;14,6882;14,9133;0,118067;0,462401;-0,130642;-0,317032;
A0A1N7SYT2;12,3188;12,009;11,6344;12,0701;14,0825;15,3217;14,0565;14,8301;3,56183;0,000137413;-2,56463;-7,57919;+
A0A1N7SYU2;12,1931;12,02;12,5006;11,8892;17,2878;17,3288;17,0572;17,7547;6,71928;0;-5,20638;-26,4939;+
A0A1N7SYW5;12,2988;12,0911;11,7374;12,0829;14,0703;15,0618;15,034;15,124;4,23677;9,84E-05;-2,76994;-9,99836;+
A0A1T5HUK0;15,4607;14,5094;15,3042;16,102;13,7413;14,6593;15,0532;15,3199;0,656714;0,0593755;0,650639;1,36764;
A0A9S0;12,2833;11,8588;11,4381;11,8065;14,062;14,6214;13,781;15,1548;3,47103;0,000131013;-2,55813;-7,29571;+
A0A9S2;14,2153;14,5405;14,2648;14,7663;14,9567;14,8565;15,0333;15,1966;2,06611;0,00158833;-0,564068;-3,83708;+
A2V8C3;18,4719;18,5188;18,6231;18,8389;19,7982;20,5462;20,1392;20,5977;3,71892;0,000100292;-1,6571;-8,09141;+
A2V8C8;17,4455;18,0514;18,6233;18,8419;19,5576;19,7935;19,4083;19,8309;2,28408;0,000938089;-1,40705;-4,28117;+
A3FPJ3;12,3149;12,0044;11,7213;12,0181;14,7525;15,1287;15,0067;15,0204;6,0478;0,000368098;-2,96239;-20,4238;+
A3FPK9;17,5609;17,4753;17,0124;16,7951;14,7474;14,6052;13,9862;15,4864;3,36743;0,000153622;2,50458;6,98299;+
A3FPL3;12,606;12,878;12,2253;12,7557;14,7712;14,7025;14,572;15,1692;4,57018;0,00012766;-2,18747;-11,4299;+
A3QM97;15,029;14,6224;13,6074;13,6828;14,9991;15,1938;13,8776;14,742;0,463232;0,106913;-0,467737;-1,02669;
A3QM98;16,6624;16,6246;18,0332;17,0774;16,99;16,2425;15,7647;16,7174;0,781989;0,0414129;0,67078;1,57995;+
A3QMB6;12,2956;11,8041;11,475;11,9343;14,2221;15,157;14,7275;15,3156;4,23576;9,82E-05;-2,97829;-9,99431;+
A3QMB7;13,5636;12,2958;13,6018;14,0679;16,7035;16,8553;16,3854;16,0278;3,49658;0,000132711;-3,11075;-7,37457;+
A3QMC2;15,5672;15,6467;15,3658;15,2903;15,8529;16,3428;16,3156;17,1644;1,80408;0,00280357;-0,951414;-3,33542;+
A3QMC5;17,512;17,0712;17,28;17,8638;14,3029;15,2179;13,6977;15,4859;3,08029;0,000197294;2,75564;6,17195;+
A3QMC6;14,8115;15,3765;14,7938;14,8954;14,968;15,4456;14,9555;15,0266;0,301769;0,195265;-0,129638;-0,71904;
A3QMC8;14,6081;14,7759;14,6536;14,6401;14,7459;15,2314;15,0486;14,7146;1,06499;0,0190209;-0,265703;-2,05118;+
A4F303;12,2935;12,0843;11,7668;11,9464;13,1855;14,7881;13,2804;15,2455;2,111;0,00143646;-2,10211;-3,92641;+
A4F305;15,3395;15,1347;15,7461;15,1258;14,832;15,4162;14,3882;14,3906;1,06212;0,0191222;0,579788;2,04641;+
A4UVK2;14,5494;14,6214;13,5333;14,217;16,9422;18,8453;16,1912;18,3191;2,64004;0,000396609;-3,34419;-5,06882;+
A4UVK9;12,105;12,051;11,7079;12,1104;15,0067;15,4976;14,0725;14,9913;4,05105;0,000122594;-2,89849;-9,27329;+
A4UVL1;12,2267;11,5243;11,189;12,0329;14,4222;15,0016;14,8909;15,2818;4,38948;0,00010979;-3,15592;-10,6324;+
A4UVL9;14,4207;13,799;14,3348;14,2994;14,7898;15,0756;14,5281;14,6389;1,59835;0,00481383;-0,544677;-2,9621;+
A4UZ35;13,8391;13,9435;13,2652;12,8191;14,4764;14,9598;14,6973;14,9592;2,40996;0,000655328;-1,30646;-4,55025;+
A5A8P5;17,2311;16,5109;18,7434;17,6686;14,3879;15,2903;13,8855;14,6774;2,77867;0,00027853;2,9782;5,3995;+
A5HU91;18,5853;17,9223;18,8035;18,8608;21,7595;22,3501;21,9872;22,2117;5,09369;0,000103806;-3,53416;-14,0654;+
A5HU97;18,5305;18,4795;18,2691;18,7642;18,8885;19,2838;19,0265;19,4784;2,12753;0,00134451;-0,65847;-3,95957;+
A5HU98;16,2173;16,4049;16,3813;16,8139;17,8259;17,438;18,0347;17,1486;2,57811;0,000469993;-1,15749;-4,92566;+
A5HWA4;12,2577;11,7809;11,7758;11,8512;14,7941;14,6765;14,2597;14,4428;5,39598;0,000151899;-2,62687;-15,8388;+
A5HWA9;11,3154;11,9978;11,6782;11,8088;14,1563;14,7917;14,6092;13,757;4,13764;9,07E-05;-2,62848;-9,60529;+
A5HWB2;13,6777;14,5074;13,2002;12,8784;14,9775;15,2683;14,2817;15,1995;1,75962;0,00307656;-1,36581;-3,25335;+
A5JYR4;14,6595;15,1608;14,8982;15,1911;14,1811;14,6769;14,8414;14,5232;1,17982;0,0139452;0,421765;2,24276;+
A5JYS8;14,3939;12,651;13,7199;14,0018;14,5139;15,1227;14,4295;15,4503;1,4248;0,0074701;-1,18744;-2,65846;+
A5JYT2;14,8536;15,5236;14,7472;15,1124;14,9356;14,1599;13,9732;15,4948;0,484354;0,0996613;0,418322;1,06504;
A5JYU1;13,8901;14,4191;13,8698;13,8172;14,3757;14,7684;14,4657;15,1673;1,65096;0,0042;-0,695242;-3,05605;+
A5JYU5;11,9391;11,6458;11,429;12,101;14,5377;14,6946;13,3789;15,4091;3,05581;0,000221645;-2,72632;-6,10636;+
A5JYW3;16,2772;16,1224;16,2639;16,5886;16,9136;17,5095;16,7911;16,8524;1,96728;0,00214559;-0,703617;-3,64406;+
A5JYW9;12,2229;11,8124;11,7175;11,7053;18,2632;18,495;18,3579;18,7011;7,9535;0;-6,5898;-42,6424;+
A5JYX3;17,3748;13,4242;18,5821;17,4359;15,0417;15,481;14,469;14,2981;0,807074;0,0380449;1,88179;1,62201;+
A5JYX4;16,9128;16,6235;16,857;17,0926;16,882;16,9376;16,7771;17,6717;0,376823;0,145829;-0,195662;-0,865675;
A5JYX8;14,8733;14,8367;14,5416;14,6556;14,6014;15,0606;13,5442;15,4152;0,0612465;0,660138;0,0714717;0,172831;
A5PEY0;11,7999;11,6419;11,7698;11,7881;15,224;15,494;15,0439;15,4732;7,15452;0;-3,55887;-31,3434;+
A5Z2S2;14,4255;14,2048;14,1811;14,5446;15,0448;15,0833;15,0428;15,3635;3,30252;0,000189663;-0,794631;-6,79267;+
A5Z2S4;14,9972;14,5366;14,3054;15,2929;14,9982;15,343;14,9369;15,3594;0,74141;0,0466648;-0,37636;-1,51164;+
A5Z2S9;12,2053;12,4081;11,6583;11,705;14,3328;14,9222;14,9536;15,4288;4,24089;9,89E-05;-2,91516;-10,015;+
A5Z2T6;12,2964;11,7691;11,7578;11,9621;14,4219;15,3128;14,6311;15,456;4,39365;0,000110701;-3,00907;-10,6502;+
A5Z2T7;12,5345;14,8785;12,7149;13,0568;14,8476;15,5506;14,0281;14,9462;1,32277;0,00947363;-1,54692;-2,48383;+
A5Z2T9;15,3191;15,6358;14,5398;14,6891;15,752;16,646;16,5761;16,4877;2,13655;0,00126662;-1,31946;-3,97773;+
A5Z2U5;14,3292;14,0998;15,1131;14,8261;14,976;15,5309;14,0684;15,0651;0,358459;0,157274;-0,318031;-0,830461;
A5Z2U8;15,6714;15,8957;15,0674;15,243;13,8843;15,2561;14,4971;14,3596;1,52589;0,00595571;0,970126;2,83421;+
A5Z2U9;17,894;18,0955;16,8228;16,9758;18,7434;19,297;18,7806;19,4055;2,35322;0,000784636;-1,60961;-4,42775;+
A5Z2V2;13,642;14,4742;13,2415;14,477;14,6542;15,1207;15,0478;15,4889;1,71148;0,00355984;-1,11919;-3,16537;+
A5Z2V3;12,243;11,7716;11,5276;11,9632;14,4622;14,1809;14,7376;14,2143;4,83122;8,09E-05;-2,52236;-12,6801;+
A5Z2V7;15,5466;14,894;14,7668;15,0814;15,0543;14,9438;14,5349;15,4154;0,128308;0,43605;0,0851207;0,34173;
A5Z2W3;16,9431;16,8232;17,2015;17,5917;14,1236;15,1019;14,7599;15,1637;3,70182;0,000148062;2,35258;8,03427;+
A5Z2W6;15,5987;15,7233;14,8575;15,5995;14,8309;14,7663;14,5387;15,3263;1,17982;0,0139416;0,579176;2,24275;+
A5Z2W7;18,2381;18,2884;18,3855;18,4874;19,3269;19,5563;18,8695;19,0644;2,75481;0,000326812;-0,854445;-5,34154;+
A5Z2X2;15,2404;13,5892;11,8615;13,1784;14,6928;15,5357;14,993;15,0193;1,1651;0,0144308;-1,59286;-2,21812;+
A6PVA1;14,7417;12,2599;14,0417;14,0236;14,9522;14,0762;14,9164;14,6683;0,772684;0,042514;-0,88658;-1,56431;+
A6ZJ46;15,3063;16,9573;14,8622;15,3846;15,0867;16,3946;15,5429;16,7642;0,213068;0,283723;-0,319463;-0,534434;
A6ZJ55;12,2225;12,0746;11,6707;12,0115;17,6397;18,4758;18,4772;18,0022;6,69654;0;-6,15394;-26,262;+
A6ZJ59;12,31;12,0494;11,1482;12,0599;13,9724;14,9411;14,9308;14,6761;3,69423;0,000147126;-2,73819;-8,00904;+
A7DT38;12,1924;11,9816;11,7117;11,8277;14,7946;14,935;13,9673;15,405;3,97364;0,000118294;-2,84713;-8,98511;+
A7DT40;15,1597;15,9936;14,0412;14,3802;14,4212;15,5512;14,7071;14,7319;0,0280695;0,828184;0,0408041;0,0818712;
A7DT45;18,8682;19,045;18,3888;18,6401;14,2446;14,2293;14,4945;15,507;4,75962;7,59E-05;4,11668;12,3251;+
A7DTF0;15,761;15,9089;15,318;15,997;16,6786;14,3018;17,2016;16,1517;0,206206;0,293072;-0,337225;-0,519509;
A7DTF2;12,0463;11,7881;11,7664;12,0141;14,6995;15,4452;15,0334;14,9991;5,79102;0,00025641;-3,14056;-18,4818;+
A7LPD6;17,0974;16,8359;16,4565;17,2569;14,4757;14,1401;14,4937;15,1601;3,83604;0,000106634;2,34429;8,49229;+
A7LPE4;15,6545;15,8766;15,9252;16,2674;14,6848;15,0214;14,1118;15,2189;2,28582;0,000921522;1,1717;4,28482;+
A7LPE6;17,8342;17,9706;18,0276;18,2294;19,6233;20,4551;19,5614;20,6663;3,37044;0,000154071;-2,06106;-6,99191;+
A7LPF3;15,412;15,6111;14,7516;15,7376;16,2432;16,0816;16,1206;15,7111;1,43214;0,00735275;-0,661037;-2,67112;+
A7LPF5;16,3979;16,3768;17,4094;16,9925;15,038;14,9672;14,4019;14,174;3,22054;0,000184758;2,14886;6,55822;+
A7LPG5;18,2306;18,212;18,2512;18,6388;19,4625;21,6777;19,5835;21,4465;1,9876;0,0020273;-2,20936;-3,68334;+
A7LPH5;14,6566;14,8952;14,5585;14,8311;16,6134;16,5889;16,4383;16,7906;5,67605;0,000224719;-1,87247;-17,6716;+
A7LPI4;14,9535;15,33;14,9693;15,1808;13,9078;14,8434;14,6176;15,3325;0,674914;0,0564914;0,433046;1,39877;
A7LPI7;11,9435;11,9813;10,6591;11,9359;14,9052;14,8763;14,9957;14,6754;4,18097;9,41E-05;-3,23322;-9,77535;+
A7LPJ5;15,0074;14,6477;15,7478;15,0624;18,9285;19,1877;19,1551;18,9992;5,51715;0,000182371;-3,95131;-16,6081;+
A7WK39;16,5728;17,1803;16,5096;17,0049;14,5175;14,7298;14,8358;15,4713;3,4877;0,000132095;1,92831;7,34709;+
A7WK43;12,1622;12,0831;11,7787;11,7468;14,4519;15,3854;14,6902;15,5107;4,46643;0,000116279;-3,06682;-10,9656;+
A8WFF4;14,2642;15,1898;13,9804;14,7164;14,7877;14,7951;14,8405;14,0604;0,0935687;0,535475;-0,0831959;-0,256438;
A8WFI3;14,5191;13,828;14,8666;14,1217;15,8891;15,2633;16,0932;15,5059;2,43534;0,000659218;-1,35402;-4,60571;+
A8WFJ8;13,304;13,5934;14,0243;13,436;14,7955;14,707;14,3759;14,764;2,94716;0,000212184;-1,07116;-5,82159;+
A8WFK6;16,7116;17,7945;17,0093;17,2227;17,5841;16,9092;16,5502;16,4934;0,386853;0,140228;0,300325;0,884748;
A8WFM5;14,0738;13,4048;14,3071;14,3769;14,6225;14,9535;14,0126;15,2519;0,995069;0,0226506;-0,669496;-1,93499;+
A8WHM5;15,7203;14,5106;13,8264;14,9833;14,218;15,3352;14,5615;14,6291;0,0566279;0,681835;0,0742071;0,160503;
A8WHN5;15,8281;16,0929;15,7194;16,7241;14,4504;14,8734;14,9851;14,9652;2,58528;0,000471185;1,27262;4,94208;+
A8WHS3;12,2955;11,9865;11,5129;11,9302;14,0469;14,6311;14,2773;13,9423;4,3203;0,000103986;-2,29314;-10,3408;+
