geneName;Leading.proteins,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
;A0A0T7CIX3,22.3153,23.6387,25.56,21.9732,23.3789,22.8895,20.8006,22.9397
rpl-11.1;A0A131MBQ6;Q94300,18.819,18.9241,19.1981,16.4408,25.1108,26.1567,25.8829,25.2848
mdt-18;A0A131MCJ5,19.0749,17.2805,17.6864,17.6319,23.1595,23.2072,24.6513,24.1212
rnf-5;A0A131MD51,17.2094,21.3529,18.6864,19.1835,20.867,21.1862,20.7891,20.8594
fipp-1;O16293,20.4288,16.8812,15.7731,17.6074,21.6274,20.1542,21.3373,20.2275
;O02147,16.6471,16.5986,17.5232,15.7265,24.4651,24.1807,23.4572,24.2615
spat-2;F3Y5Q3,23.5195,24.0505,23.9401,24.3921,21.9272,20.9851,21.1849,20.5479
;Q9N350,17.9925,18.1336,17.8698,16.0204,23.4188,22.5584,26.8347,23.4788
;Q9N350,18.223,16.7634,18.7061,18.8272,24.2873,22.7752,23.5959,22.11
;A0A1N7SYR3,19.9284,16.0746,17.4457,21.3675,21.695,21.2506,20.1661,19.7916
;A1IMB7,17.6137,16.2196,17.9873,18.0177,21.1346,20.6906,21.0994,20.4001
;A3QMB7,18.2404,19.1517,18.5459,17.1143,20.7533,20.264,20.5696,21.0339
;J7SF86,18.5131,15.9295,16.7924,18.8893,21.7961,20.2847,20.5564,20.116
;U4PRJ1;Q95ZL3,17.6739,20.5709,18.6834,17.1073,21.6964,20.9746,20.8258,21.3205
dhs-3;A5JYX4,15.8591,18.2536,18.2596,17.0309,24.2108,23.1112,23.859,21.3045
dhs-3;A5JYX4,17.6546,18.8981,15.447,18.3201,26.0093,22.103,25.3166,25.5269
dhs-3;A5JYX4,18.6665,18.1172,18.8853,17.6799,21.5335,20.9716,19.4306,20.4544
dhs-3;A5JYX4,19.0056,15.6309,19.8691,17.671,22.6773,22.232,21.6404,22.4295
dhs-3;A5JYX4,16.4654,17.3029,19.1918,17.068,22.6773,22.232,24.1891,24.6567
;A5PEY0,17.3816,17.7264,17.8202,16.5209,25.4644,22.8952,23.3948,23.1835
;I2HA81,24.0944,26.341,25.3171,25.1258,26.4924,25.37,25.1078,24.4062
;A5Z2W7,18.647,20.0237,17.5179,17.5502,22.5596,22.6869,23.4988,22.4997
;A5Z2W7,17.4493,16.6851,19.2948,20.4206,21.968,21.1502,21.3301,20.8869
;A6PVA5,19.5992,17.1533,20.0019,17.3718,27.5735,23.9388,24.4157,22.9424
;Q20621,16.7016,18.5542,17.5189,17.9472,21.3146,20.6435,20.8705,20.5577
tag-296;A7DT41,16.0578,19.7925,18.7766,19.1982,23.0492,22.3925,24.97,22.0553
tag-296;A7DT41,19.3238,17.7215,19.1374,17.0103,21.4522,20.5941,20.7678,21.2938
tag-296;A7DT41,21.955,21.9151,22.3214,22.7479,25.3521,24.2168,23.9424,23.4319
tag-296;A7DT41,17.7618,18.0225,19.0974,18.7176,21.412,19.658,21.3901,21.2744
tag-296;A7DT41,17.0682,18.5915,19.2448,17.8919,24.1845,20.9528,23.4102,23.4571
tag-296;A7DT41,21.7963,23.2136,24.5772,21.9635,24.5448,23.4025,23.1043,23.8193
mrg-1;Q9XWW2,17.3944,16.3736,16.7751,17.9778,21.3288,21.232,20.8383,21.4169
mrg-1;Q9XWW2,19.3277,15.9895,18.3958,19.0922,21.5198,20.3758,21.1726,21.0898
igcm-3;A7LPD6,15.9451,19.6048,19.3003,18.7618,21.7712,21.1057,21.3015,21.3149
igcm-3;A7LPD6,23.7459,23.6288,24.0346,22.4553,24.3295,22.7091,22.7206,23.6534
gpdh-2;A7LPE6,18.0096,18.2239,17.8341,18.1462,21.5275,21.2404,20.8049,20.7134
;Q5FC71,19.1099,19.8583,21.344,18.6697,20.3206,21.0849,20.6799,20.3585
;Q5FC71,18.3516,17.533,18.6161,17.6739,23.178,21.7079,23.041,22.4926
;Q5FC71,15.6631,18.0475,17.4507,18.2885,23.473,22.5561,23.3486,23.2706
;Q5FC71,17.8397,18.9099,16.8287,18.0884,23.4473,25.6413,23.8265,24.7489
;Q5FC71,27.0045,28.323,25.8017,27.5357,30.5159,28.3956,27.4724,27.457
;Q5FC71,16.2716,17.2125,17.2737,16.6483,21.1731,21.0306,20.6905,20.6821
;A8WFH7,22.5643,24.0001,21.6725,22.8817,21.9383,21.0262,21.0937,21.3629
;A8WFH7,19.6347,17.606,15.6609,17.1459,21.6483,21.1861,21.274,20.5321
;A8WFH7,17.1084,18.2615,19.0927,17.0435,21.9007,20.8866,21.1112,20.8968
;H2KYH9,15.9268,18.8791,19.0479,18.6844,20.9452,20.3794,21.3666,20.8089
mdt-28;A8WHP8;Q65ZB1,18.0862,20.7003,16.6657,18.8695,21.0232,20.9093,20.3694,20.2612
mdt-28;A8WHP8;Q65ZB1,17.2651,17.8724,19.9237,16.5159,21.4926,20.4379,20.3095,20.0491
mdt-28;A8WHP8;Q65ZB1,16.4139,14.4741,17.503,17.3345,21.8556,21.2609,20.4131,21.153
mdt-28;A8WHP8;Q65ZB1,17.5167,16.6113,17.5731,17.7571,21.055,20.9253,21.3503,20.5017
mdt-28;A8WHP8;Q65ZB1,20.4217,17.8456,19.3533,15.5039,21.2944,20.9086,20.4398,21.4136
mdt-28;A8WHP8;Q65ZB1,19.6349,16.4658,19.1677,17.4659,21.8871,20.6285,21.2773,21.3874
mdt-28;A8WHP8;Q65ZB1,23.4111,24.0388,23.8164,23.4749,23.2677,24.7549,24.1846,22.9503
mdt-28;A8WHP8;Q65ZB1,20.7419,22.2576,23.8703,21.1095,22.3801,22.2303,22.1913,23.5533
mdt-28;A8WHP8;Q65ZB1,16.7429,18.0243,17.0813,19.0057,21.0094,20.4796,20.4503,20.9462
mdt-28;A8WHP8;Q65ZB1,17.7038,18.3006,19.4744,16.9199,21.5321,20.7202,20.872,20.2321
;A9UJN7;Q7YXB8;Q18494,18.9899,17.6018,18.5144,16.8416,21.261,21.0153,20.4617,21.3037
;A9UJN7;Q7YXB8;Q18494,17.7153,19.6786,19.7675,18.5137,24.5306,25.2145,23.6747,23.5798
;A9UJP1,18.6,18.5502,19.3091,19.1397,21.4518,21.1751,19.9734,21.4049
;A9UJP1;Q95ZR6;Q9XVL1,19.1098,16.4962,18.655,16.5827,21.2025,20.9375,21.0627,21.0856
;A9UJP1;Q95ZR6,14.5825,16.8062,20.0231,17.7743,23.9156,22.1042,21.0743,20.8243
;A9UJP1;Q95ZR6;Q9XVL1,22.6034,22.3056,20.3255,23.733,24.8843,20.9237,22.3069,21.0457
;A9Z1K9,18.3866,19.1054,17.9877,16.3741,21.8829,20.2243,20.7176,21.3981
hsp-43;B0M0L8;H2KYS1,17.857,18.7975,19.9887,20.9355,23.4622,22.0198,21.9639,23.0405
hsp-43;B0M0L8;H2KYS1,22.7903,24.7255,23.5835,23.3055,25.6005,26.2634,27.5623,27.6125
hsp-43;B0M0L8;H2KYS1,19.0626,19.5735,18.7121,19.4029,21.1606,21.1918,21.1776,20.465
hsp-43;B0M0L8;H2KYS1,16.3137,17.1336,17.7465,17.0591,23.4548,20.7018,23.2471,21.3577
;B0M0N4,16.9701,19.1055,18.118,18.2541,21.6374,20.5461,20.3349,21.4086
;B0M0N4,23.2087,23.6756,25.4263,24.2614,23.9416,23.9374,21.9504,22.5869
;B0M0N4,16.6639,18.6498,17.8201,19.4437,21.2342,21.0938,20.6816,20.849
aat-6;B2D6M4,23.673,25.2946,26.4505,24.4428,28.4802,23.7904,26.005,25.9466
aat-6;B2D6M4,16.5856,17.4055,20.2348,19.3342,24.9736,22.7269,25.7027,23.5296
rmd-2;B2D6P1,17.5904,20.1226,17.9621,17.7316,21.89,20.7663,20.8738,21.4188
rmd-2;B2D6P1,18.9014,17.8063,20.1686,18.9247,20.6732,20.497,20.5497,21.3869
urm-1;B3CKG1,19.2642,16.4014,19.5197,20.0294,20.4696,21.1678,21.1164,20.393
;B3WFT8,18.0307,16.8844,17.1375,16.373,24.1572,21.3356,22.264,22.2322
;E1B6S9,18.6026,16.8641,20.0172,19.0598,21.8755,20.8551,21.1529,20.6491
abts-1;G5EC65,18.1164,16.0998,18.1509,19.4079,20.6342,20.5365,21.3086,21.1788
;B3WFW7,21.3602,17.5718,18.9167,18.854,21.6564,19.9752,20.6999,20.4518
;B3WFY5,16.4401,19.6351,17.1878,16.9072,24.3361,22.2086,20.8543,22.6177
;B3WFY5,18.1912,17.2033,17.195,18.0567,25.2606,25.6371,24.2254,24.6313
;B3WFY5,17.9842,19.554,16.4702,21.4069,21.8475,20.8262,20.2425,21.2122
ifg-1;B5BM23,17.8374,16.927,18.273,18.5831,20.8511,20.8173,21.3685,21.4045
ret-1;B5U8N2,19.4225,17.1692,17.3141,17.4451,20.9623,21.1629,20.9435,19.7158
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,18.1712,18.5284,18.0341,20.4115,21.9108,20.9403,21.1293,21.0155
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,18.2079,18.1186,17.2369,19.1808,21.6035,20.4234,20.8624,21.2641
pgp-5;B6VQ78,14.8644,20.2146,18.2068,19.258,20.3301,21.1531,20.9921,20.4219
pgp-5;B6VQ78,20.5131,18.4541,17.9577,20.2613,21.7015,20.8772,20.8378,20.6811
pgp-5;B6VQ78,20.3277,18.1062,19.0267,18.2347,21.3109,21.1032,20.8876,20.4697
pgp-5;B6VQ78,18.1222,17.6773,19.499,18.2741,21.2737,19.9373,20.7188,19.9678
;D9PTN8,18.1468,15.2071,17.0486,17.6624,21.5179,19.9372,20.8101,20.819
T05H10.4;B7WN71,17.925,16.6742,18.5905,19.6352,20.6509,21.0606,20.9516,21.2993
rpl-32;B7WN95;Q22716,21.7326,22.8559,27.0028,22.218,23.6545,23.6426,23.7851,23.8004
;B7WNA1,17.7647,18.5871,18.2033,17.8967,25.063,24.3442,24.8811,25.0327
ztf-18;B9ZSG9,16.1226,19.1411,16.9976,16.6789,24.3338,23.6515,23.0454,23.8972
uba-1;C1P636,25.7144,26.3304,25.4538,25.8301,28.1348,25.807,25.7378,25.8324
uba-1;C1P636,15.9196,19.7251,17.0032,19.9054,22.5634,21.3879,19.6426,22.1402
uba-1;C1P636,25.064,24.3155,24.5389,24.8321,29.5716,26.7085,28.3355,27.7339
uba-1;C1P636,16.7576,21.2111,17.4887,18.5936,21.3669,20.2532,21.2229,21.4144
uba-1;C1P636,17.6087,20.229,17.1308,19.6554,24.762,24.5635,24.3927,23.9698
;C6KRI9,18.1693,15.0907,16.4394,17.5768,22.3659,22.2663,24.2502,22.3208
;C6KRJ1,24.4326,24.4605,26.4846,24.3524,21.2626,20.6756,20.0427,20.9836
;C6KRJ1,19.424,20.1725,20.1467,18.7584,20.3283,20.404,21.1907,20.1934
;C6KRL2,16.7956,21.8184,19.1989,18.2664,23.0431,21.9074,21.3555,20.478
;C6KRL2,20.7082,20.0066,18.1155,17.9902,20.8562,20.5113,21.1452,21.3433
;C6KRL2,18.1465,19.0307,16.6751,18.8534,20.182,20.4313,20.6707,21.3595
sao-1;C6KRN1,19.3306,15.8292,18.8088,20.5486,21.2271,21.1854,21.1812,20.6375
sao-1;C6KRN1,17.6828,17.5006,16.4275,16.0409,24.1883,22.7178,21.1276,23.7962
;C7GIK1,25.3592,25.4251,28.9871,25.2176,23.6246,22.9265,23.0686,21.6752
fln-1;D0IMZ5;U4PM01,17.1889,18.2264,18.7215,17.5709,20.3637,20.2484,20.6917,21.2716
fln-1;D0IMZ5;U4PM01,19.2803,16.9583,16.9882,19.263,21.7987,20.5935,20.77,20.7443
laf-1;D0PV95,17.8211,16.5464,17.4694,17.8589,21.7354,21.0298,21.0726,19.4831
sql-1;D0Z5P0,17.411,17.9014,18.6556,19.2248,21.6852,20.0233,21.2088,21.325
sql-1;D0Z5P0,16.9003,18.0781,19.6056,17.9194,20.8272,21.215,21.1002,21.0753
sql-1;D0Z5P0,16.6548,16.6767,20.199,18.4508,24.0986,26.7054,25.8866,26.2077
;Q22832,17.5687,16.2136,16.8627,19.8625,21.5334,21.2143,21.0244,21.3546
;Q22832,20.3867,20.2048,20.7456,22.3366,21.6843,21.1874,21.291,21.3982
;Q22832,22.8951,23.158,24.4768,22.887,26.2281,24.2209,23.5277,25.3317
;Q8WQB8,17.5912,18.6467,20.4481,18.8304,21.7144,20.8788,20.2655,19.9798
tag-349;D3NQB5,19.1845,17.8981,18.4627,16.621,21.7707,20.2087,19.9619,20.6796
cfp-1;D3YT77,23.5158,24.3109,24.0186,24.4625,23.9252,26.2417,25.21,21.5748
cfp-1;D3YT77,25.8061,25.2083,24.9314,26.4041,25.2045,25.3242,26.9926,24.6673
dct-16;D4YWC3;Q9XX57,16.8579,18.9977,18.1094,21.1243,23.4471,23.236,22.3357,24.3212
dct-16;D4YWC3;Q9XX57,16.4288,18.1891,18.497,18.7978,26.1486,24.729,26.4932,24.6939
dct-16;D4YWC3;Q9XX57,24.3716,25.1142,25.2045,24.4069,21.2551,21.134,20.2117,20.8292
dct-16;D4YWC3;Q9XX57,17.2904,19.5027,19.6754,18.4348,25.1034,23.7483,24.1176,24.3313
dct-16;D4YWC3;Q9XX57,17.8019,21.0595,16.7837,16.963,27.0011,24.2437,22.6588,24.0646
dct-16;D4YWC3;Q9XX57,17.0746,16.2047,18.3316,16.5852,24.1467,22.0862,22.4634,21.6024
dct-16;D4YWC3;Q9XX57,17.9078,18.8007,17.1994,17.885,23.9747,23.3692,22.7418,24.0278
larp-1;D5MCN2,18.4817,18.8316,15.6772,19.5832,21.8316,21.2538,21.1218,21.4122
sup-26;D5MCQ2,18.3212,17.9172,16.3847,18.5122,23.1296,22.6294,22.4313,21.2239
;O17698,21.9131,23.5392,22.5392,23.2833,26.5099,25.2543,25.859,26.0455
mdt-9;D5SGZ9,19.1785,17.4938,18.295,18.9011,21.7111,20.7889,20.7596,20.3285
mdt-9;D5SGZ9,16.3839,17.2058,19.7448,17.9061,21.7952,21.0573,21.2985,20.4663
mdt-9;D5SGZ9,17.9832,17.359,18.4486,20.0378,21.5747,20.6961,20.9236,20.3155
nstp-10;C50F4.14;D6R8W5,16.2043,19.325,18.8588,18.2469,21.8517,21.0001,20.7294,21.0364
math-38;D6VPA0,22.7379,22.7649,23.5545,21.8104,20.774,21.017,21.3026,19.7973
;D7SFI3,18.0334,18.1742,16.4381,18.748,21.5655,21.2001,21.2905,20.7814
gsto-1;D7SFI3;P34345,17.7077,19.1202,18.0992,17.8227,24.8145,23.4559,23.2579,24.449
;D7SFI3,21.5865,20.8103,17.4299,19.4012,21.4772,21.2111,20.2224,21.349
;D7SFP5,18.7318,19.6653,18.0283,16.7016,22.8341,20.879,21.7307,22.9202
;D7SFP5,18.3499,18.5536,18.3749,16.3886,23.7972,21.8044,20.9752,20.0429
cup-5;D7UU24,18.8284,20.5203,20.2781,17.8555,21.2155,20.9823,19.5324,20.6371
cup-5;D7UU24,17.3079,19.172,20.3262,16.5919,21.7015,20.6867,21.0361,21.1399
myrf-2;Q9U3I3,17.7135,17.859,19.0451,19.3164,19.7537,20.6124,19.7965,21.0287
snx-6;D9PTP5,18.8612,17.8201,18.1309,16.5825,20.9854,21.139,20.4305,20.885
snx-6;D9PTP5,20.2684,17.699,20.4096,18.5692,21.0897,21.2598,20.6239,21.0372
snx-6;D9PTP5,19.5603,18.3735,16.5895,19.2143,21.9736,19.0382,19.7984,21.4174
;E0AHE1,19.6904,19.4901,17.4837,16.7939,23.0378,22.2929,21.3316,23.422
ent-7;Q20396,19.1852,18.9676,17.9874,17.431,21.2421,20.6982,20.0234,20.8198
;E1B6S4,18.79,17.7108,16.7027,19.9953,21.2369,21.1883,20.6177,19.776
C27A7.1;E1B6U2,18.7191,17.4653,18.7946,18.8198,23.7337,22.7506,23.1413,24.8095
rsd-2;E1B6W0,22.3618,24.9835,22.7879,23.3868,28.4906,26.3204,26.076,26.9407
hpo-34;E3W743;Q93636;Q93637,19.7766,18.6456,17.8215,16.8302,24.985,22.6477,23.868,23.027
hpo-34;E3W743;Q93636,17.452,17.753,20.014,18.877,23.7183,23.9432,22.4888,22.3484
hpo-34;E3W743;Q93636,16.9017,18.4499,19.4578,18.3241,24.1762,24.6532,23.4134,24.4509
hpo-34;E3W743;Q93636,16.1404,19.4136,15.8382,20.2118,21.934,20.8901,21.1401,20.4977
hpo-34;E3W743;Q93636,20.216,18.1136,18.836,20.9645,20.4669,21.1184,20.1245,20.434
hpo-34;E3W743;Q93636,16.8635,17.0633,18.9258,18.2023,22.728,22.3632,20.5756,21.7667
hpo-34;E3W743;Q93637,17.6605,18.4434,17.3271,18.2196,21.1771,21.106,20.6168,20.897
hpo-34;E3W743;Q93637,19.1205,19.3037,17.3643,17.8703,24.2037,24.099,23.4733,23.228
hpo-34;E3W743;Q93637,17.4035,19.2976,18.9258,16.5597,24.9687,23.8218,23.6173,23.7432
hpo-34;E3W743;Q93636,17.811,18.8737,18.0861,17.3906,21.3791,20.9886,21.2272,20.7153
hpo-34;E3W743;Q93636,18.2107,16.8014,17.9402,16.2531,23.5428,24.3677,25.1857,24.6602
hpo-34;E3W743;Q93636,16.7619,18.1636,18.8676,19.0882,24.7024,25.561,24.5443,24.7651
hpo-34;E3W743;Q93636;Q93637,17.3845,18.7381,19.742,16.8438,30.0732,24.9371,23.2674,25.7456
hpo-34;E3W743;Q93636,16.1093,16.8926,17.9966,17.0052,20.6848,19.1646,20.6873,20.2848
;E3W759,18.4991,16.1048,18.2855,16.7717,20.7457,20.5547,20.4427,21.0517
dnj-14;Q21162,18.359,19.9653,18.6789,18.5958,20.2162,20.6708,20.5076,21.3933
dnj-14;Q21162,18.4185,21.5596,20.1891,20.575,19.8448,21.2386,21.3443,20.9466
dnj-14;Q21162,22.0138,22.84,22.497,21.7357,23.8383,22.9363,23.2485,24.5673
dnj-14;Q21162,18.4382,18.3235,16.863,19.6889,25.148,23.8594,25.9054,21.9546
mca-1;F5GU98,18.5784,19.4521,19.9061,19.4451,24.5464,24.2456,23.7088,22.8311
mca-1;F5GU98,18.5796,18.3756,18.0061,17.7713,29.7917,26.7292,27.6593,27.3145
mca-1;F5GU98,23.7159,22.7109,25.3643,24.1949,25.277,24.0358,21.2253,22.8006
mca-1;F5GU98,20.0394,19.3792,18.7638,18.2218,23.7267,22.6404,25.1216,22.5127
mca-1;F5GU98,15.9018,19.2946,19.1418,17.5319,25.1966,23.5161,25.2979,22.9145
;F5GUH0,23.0027,22.3128,23.279,22.3053,26.6805,24.6702,26.1119,24.1857
;F5GUH0,19.0854,18.5705,18.8809,18.8093,23.7031,23.1508,24.3396,22.4573
;F5GUH0,18.0343,15.6677,19.2851,19.5863,24.0732,22.7917,21.2644,24.1433
lea-1;F5GUH5;H2FLK8;H2FLK9,19.3211,18.6283,17.7929,17.7645,21.3984,20.6689,20.5335,20.9693
lea-1;F5GUH5,24.3025,24.7055,23.9551,25.6974,21.8907,21.2337,20.9863,21.3682
lea-1;F5GUH5;H2FLK8;H2FLK9,18.6445,16.2897,16.7828,18.1681,21.3749,20.7821,20.9764,20.2108
lea-1;F5GUH5,19.6396,18.3529,19.7333,15.466,24.0567,23.2948,24.5214,24.3777
lea-1;F5GUH5,23.8217,25.7395,23.8625,22.5737,21.9374,19.1751,19.8012,20.9531
lea-1;F5GUH5,15.5349,16.9526,17.845,20.0357,23.5061,24.246,23.7373,25.7784
lea-1;F5GUH5;H2FLK8,17.0325,16.7836,16.8474,17.6723,21.6497,20.4995,20.9559,21.1223
lea-1;F5GUH5;H2FLK8,15.5414,21.0327,19.098,15.3359,21.4328,20.4669,21.2464,20.2673
lea-1;F5GUH5,17.5096,17.3465,18.3804,20.5667,22.3574,19.575,21.8547,22.3802
lea-1;F5GUH5;H2FLK8;H2FLK9,17.5646,19.2346,18.5736,20.376,21.089,20.8356,21.1954,21.2325
lea-1;F5GUH5;H2FLK8,18.3403,18.8694,20.1627,19.1008,21.6825,21.1707,20.4599,20.6835
lea-1;F5GUH5;H2FLK8,17.6824,20.5169,17.7661,18.259,21.8422,21.2411,21.3886,20.6323
