geneName;Leading.proteins,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,20.257,16.6118,17.3617,19.52,24.0717,23.4302,22.9369,23.4216
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,23.3109,25.2438,23.1944,26.5361,26.349,25.7396,28.6875,27.9636
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,25.2015,26.0473,26.1266,24.4081,25.3626,25.5536,25.8357,26.6962
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,20.446,17.5303,19.9837,18.2597,21.7925,21.4862,20.6125,21.7089
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,17.9544,20.3465,16.8071,19.5737,21.2213,20.6539,21.3595,21.6727
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,22.6691,22.8951,25.3383,23.8506,26.9802,27.5772,24.8865,26.698
;A0A0K3AUF2,17.039,19.5895,18.5096,20.9444,24.6033,26.5485,25.5014,26.25
lev-11;A0A0K3ARB5;Q27249,20.9408,18.3172,20.52,16.9115,21.0321,20.6476,20.909,19.3567
lev-11;A0A0K3ARB5;Q27249,18.8849,18.4124,17.5616,19.8779,21.3307,20.4895,21.1832,21.6788
lev-11;A0A0K3ARB5;Q27249,18.536,18.0205,21.1036,20.2126,22.6,21.0657,21.8268,22.8644
egl-8;A0A0K3AS90,19.881,17.3405,19.4837,18.6014,21.7563,20.9889,21.1133,20.1818
ubxn-3;A0A0K3AWX1,19.2196,18.3801,18.4417,21.354,22.1248,23.6775,23.6823,22.4424
ubxn-3;A0A0K3AWX1,18.8563,19.7672,17.2134,20.5817,21.9468,19.9293,21.1922,21.8962
;A0A0K3AVS5,17.4075,19.0627,16.5892,19.7017,23.465,22.3017,23.5394,22.8507
fln-2;A0A0K3AW96,17.0466,18.3825,17.123,17.3559,23.5389,22.7835,23.635,22.5729
fln-2;A0A0K3AW96,19.7025,18.7605,18.238,16.5241,24.9522,23.5613,23.0364,22.5249
fln-2;A0A0K3AW96,16.9213,17.1014,16.9828,17.8156,24.9466,23.9871,23.9962,24.7973
fln-2;A0A0K3AW96,20.5155,18.3212,18.2259,17.1078,23.8979,23.0221,24.3683,23.2894
oac-14;A0A0K3AWB0,21.2405,17.61,19.591,17.5333,24.8829,24.2192,25.0415,24.1295
oac-14;A0A0K3AWB0,19.3238,18.6485,16.7509,18.2313,21.3795,22.2431,24.3223,24.1208
;A0A0K3AWM6,24.3182,23.8309,23.624,23.8596,26.7002,26.3703,23.8664,25.3843
lsy-13;A0A0K3AXE0,19.1827,20.9926,18.2206,18.4044,21.5984,20.8447,21.1628,20.043
;A0A0K3AXT9,20.0365,18.1778,17.9622,18.7099,23.091,22.314,21.3517,22.2208
;A0A0K3AXT9,16.5713,18.6699,15.6548,21.9286,23.1995,23.1103,22.5907,23.4123
;A0A0K3AXT9,21.7815,18.3722,17.4835,17.7571,21.0903,20.3276,20.5,21.1932
;A0A0K3AXT9,21.474,21.7121,20.9384,22.1027,24.9417,22.9695,24.0447,25.0233
;A0A0K3AY44;O44557,20.6445,18.7418,18.2268,18.4764,21.718,20.6425,21.9202,22.8842
;A0A0K3AY44;O44557,18.0391,19.2965,20.0072,19.8983,21.8112,21.4014,20.9117,20.0854
oig-6;A0A0K3AY85;Q9BPN5,22.5305,22.4355,21.8409,22.5664,24.8996,24.8557,22.1453,23.861
oig-6;A0A0K3AY85;Q9BPN5,17.9369,19.0789,18.4545,20.3351,21.2685,20.0667,21.3877,21.8274
;A0A0K3AYE8,27.0043,25.7892,23.7527,24.7778,27.9055,27.0344,27.5142,26.667
;A0A0M7RFG7,18.279,17.1109,18.839,19.5352,21.2617,21.7142,20.3843,21.4964
;A0A0S4XRR1,18.383,18.8496,19.1691,20.1564,24.4258,22.9297,24.3081,23.7522
;A0A0T7CIX3,19.0703,17.7684,18.0017,21.3331,21.6439,21.5395,19.9315,21.6258
;A0A0T7CIX3,19.8083,18.61,17.6294,18.241,21.3052,20.7546,21.0599,21.2222
;A0A0T7CIX3,16.6254,17.3712,18.3318,18.0732,21.269,20.3956,20.863,22.8918
rpl-11.1;A0A131MBQ6;Q94300,23.085,23.843,23.8493,23.9922,24.9599,26.4599,24.8678,25.0134
mdt-18;A0A131MCJ5,16.8112,19.2175,17.8232,20.7702,22.3347,23.0865,22.1952,23.197
rnf-5;A0A131MD51,15.6383,17.2765,20.4582,20.3217,23.9651,23.6088,24.0779,23.4445
fipp-1;O16293,20.4965,17.461,18.4456,20.8863,21.9341,19.9444,21.4413,20.7045
;O02147,17.6753,20.5418,20.7526,20.047,22.8932,22.4723,23.4205,23.8374
spat-2;F3Y5Q3,25.0103,25.9812,23.979,25.2222,20.6423,21.2153,20.9879,21.7316
;Q9N350,18.6843,18.4944,16.3741,18.5412,23.3747,22.079,22.1664,22.4012
;Q9N350,26.0506,24.1159,23.8858,23.7103,24.1499,24.1082,22.3118,24.3778
;A0A1N7SYR3,15.4637,19.776,19.0483,18.9576,20.8211,20.3356,21.5111,21.2207
;A1IMB7,23.842,21.8753,21.3635,25.2033,23.5733,21.7845,22.8928,22.3574
;A3QMB7,18.4943,17.9493,18.4404,20.374,19.9455,20.6474,20.1293,21.8976
;J7SF86,19.07,17.8528,15.9237,18.4128,20.7098,21.5219,20.5711,21.7545
;U4PRJ1;Q95ZL3,17.4956,19.1253,20.5276,18.5927,21.8276,20.8291,20.0543,20.3575
dhs-3;A5JYX4,19.0347,18.3722,17.9498,17.9467,21.5185,20.5444,20.9012,21.6549
dhs-3;A5JYX4,25.1179,24.7363,28.4675,25.764,23.8395,23.0608,23.9176,25.3203
dhs-3;A5JYX4,20.4409,17.8599,18.6158,16.5709,20.7993,19.6805,20.9888,21.5947
dhs-3;A5JYX4,17.7355,20.8947,18.7167,19.7196,21.698,21.3442,21.4864,21.7275
dhs-3;A5JYX4,16.8127,17.8255,18.3202,17.4077,21.0697,20.5825,19.883,20.5889
;A5PEY0,24.0885,22.7041,24.1687,24.9735,27.4033,26.922,25.801,26.8877
;I2HA81,24.822,25.496,25.6175,24.0186,26.6272,25.9055,27.2079,26.4594
;A5Z2W7,24.2428,23.907,24.9455,23.5612,20.8655,20.101,21.3691,21.1898
;A5Z2W7,20.2105,14.3474,17.9709,18.8384,24.4835,24.6633,24.3086,24.2365
;A6PVA5,20.8349,17.6821,17.1269,18.2947,21.99,22.4947,22.7624,22.5354
;Q20621,19.1263,16.5937,17.5827,18.7088,21.6043,20.7484,20.4864,21.8316
tag-296;A7DT41,20.0296,15.0793,18.7321,18.674,19.6347,21.7686,21.4388,20.9624
tag-296;A7DT41,21.1173,18.8486,15.9781,18.392,21.7511,20.3296,20.3976,20.8546
tag-296;A7DT41,16.7221,18.8498,21.0873,18.8114,24.5874,23.6456,22.4487,24.0283
tag-296;A7DT41,21.6784,21.8198,22.3841,20.8957,21.5633,20.72,20.9932,21.6218
tag-296;A7DT41,19.8239,17.6665,18.8585,17.2972,24.3909,24.2133,23.16,25.5037
tag-296;A7DT41,17.9234,19.2442,19.9297,18.7569,24.1986,24.159,23.8291,25.9958
mrg-1;Q9XWW2,19.2714,18.2567,17.4975,16.6185,21.8746,21.5367,20.9151,21.1353
mrg-1;Q9XWW2,19.697,17.1417,17.8927,18.2445,21.433,21.69,21.3709,21.6366
igcm-3;A7LPD6,19.0002,19.8925,15.6092,20.0064,21.6743,19.8499,20.6275,20.6893
igcm-3;A7LPD6,17.4404,20.4334,14.4332,15.3696,24.8229,24.2219,24.4056,24.2488
gpdh-2;A7LPE6,19.3542,18.0642,17.03,17.5164,21.5082,20.64,20.72,21.4235
;Q5FC71,19.7067,17.1465,17.943,18.0799,20.5514,21.6184,20.6376,21.4186
;Q5FC71,18.7688,16.6564,18.0709,16.9071,25.0205,24.5169,25.2637,24.6008
;Q5FC71,23.9384,25.3617,23.8403,24.2831,25.4537,24.8747,25.349,26.1034
;Q5FC71,27.855,28.1488,28.5958,28.1301,29.3894,25.8352,26.9694,28.0083
;Q5FC71,29.4493,30.9056,30.3057,30.0428,31.8317,31.9517,32.0767,32.8714
;Q5FC71,20.2914,17.1102,18.526,17.7471,21.8161,21.795,21.4124,21.324
;A8WFH7,23.9877,22.8495,23.6823,22.8308,24.3507,24.0027,24.0837,23.2815
;A8WFH7,22.9005,24.0089,23.7107,23.8066,21.6912,21.455,21.1615,20.8753
;A8WFH7,18.9813,19.3075,18.9286,18.4037,25.4484,24.5444,25.3189,25.973
;H2KYH9,18.6498,17.7428,16.4725,15.2186,20.856,19.8511,21.1275,21.5647
mdt-28;A8WHP8;Q65ZB1,26.0294,24.7471,24.907,23.8113,25.9795,23.7884,24.1989,25.6944
mdt-28;A8WHP8;Q65ZB1,15.5163,17.5576,17.6535,19.4812,21.4067,20.6294,20.3271,21.3441
mdt-28;A8WHP8;Q65ZB1,20.2686,18.3918,14.7708,19.9943,20.6801,20.7892,20.8094,21.5652
mdt-28;A8WHP8;Q65ZB1,20.6282,18.4059,16.4887,17.2777,20.5494,21.4381,20.9353,21.7761
mdt-28;A8WHP8;Q65ZB1,21.0153,18.0229,18.6256,20.412,20.6053,21.1263,21.0482,20.5405
mdt-28;A8WHP8;Q65ZB1,16.5976,17.2555,19.7883,16.6368,21.6531,21.7826,21.1732,20.804
mdt-28;A8WHP8;Q65ZB1,25.0651,26.5482,23.9107,25.0196,27.3389,24.6685,24.4938,25.1839
mdt-28;A8WHP8;Q65ZB1,24.8824,23.3085,21.8038,23.8712,19.8402,21.3724,20.8171,21.6808
mdt-28;A8WHP8;Q65ZB1,20.0211,16.5059,19.6575,18.4134,20.9013,20.9918,20.9498,21.8694
mdt-28;A8WHP8;Q65ZB1,19.5366,18.9367,16.8134,18.2423,21.6727,20.885,21.2466,21.206
;A9UJN7;Q7YXB8;Q18494,18.9089,16.6535,17.3624,19.9964,23.6844,22.0823,21.9277,22.9472
;A9UJN7;Q7YXB8;Q18494,20.1647,18.6402,17.7242,18.8989,21.3487,20.1665,21.3505,21.8295
;A9UJP1,17.9283,21.3924,18.0323,19.5474,21.7495,21.4073,20.976,21.7883
;A9UJP1;Q95ZR6;Q9XVL1,17.4413,20.1311,16.9306,17.3385,22.4597,23.5879,23.175,23.6967
;A9UJP1;Q95ZR6,19.8127,17.8057,19.3341,20.2748,22.7035,22.3939,20.4529,21.9649
;A9UJP1;Q95ZR6;Q9XVL1,17.9886,17.778,18.324,17.9868,22.8473,21.9395,23.1153,22.7369
;A9Z1K9,18.1301,20.0545,18.6864,19.4421,19.9231,20.6072,20.2105,21.8903
hsp-43;B0M0L8;H2KYS1,18.0832,16.4154,17.3837,19.1975,25.0669,24.6252,24.1689,25.7503
hsp-43;B0M0L8;H2KYS1,24.6997,22.9772,24.0043,23.8997,26.4042,26.784,27.2719,26.8728
hsp-43;B0M0L8;H2KYS1,19.7149,17.9595,18.0715,18.7319,21.771,21.5422,20.5958,20.3997
hsp-43;B0M0L8;H2KYS1,17.4149,18.5739,18.5097,19.7088,21.6254,21.426,19.2773,20.1796
;B0M0N4,18.4716,16.5904,17.2929,21.5418,21.5457,20.9462,20.6301,21.7356
;B0M0N4,23.3067,22.962,20.647,23.3457,24.3545,24.1015,24.2058,24.8165
;B0M0N4,19.4698,19.3389,19.1964,20.0044,21.8675,21.4405,21.0146,21.0157
aat-6;B2D6M4,25.2964,24.643,23.4756,23.7722,26.2487,26.0746,26.1457,25.9289
aat-6;B2D6M4,20.0384,18.987,18.634,18.2785,20.7393,20.1756,20.1562,20.8222
rmd-2;B2D6P1,18.8033,18.9855,17.1526,18.3365,21.3708,20.4166,21.3986,21.5525
rmd-2;B2D6P1,16.4583,17.7869,16.6166,19.8956,23.9889,21.1143,22.8276,23.5128
urm-1;B3CKG1,22.1512,22.4292,23.1817,22.2618,20.8366,21.7237,21.4584,21.8401
;B3WFT8,23.7907,23.3437,22.6138,24.1685,23.8234,24.3407,21.4686,22.4335
;E1B6S9,20.0604,18.5421,18.2087,17.9884,20.6909,21.0804,20.911,21.741
abts-1;G5EC65,17.6085,21.5815,18.2598,20.1804,21.3563,21.128,20.5632,21.017
;B3WFW7,16.9503,18.0369,19.4504,19.9794,20.8087,21.4767,20.661,20.7372
;B3WFY5,16.5449,18.2842,18.7127,20.5999,25.0722,24.9864,24.7046,24.418
;B3WFY5,18.7586,19.4052,18.8725,19.8658,25.6881,24.9888,24.1979,25.6228
;B3WFY5,19.9826,18.4677,18.3284,16.243,25.0238,23.2217,22.8008,24.0372
ifg-1;B5BM23,26.1089,25.7739,28.2667,27.87,23.2426,22.4601,22.0897,21.8175
ret-1;B5U8N2,17.2964,19.4821,17.8265,21.8554,21.2931,21.1508,20.4474,19.8255
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,19.7921,18.4121,19.3331,21.5999,24.4357,23.3494,25.0926,25.4901
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,18.0863,16.8069,18.4124,16.8285,21.2548,20.1523,20.9375,21.2505
pgp-5;B6VQ78,19.2295,18.3622,18.3819,18.3734,24.1792,21.6598,22.4392,23.7967
pgp-5;B6VQ78,19.0642,20.5474,18.8067,18.1017,21.911,20.9375,19.6359,19.6854
pgp-5;B6VQ78,16.8218,19.9147,18.4577,19.9625,23.041,23.199,23.8769,23.2785
pgp-5;B6VQ78,16.7263,16.0561,19.4134,21.0679,21.4422,21.7248,20.7787,21.7891
;D9PTN8,19.72,18.6937,15.0437,19.828,20.4434,21.1005,20.4689,20.7574
T05H10.4;B7WN71,20.1295,18.1714,16.6277,18.0424,21.6426,21.3774,22.014,22.5013
rpl-32;B7WN95;Q22716,18.6603,20.1285,18.2966,20.4123,25.54,25.4733,23.0685,23.5677
;B7WNA1,16.8647,19.0305,16.9214,17.6808,21.9873,20.5899,20.9067,21.6393
ztf-18;B9ZSG9,20.5432,18.5417,16.7774,17.5947,23.123,23.9696,22.4336,22.6807
uba-1;C1P636,17.3157,18.8478,18.1833,21.483,28.6917,28.3212,27.399,28.6877
uba-1;C1P636,18.7508,19.4518,18.9647,18.3812,23.4633,22.0191,22.4369,24.013
uba-1;C1P636,25.1877,25.0023,23.1957,25.4774,27.8327,27.0434,26.8239,27.0193
uba-1;C1P636,18.2157,17.5293,18.0968,18.5673,25.2971,24.2513,24.2115,25.242
uba-1;C1P636,18.1637,16.9372,18.2516,18.6327,21.7011,20.6463,20.9351,20.9927
;C6KRI9,20.1961,17.7619,16.2799,16.1577,19.4767,21.1637,20.9227,20.3708
;C6KRJ1,22.8552,24.3563,24.4903,25.2138,24.4959,25.1803,24.5876,24.9174
;C6KRJ1,17.9909,18.3753,18.5884,18.469,20.3136,19.3152,21.1426,21.6047
;C6KRL2,18.5573,19.2276,18.4827,18.1175,20.7115,19.9717,20.3784,21.3875
;C6KRL2,18.0508,19.8054,17.1838,19.3248,24.9609,23.8074,24.1593,25.5308
;C6KRL2,21.1684,19.499,17.901,19.3144,20.601,21.7613,20.2862,21.7961
sao-1;C6KRN1,18.4859,16.9813,17.0374,21.0926,21.8475,21.0194,21.1391,21.2472
sao-1;C6KRN1,16.6547,18.5443,16.0815,17.7385,20.8672,22.2583,22.1751,21.6872
;C7GIK1,22.2257,21.9651,21.0796,22.2299,24.1429,24.7102,24.3196,25.0001
fln-1;D0IMZ5;U4PM01,23.3442,22.874,23.689,23.8896,21.4059,21.4571,20.162,20.2933
fln-1;D0IMZ5;U4PM01,18.0171,17.2613,18.8579,20.5255,21.0414,21.0617,20.7607,21.7131
laf-1;D0PV95,18.456,19.6768,17.2619,17.5595,19.8041,20.6465,20.9017,21.2715
sql-1;D0Z5P0,20.0418,18.9095,19.3082,18.7228,23.7733,23.368,22.1273,23.2128
sql-1;D0Z5P0,21.092,16.867,20.6727,19.494,21.5469,21.2464,19.8034,20.8392
sql-1;D0Z5P0,17.5716,16.7928,19.0841,19.1684,23.0573,21.939,21.0128,21.549
;Q22832,22.2082,20.8246,22.7351,21.787,25.3912,23.9264,22.2568,24.643
;Q22832,23.3504,23.7692,24.3282,21.7121,21.8129,20.9894,21.229,21.6336
;Q22832,24.3427,24.89,26.2767,24.6906,25.357,24.5592,24.4791,24.4851
;Q8WQB8,19.0928,19.653,20.7014,19.2429,21.8987,22.5055,23.1307,21.6378
tag-349;D3NQB5,18.6507,19.1449,18.6933,18.5377,21.4958,20.9836,21.5373,21.1974
cfp-1;D3YT77,18.895,18.6118,18.0457,18.1619,21.9146,21.4443,20.5281,21.4169
cfp-1;D3YT77,16.7591,19.3226,19.0201,18.46,21.9542,21.7244,20.4784,20.969
dct-16;D4YWC3;Q9XX57,16.022,19.0653,18.9861,20.6764,22.8048,25.0214,23.4421,23.3507
dct-16;D4YWC3;Q9XX57,24.0681,23.6399,22.6042,25.1474,24.2399,22.7062,25.1807,25.2217
dct-16;D4YWC3;Q9XX57,24.2521,21.9631,22.8151,24.209,27.6246,26.2535,24.1034,26.6736
dct-16;D4YWC3;Q9XX57,18.2788,19.6474,18.75,17.5209,22.4649,22.989,20.9466,22.6336
dct-16;D4YWC3;Q9XX57,26.5906,26.2906,23.7506,27.1432,25.8466,25.8495,26.585,26.7227
dct-16;D4YWC3;Q9XX57,23.4818,24.1974,23.928,24.2857,23.2705,23.6943,25.44,25.5842
dct-16;D4YWC3;Q9XX57,26.0116,25.8555,24.1559,24.3014,23.8391,24.4358,24.8236,25.3222
larp-1;D5MCN2,17.2313,20.6695,18.3591,19.5717,20.5319,20.6526,18.8036,21.1469
sup-26;D5MCQ2,17.9227,19.9393,19.5391,17.3401,20.5478,21.5307,21.1328,21.5937
;O17698,23.0391,22.009,20.2045,23.8427,20.9375,21.6223,21.4829,21.7561
mdt-9;D5SGZ9,17.8236,16.838,17.7001,18.4325,21.5205,21.2703,20.0471,21.9273
mdt-9;D5SGZ9,18.5782,19.1054,18.9314,19.7368,20.9487,21.4707,20.1499,21.3013
mdt-9;D5SGZ9,19.2124,18.363,19.9581,18.6648,21.8157,20.2852,20.0402,20.4983
nstp-10;C50F4.14;D6R8W5,18.6919,16.7921,18.383,17.8697,20.3161,20.9842,20.3432,21.5452
math-38;D6VPA0,18.6233,17.6865,16.5484,19.3795,21.2065,21.7627,21.3279,20.4193
;D7SFI3,19.2424,20.1849,18.4733,19.7762,24.4316,23.9425,23.3125,24.263
gsto-1;D7SFI3;P34345,23.9188,24.2242,21.5644,24.1572,26.227,24.6542,25.4407,26.663
;D7SFI3,16.7408,19.3416,20.1922,17.1592,24.5447,23.395,22.6072,25.6621
;D7SFP5,19.9629,15.9795,19.2029,19.7663,21.7262,20.711,20.5624,21.7654
;D7SFP5,18.4406,18.876,19.9751,19.434,23.706,22.1909,23.5963,24.9782
cup-5;D7UU24,18.7199,20.1057,19.7472,17.1511,21.4357,21.5622,21.1154,21.7949
cup-5;D7UU24,20.6186,16.3164,19.3272,19.9648,21.117,20.5229,21.2674,20.1553
myrf-2;Q9U3I3,17.917,17.5194,19.6139,19.1015,21.8622,21.3348,20.7942,21.663
snx-6;D9PTP5,18.9501,17.4877,17.3676,18.2004,21.4337,21.7804,21.5345,20.2924
snx-6;D9PTP5,18.1982,17.1095,17.5436,18.7706,21.5166,20.873,21.4638,21.4654
snx-6;D9PTP5,20.1563,20.0681,17.6404,19.7356,21.3184,21.5273,19.7784,21.4255
;E0AHE1,19.4613,20.0602,20.3536,18.6439,21.6065,20.9979,19.3429,19.9882
ent-7;Q20396,20.207,18.4441,19.9087,18.6184,24.3161,25.6732,23.9149,25.2713
;E1B6S4,19.3829,16.8624,17.6904,18.9784,23.889,23.8399,23.0734,25.124
C27A7.1;E1B6U2,19.5296,21.1591,17.6789,19.306,24.3535,24.9712,23.8996,24.2175
rsd-2;E1B6W0,24.9551,24.1159,23.5002,25.2381,25.8446,26.025,25.3421,25.8859
hpo-34;E3W743;Q93636;Q93637,19.547,19.9962,20.2106,19.1675,21.8025,20.4726,20.2842,20.6735
hpo-34;E3W743;Q93636,18.0582,19.2922,16.0016,19.4036,21.8821,21.6544,21.4855,21.9085
hpo-34;E3W743;Q93636,19.2044,16.8807,20.7064,18.7964,21.6072,21.6657,21.3307,21.2918
hpo-34;E3W743;Q93636,19.3432,17.6381,17.5407,18.7316,20.3305,20.9932,21.4088,20.6994
hpo-34;E3W743;Q93636,19.7452,16.765,17.7615,20.667,21.8786,20.6993,20.9927,21.7395
hpo-34;E3W743;Q93636,18.9018,19.1844,18.8953,19.7013,21.9063,21.5147,21.2479,21.3406
hpo-34;E3W743;Q93637,17.3879,16.4346,17.9881,19.1527,21.4665,20.0707,20.1552,20.6192
hpo-34;E3W743;Q93637,19.8213,18.8827,17.538,17.9822,22.6644,23.7843,22.193,22.1981
hpo-34;E3W743;Q93637,20.517,15.8201,17.3967,17.0359,21.4006,21.4386,19.7826,21.7317
hpo-34;E3W743;Q93636,18.1945,19.3613,16.6316,19.4901,21.9082,21.0337,19.571,21.3764
hpo-34;E3W743;Q93636,19.0073,19.0653,19.073,19.9532,20.5914,20.4525,20.1791,21.4076
hpo-34;E3W743;Q93636,19.2338,19.1613,19.0069,19.3654,20.797,20.3116,20.9251,20.9698
hpo-34;E3W743;Q93636;Q93637,24.9826,25.381,25.0634,25.6682,26.718,26.0773,25.4879,26.1418
hpo-34;E3W743;Q93636,18.7811,20.5743,16.772,17.5605,21.5254,21.1544,20.9267,20.7617
;E3W759,18.844,19.4638,17.8415,16.8116,21.8049,19.8537,20.9453,21.7305
dnj-14;Q21162,17.7303,18.5051,18.7712,15.91,22.3058,22.6852,21.8727,22.7202
dnj-14;Q21162,19.632,18.302,16.8884,19.3154,20.8499,21.08,21.2007,20.9649
dnj-14;Q21162,23.2891,23.9078,21.9115,22.8533,25.7603,25.4249,23.5663,24.14
dnj-14;Q21162,22.0779,22.4879,22.419,23.7866,23.3913,24.456,23.8687,24.6581
mca-1;F5GU98,19.2045,18.361,17.1598,17.9293,21.9294,21.1839,20.7691,19.6559
mca-1;F5GU98,20.2586,21.1184,18.8919,19.4559,27.4886,26.6176,27.2369,27.5002
mca-1;F5GU98,24.2671,25.8131,22.7794,24.4152,25.2846,25.0817,25.0791,26.1552
mca-1;F5GU98,19.6186,19.7369,17.9234,20.1187,18.3867,20.188,21.0865,21.7958
mca-1;F5GU98,19.8305,17.5601,17.6381,19.0328,24.0343,23.8194,23.5306,23.4437
;F5GUH0,23.2868,22.652,20.3721,24.2007,24.9709,23.1514,23.0486,22.3776
;F5GUH0,19.0757,17.1763,17.5026,19.1344,21.5557,20.3086,21.5235,20.6784
;F5GUH0,23.9683,22.2842,22.7994,23.0311,22.5926,21.2632,21.0606,20.9212
lea-1;F5GUH5;H2FLK8;H2FLK9,16.1282,19.0328,18.3836,17.9764,23.9531,23.3923,23.9389,24.3012
lea-1;F5GUH5,22.7953,21.1132,21.2569,23.2775,24.3907,25.1483,22.9269,24.8299
lea-1;F5GUH5;H2FLK8;H2FLK9,21.2695,18.3834,17.4933,19.8233,21.3442,21.3134,21.0909,21.6567
lea-1;F5GUH5,18.0157,16.3623,15.3168,18.8944,24.7918,24.0526,23.8662,24.7849
lea-1;F5GUH5,23.3963,23.632,24.8505,24.2734,24.8412,24.2869,22.2823,24.5663
lea-1;F5GUH5,19.3429,19.1755,20.7787,18.059,24.0659,22.9786,24.0144,23.7715
lea-1;F5GUH5;H2FLK8,20.0131,19.4438,17.116,16.232,21.9476,21.1676,20.9931,20.8271
lea-1;F5GUH5;H2FLK8,20.7027,15.6207,19.2839,18.6435,22.2151,22.146,21.1638,21.5174
lea-1;F5GUH5,28.2664,26.0812,23.9666,26.3468,23.201,23.7894,22.8834,23.4414
lea-1;F5GUH5;H2FLK8;H2FLK9,19.5464,16.61,18.3565,20.6507,25.6912,24.1739,23.9608,25.0338
lea-1;F5GUH5;H2FLK8,24.53,24.7951,26.9555,25.8081,23.5463,24.1896,24.8442,24.6486
lea-1;F5GUH5;H2FLK8,21.8704,20.0192,17.3414,17.6734,21.3278,20.24,21.4339,21.1663
