geneName;Leading.proteins,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04,,,
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,19.8502,19.0791,15.407,19.3083,23.0888,23.3046,23.0679,23.8624,,,
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,24.8825,26.8821,24.532,25.1322,22.9346,24.8838,25.3789,23.9325,,,
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,23.0096,24.039,23.7708,23.1221,25.79,22.4392,23.0577,23.7932,,,
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,16.5639,18.1063,20.4177,16.4886,20.2928,19.9698,20.1963,21.073,,,
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.0277,16.4604,19.6502,20.205,21.0963,20.912,20.8785,20.2299,,,
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,24.0873,26.5782,24.8889,25.4078,24.1107,26.6339,26.9381,26.1947,,,
;A0A0K3AUF2,18.1795,16.7184,16.7635,17.5669,24.1314,24.3147,22.6413,26.1291,,,
lev-11;A0A0K3ARB5;Q27249,18.875,19.2089,18.8931,21.167,20.0765,21.5337,21.419,20.832,,,
lev-11;A0A0K3ARB5;Q27249,16.8625,16.3362,20.4867,17.3409,20.7941,19.6603,20.6867,20.8551,,,
lev-11;A0A0K3ARB5;Q27249,21.7176,17.9259,19.594,17.9442,19.3907,20.4478,21.35,20.0251,,,
egl-8;A0A0K3AS90,19.9853,19.1169,16.5842,19.7021,20.8704,20.3729,21.6243,20.9135,,,
ubxn-3;A0A0K3AWX1,18.2363,16.0893,18.828,18.8605,20.9564,21.8743,21.1983,20.9949,,,
ubxn-3;A0A0K3AWX1,16.5286,16.7494,20.1453,17.2836,20.1172,19.378,20.8477,20.3891,,,
;A0A0K3AVS5,19.7771,15.4372,16.464,14.9265,19.6512,20.623,20.637,21.3632,,,
fln-2;A0A0K3AW96,20.2924,19.9187,19.4777,18.0573,20.224,21.7503,20.1577,18.8285,,,
fln-2;A0A0K3AW96,17.9081,17.6823,19.0514,19.7005,20.8483,21.2299,21.6972,20.5487,,,
fln-2;A0A0K3AW96,24.7155,24.497,24.1469,24.3428,25.6721,25.3345,25.2425,24.467,,,
fln-2;A0A0K3AW96,18.9353,20.0953,19.3601,19.4865,23.6612,24.9205,23.6158,23.5435,,,
oac-14;A0A0K3AWB0,19.7813,20.4972,18.563,17.0901,21.4794,24.8791,22.9747,22.8663,,,
oac-14;A0A0K3AWB0,24.101,23.3889,22.388,23.7281,20.3309,21.4537,20.4319,21.0258,,,
;A0A0K3AWM6,23.678,22.2101,23.4154,23.2864,20.12,21.7507,20.0534,20.4033,,,
lsy-13;A0A0K3AXE0,16.7014,15.822,17.09,19.8284,22.4303,22.7649,22.611,22.0671,,,
;A0A0K3AXT9,18.2074,18.5787,18.5314,16.7152,19.9877,21.6152,21.8766,20.4859,,,
;A0A0K3AXT9,18.4025,16.9469,18.6828,19.5663,20.2089,21.3739,21.1602,21.372,,,
;A0A0K3AXT9,20.0542,20.9535,20.8621,19.8291,20.4863,20.7412,20.8545,19.7058,,,
;A0A0K3AXT9,23.535,22.6793,21.5477,22.4001,22.5374,23.6676,22.9655,24.5416,,,
;A0A0K3AY44;O44557,19.1045,16.4947,17.6107,18.1739,20.445,21.4865,21.4319,20.6497,,,
;A0A0K3AY44;O44557,19.1986,21.4812,20.9665,18.1993,20.8052,21.4248,20.9981,20.3659,,,
oig-6;A0A0K3AY85;Q9BPN5,25.9454,24.3814,26.0678,24.6328,24.7656,24.4963,24.7206,24.5222,,,
oig-6;A0A0K3AY85;Q9BPN5,14.3948,18.3315,17.3173,20.3628,21.0927,21.2122,21.3657,20.2574,,,
;A0A0K3AYE8,18.3668,17.5142,20.8139,20.5446,21.5262,22.4827,22.4416,24.4971,,,
;A0A0M7RFG7,17.2354,17.7319,21.8939,15.7625,20.6771,20.6611,20.3198,20.9856,,,
;A0A0S4XRR1,18.2786,19.8257,18.9918,19.0622,21.0429,20.6115,19.8162,21.3312,,,
;A0A0T7CIX3,17.6419,15.7369,19.1335,17.8152,19.7109,21.4567,21.3905,20.6123,,,
;A0A0T7CIX3,17.928,15.8865,18.2257,19.0344,20.1268,21.1031,21.6238,20.4548,,,
;A0A0T7CIX3,22.3153,23.6387,25.56,21.9732,21.5981,23.4093,23.2447,21.5807,,,
rpl-11.1;A0A131MBQ6;Q94300,18.819,18.9241,19.1981,16.4408,22.5722,24.5823,25.1195,24.4063,,,
mdt-18;A0A131MCJ5,19.0749,17.2805,17.6864,17.6319,20.3938,20.5954,20.445,20.7507,,,
rnf-5;A0A131MD51,17.2094,21.3529,18.6864,19.1835,21.9222,22.6273,23.9803,23.7033,,,
fipp-1;O16293,20.4288,16.8812,15.7731,17.6074,20.6063,19.3543,20.9579,20.2706,,,
;O02147,16.6471,16.5986,17.5232,15.7265,22.3016,24.7085,25.9691,23.2469,,,
spat-2;F3Y5Q3,23.5195,24.0505,23.9401,24.3921,20.7274,21.2712,21.8845,21.3061,,,
;Q9N350,17.9925,18.1336,17.8698,16.0204,19.6511,20.5802,21.1492,20.5286,,,
;Q9N350,18.223,16.7634,18.7061,18.8272,20.1667,20.9368,21.2222,20.33,,,
;A0A1N7SYR3,19.9284,16.0746,17.4457,21.3675,19.2409,21.6692,20.9466,20.7021,,,
;A1IMB7,17.6137,16.2196,17.9873,18.0177,21.5437,22.0336,22.2475,23.2573,,,
;A3QMB7,18.2404,19.1517,18.5459,17.1143,19.7862,20.3313,21.4998,21.0685,,,
;J7SF86,18.5131,15.9295,16.7924,18.8893,20.2106,20.7925,21.2625,21.3095,,,
;U4PRJ1;Q95ZL3,17.6739,20.5709,18.6834,17.1073,20.1385,21.0131,18.542,21.257,,,
dhs-3;A5JYX4,15.8591,18.2536,18.2596,17.0309,23.1305,23.9312,23.8744,22.6587,,,
dhs-3;A5JYX4,17.6546,18.8981,15.447,18.3201,22.0736,23.9466,24.1974,23.8034,,,
dhs-3;A5JYX4,18.6665,18.1172,18.8853,17.6799,19.8675,20.7706,20.9515,20.5536,,,
dhs-3;A5JYX4,19.0056,15.6309,19.8691,17.671,22.1988,22.4953,21.5202,22.1974,,,
dhs-3;A5JYX4,16.4654,17.3029,19.1918,17.068,22.1074,22.4953,21.5202,23.1808,,,
;A5PEY0,17.3816,17.7264,17.8202,16.5209,20.9131,21.3883,20.6974,20.9538,,,
;I2HA81,24.0944,26.341,25.3171,25.1258,22.8822,27.0794,27.0144,26.7743,,,
;A5Z2W7,18.647,20.0237,17.5179,17.5502,20.7838,21.5025,21.4989,21.2999,,,
;A5Z2W7,17.4493,16.6851,19.2948,20.4206,19.3226,20.2489,21.1835,20.6749,,,
;A6PVA5,19.5992,17.1533,20.0019,17.3718,23.262,23.2864,21.0682,22.9927,,,
;Q20621,16.7016,18.5542,17.5189,17.9472,23.2634,22.6777,22.0148,21.3952,,,
tag-296;A7DT41,16.0578,19.7925,18.7766,19.1982,18.8158,21.5728,21.7393,21.1376,,,
tag-296;A7DT41,19.3238,17.7215,19.1374,17.0103,20.3176,21.194,20.477,20.8339,,,
tag-296;A7DT41,21.955,21.9151,22.3214,22.7479,23.8283,24.7014,25.0748,23.9268,,,
tag-296;A7DT41,17.7618,18.0225,19.0974,18.7176,20.5484,21.5432,21.2107,20.8539,,,
tag-296;A7DT41,17.0682,18.5915,19.2448,17.8919,24.615,23.7201,24.2872,23.7657,,,
tag-296;A7DT41,21.7963,23.2136,24.5772,21.9635,24.0827,23.2516,23.8585,22.1429,,,
mrg-1;Q9XWW2,17.3944,16.3736,16.7751,17.9778,20.7063,21.5031,21.8584,20.2812,,,
mrg-1;Q9XWW2,19.3277,15.9895,18.3958,19.0922,19.1112,21.2878,21.6913,21.2726,,,
igcm-3;A7LPD6,15.9451,19.6048,19.3003,18.7618,20.7658,20.7158,20.6376,20.3455,,,
igcm-3;A7LPD6,23.7459,23.6288,24.0346,22.4553,20.8353,20.6443,20.6382,21.3902,,,
gpdh-2;A7LPE6,18.0096,18.2239,17.8341,18.1462,20.5485,21.0322,21.4446,20.9136,,,
;Q5FC71,19.1099,19.8583,21.344,18.6697,20.8513,21.8524,21.4673,19.8916,,,
;Q5FC71,18.3516,17.533,18.6161,17.6739,20.0685,21.6842,20.4942,19.9995,,,
;Q5FC71,15.6631,18.0475,17.4507,18.2885,26.5943,28.3036,28.7584,26.3827,,,
;Q5FC71,17.8397,18.9099,16.8287,18.0884,24.122,24.0926,24.8296,27.9515,,,
;Q5FC71,27.0045,28.323,25.8017,27.5357,29.3594,31.1211,30.7817,29.4716,,,
;Q5FC71,16.2716,17.2125,17.2737,16.6483,21.0924,21.1527,21.2322,20.7167,,,
;A8WFH7,22.5643,24.0001,21.6725,22.8817,23.4759,23.0125,22.4648,22.8125,,,
;A8WFH7,19.6347,17.606,15.6609,17.1459,20.7436,20.9297,21.8716,21.0238,,,
;A8WFH7,17.1084,18.2615,19.0927,17.0435,20.3805,22.665,24.4235,21.918,,,
;H2KYH9,15.9268,18.8791,19.0479,18.6844,20.1333,20.809,20.2668,20.3764,,,
mdt-28;A8WHP8;Q65ZB1,18.0862,20.7003,16.6657,18.8695,23.8438,22.9258,22.5875,22.9949,,,
mdt-28;A8WHP8;Q65ZB1,17.2651,17.8724,19.9237,16.5159,20.588,21.3695,21.0452,21.043,,,
mdt-28;A8WHP8;Q65ZB1,16.4139,14.4741,17.503,17.3345,19.6432,21.2902,21.5098,20.3485,,,
mdt-28;A8WHP8;Q65ZB1,17.5167,16.6113,17.5731,17.7571,20.2697,21.5125,21.7887,21.1808,,,
mdt-28;A8WHP8;Q65ZB1,20.4217,17.8456,19.3533,15.5039,20.8158,21.1233,21.6061,21.1029,,,
mdt-28;A8WHP8;Q65ZB1,19.6349,16.4658,19.1677,17.4659,20.7415,20.7206,21.8826,21.3949,,,
mdt-28;A8WHP8;Q65ZB1,23.4111,24.0388,23.8164,23.4749,21.4412,22.6873,22.6751,20.7767,,,
mdt-28;A8WHP8;Q65ZB1,20.7419,22.2576,23.8703,21.1095,21.4907,21.462,20.2302,20.822,,,
mdt-28;A8WHP8;Q65ZB1,16.7429,18.0243,17.0813,19.0057,23.114,23.335,21.5291,23.5152,,,
mdt-28;A8WHP8;Q65ZB1,17.7038,18.3006,19.4744,16.9199,20.9978,21.1914,21.0732,20.3696,,,
;A9UJN7;Q7YXB8;Q18494,18.9899,17.6018,18.5144,16.8416,20.3034,21.7889,20.2967,20.51,,,
;A9UJN7;Q7YXB8;Q18494,17.7153,19.6786,19.7675,18.5137,20.2461,21.3017,21.539,21.0835,,,
;A9UJP1,18.6,18.5502,19.3091,19.1397,19.0972,21.5018,21.4749,20.4262,,,
;A9UJP1;Q95ZR6;Q9XVL1,19.1098,16.4962,18.655,16.5827,20.7754,21.2796,21.4993,21.2506,,,
;A9UJP1;Q95ZR6,14.5825,16.8062,20.0231,17.7743,22.3508,24.0385,24.6726,22.9248,,,
;A9UJP1;Q95ZR6;Q9XVL1,22.6034,22.3056,20.3255,23.733,23.7969,24.428,24.7722,23.5462,,,
;A9Z1K9,18.3866,19.1054,17.9877,16.3741,20.1415,21.4402,21.3336,21.2091,,,
hsp-43;B0M0L8;H2KYS1,17.857,18.7975,19.9887,20.9355,22.2206,23.0069,22.2746,22.6231,,,
hsp-43;B0M0L8;H2KYS1,22.7903,24.7255,23.5835,23.3055,24.9529,25.1135,25.0916,24.3269,,,
hsp-43;B0M0L8;H2KYS1,19.0626,19.5735,18.7121,19.4029,20.304,21.0669,20.6657,18.9223,,,
hsp-43;B0M0L8;H2KYS1,16.3137,17.1336,17.7465,17.0591,22.9874,23.8159,23.6436,23.136,,,
;B0M0N4,16.9701,19.1055,18.118,18.2541,18.7555,21.9056,20.2279,20.4692,,,
;B0M0N4,23.2087,23.6756,25.4263,24.2614,24.3454,23.7015,23.1392,21.4984,,,
;B0M0N4,16.6639,18.6498,17.8201,19.4437,20.7754,21.5527,21.8158,19.9556,,,
aat-6;B2D6M4,23.673,25.2946,26.4505,24.4428,24.9244,27.366,27.1777,25.6319,,,
aat-6;B2D6M4,16.5856,17.4055,20.2348,19.3342,24.984,24.3233,25.3258,24.4813,,,
rmd-2;B2D6P1,17.5904,20.1226,17.9621,17.7316,20.5095,21.199,20.8649,20.7348,,,
rmd-2;B2D6P1,18.9014,17.8063,20.1686,18.9247,20.0498,21.5581,20.7946,20.5847,,,
urm-1;B3CKG1,19.2642,16.4014,19.5197,20.0294,19.3419,21.7821,20.0069,20.6851,,,
;B3WFT8,18.0307,16.8844,17.1375,16.373,24.8013,23.49,23.5209,23.1971,,,
;E1B6S9,18.6026,16.8641,20.0172,19.0598,20.5692,21.8788,20.6257,19.418,,,
abts-1;G5EC65,18.1164,16.0998,18.1509,19.4079,20.4316,20.9295,20.2328,21.3291,,,
;B3WFW7,21.3602,17.5718,18.9167,18.854,21.7908,21.7776,21.8369,19.7096,,,
;B3WFY5,16.4401,19.6351,17.1878,16.9072,20.2881,21.8965,21.6186,20.5289,,,
;B3WFY5,18.1912,17.2033,17.195,18.0567,21.9412,22.5069,22.4384,23.249,,,
;B3WFY5,17.9842,19.554,16.4702,21.4069,23.5732,23.558,23.4256,22.1002,,,
ifg-1;B5BM23,17.8374,16.927,18.273,18.5831,19.7499,21.7201,21.2273,19.1894,,,
ret-1;B5U8N2,19.4225,17.1692,17.3141,17.4451,20.3902,21.6241,21.5243,21.2768,,,
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,18.1712,18.5284,18.0341,20.4115,20.2006,21.8813,21.6502,21.3221,,,
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,18.2079,18.1186,17.2369,19.1808,20.9247,22.208,23.6637,22.5598,,,
pgp-5;B6VQ78,14.8644,20.2146,18.2068,19.258,20.7402,21.5127,21.0615,19.8414,,,
pgp-5;B6VQ78,20.5131,18.4541,17.9577,20.2613,20.565,21.215,19.9568,20.3054,,,
pgp-5;B6VQ78,20.3277,18.1062,19.0267,18.2347,20.8063,21.7547,21.7957,19.9784,,,
pgp-5;B6VQ78,18.1222,17.6773,19.499,18.2741,20.1589,18.8541,20.92,20.1963,,,
;D9PTN8,18.1468,15.2071,17.0486,17.6624,20.4975,21.8731,21.6907,20.9261,,,
T05H10.4;B7WN71,17.925,16.6742,18.5905,19.6352,20.5753,21.8538,21.7585,20.5651,,,
rpl-32;B7WN95;Q22716,21.7326,22.8559,27.0028,22.218,22.1949,23.4438,24.3243,23.0751,,,
;B7WNA1,17.7647,18.5871,18.2033,17.8967,25.9612,24.5155,26.1278,23.7499,,,
ztf-18;B9ZSG9,16.1226,19.1411,16.9976,16.6789,19.8703,21.3079,21.6396,20.3982,,,
uba-1;C1P636,25.7144,26.3304,25.4538,25.8301,24.3829,27.3911,27.7469,24.7838,,,
uba-1;C1P636,15.9196,19.7251,17.0032,19.9054,20.0767,20.7002,20.7928,20.7136,,,
uba-1;C1P636,25.064,24.3155,24.5389,24.8321,26.7961,29.2473,28.5872,27.7194,,,
uba-1;C1P636,16.7576,21.2111,17.4887,18.5936,20.095,21.0316,20.7677,21.2815,,,
uba-1;C1P636,17.6087,20.229,17.1308,19.6554,21.381,24.6498,24.5692,23.2222,,,
;C6KRI9,18.1693,15.0907,16.4394,17.5768,23.4178,22.6652,22.4566,21.8489,,,
;C6KRJ1,24.4326,24.4605,26.4846,24.3524,20.6147,24.5905,24.5901,23.698,,,
;C6KRJ1,19.424,20.1725,20.1467,18.7584,20.6628,21.0369,20.9473,20.4694,,,
;C6KRL2,16.7956,21.8184,19.1989,18.2664,20.8262,20.981,21.7895,20.1363,,,
;C6KRL2,20.7082,20.0066,18.1155,17.9902,22.9168,23.8624,23.4076,23.9452,,,
;C6KRL2,18.1465,19.0307,16.6751,18.8534,20.2009,21.6174,21.8525,20.0957,,,
sao-1;C6KRN1,19.3306,15.8292,18.8088,20.5486,23.1583,24.5248,25.9561,23.2362,,,
sao-1;C6KRN1,17.6828,17.5006,16.4275,16.0409,22.1506,23.3214,24.4259,21.7815,,,
;C7GIK1,25.3592,25.4251,28.9871,25.2176,23.3502,23.4996,22.6015,23.7689,,,
fln-1;D0IMZ5;U4PM01,17.1889,18.2264,18.7215,17.5709,20.9014,21.698,19.3266,20.3338,,,
fln-1;D0IMZ5;U4PM01,19.2803,16.9583,16.9882,19.263,19.5755,21.3665,21.3168,19.8443,,,
laf-1;D0PV95,17.8211,16.5464,17.4694,17.8589,19.336,21.5063,21.0711,20.7198,,,
sql-1;D0Z5P0,17.411,17.9014,18.6556,19.2248,20.5128,21.7192,21.6914,19.8671,,,
sql-1;D0Z5P0,16.9003,18.0781,19.6056,17.9194,20.1461,21.3154,21.7611,20.5787,,,
sql-1;D0Z5P0,16.6548,16.6767,20.199,18.4508,20.8005,23.2358,22.5839,23.7822,,,
;Q22832,17.5687,16.2136,16.8627,19.8625,23.0661,24.3663,23.8804,23.8569,,,
;Q22832,20.3867,20.2048,20.7456,22.3366,20.4505,20.5782,21.5406,21.0552,,,
;Q22832,22.8951,23.158,24.4768,22.887,22.5459,25.5605,25.091,24.0634,,,
;Q8WQB8,17.5912,18.6467,20.4481,18.8304,20.2351,19.5339,19.8739,19.2225,,,
tag-349;D3NQB5,19.1845,17.8981,18.4627,16.621,19.1156,21.4079,20.5093,21.0382,,,
cfp-1;D3YT77,23.5158,24.3109,24.0186,24.4625,26.9154,24.1033,23.6747,25.4848,,,
cfp-1;D3YT77,25.8061,25.2083,24.9314,26.4041,20.6808,21.1046,21.0922,20.269,,,
dct-16;D4YWC3;Q9XX57,16.8579,18.9977,18.1094,21.1243,20.5166,21.2539,21.2144,20.885,,,
dct-16;D4YWC3;Q9XX57,16.4288,18.1891,18.497,18.7978,22.4424,22.9434,21.4398,21.4046,,,
dct-16;D4YWC3;Q9XX57,24.3716,25.1142,25.2045,24.4069,22.8801,23.3068,27.7911,25.1851,,,
dct-16;D4YWC3;Q9XX57,17.2904,19.5027,19.6754,18.4348,23.5754,24.7777,25.0008,23.6026,,,
dct-16;D4YWC3;Q9XX57,17.8019,21.0595,16.7837,16.963,26.1208,25.6806,26.0864,27.6045,,,
dct-16;D4YWC3;Q9XX57,17.0746,16.2047,18.3316,16.5852,21.8896,23.0164,23.8282,21.933,,,
dct-16;D4YWC3;Q9XX57,17.9078,18.8007,17.1994,17.885,24.1722,24.9597,24.2955,24.4554,,,
larp-1;D5MCN2,18.4817,18.8316,15.6772,19.5832,20.0091,21.4229,21.753,21.1571,,,
sup-26;D5MCQ2,18.3212,17.9172,16.3847,18.5122,21.6908,21.6015,22.5819,20.5493,,,
;O17698,21.9131,23.5392,22.5392,23.2833,23.0986,24.4448,22.2894,22.8749,,,
mdt-9;D5SGZ9,19.1785,17.4938,18.295,18.9011,21.7439,23.2456,22.6293,24.1669,,,
mdt-9;D5SGZ9,16.3839,17.2058,19.7448,17.9061,20.4144,20.3889,21.4911,19.3456,,,
mdt-9;D5SGZ9,17.9832,17.359,18.4486,20.0378,21.0305,21.5461,21.2657,20.4079,,,
nstp-10;C50F4.14;D6R8W5,16.2043,19.325,18.8588,18.2469,20.5775,20.6584,20.4089,20.089,,,
math-38;D6VPA0,22.7379,22.7649,23.5545,21.8104,20.1119,20.988,21.5651,20.6464,,,
;D7SFI3,18.0334,18.1742,16.4381,18.748,20.6607,21.3496,20.2431,21.1154,,,
gsto-1;D7SFI3;P34345,17.7077,19.1202,18.0992,17.8227,20.6835,20.736,21.5539,19.5172,,,
;D7SFI3,21.5865,20.8103,17.4299,19.4012,19.5614,21.8254,21.8673,18.672,,,
;D7SFP5,18.7318,19.6653,18.0283,16.7016,20.8534,21.5535,21.5379,21.2778,,,
;D7SFP5,18.3499,18.5536,18.3749,16.3886,20.1464,20.9426,21.4599,20.0281,,,
cup-5;D7UU24,18.8284,20.5203,20.2781,17.8555,22.3934,22.9942,22.3499,23.3506,,,
cup-5;D7UU24,17.3079,19.172,20.3262,16.5919,20.6237,20.117,20.3076,19.5204,,,
myrf-2;Q9U3I3,17.7135,17.859,19.0451,19.3164,20.8559,20.9348,20.5486,19.8233,,,
snx-6;D9PTP5,18.8612,17.8201,18.1309,16.5825,20.9855,21.3954,20.5594,20.7183,,,
snx-6;D9PTP5,20.2684,17.699,20.4096,18.5692,20.8272,20.816,21.7892,21.195,,,
snx-6;D9PTP5,19.5603,18.3735,16.5895,19.2143,19.7705,20.8345,21.7663,20.8192,,,
;E0AHE1,19.6904,19.4901,17.4837,16.7939,20.1416,21.7248,19.8681,21.1995,,,
ent-7;Q20396,19.1852,18.9676,17.9874,17.431,20.933,20.9969,19.6464,21.2581,,,
;E1B6S4,18.79,17.7108,16.7027,19.9953,21.0927,21.6643,21.327,21.0267,,,
C27A7.1;E1B6U2,18.7191,17.4653,18.7946,18.8198,24.8068,22.1096,22.3523,22.1385,,,
rsd-2;E1B6W0,22.3618,24.9835,22.7879,23.3868,25.7082,27.6887,27.6647,26.3795,,,
hpo-34;E3W743;Q93636;Q93637,19.7766,18.6456,17.8215,16.8302,23.683,25.806,25.0407,23.0614,,,
hpo-34;E3W743;Q93636,17.452,17.753,20.014,18.877,19.48,21.4577,21.0537,20.8928,,,
hpo-34;E3W743;Q93636,16.9017,18.4499,19.4578,18.3241,23.8426,23.9153,24.3983,24.8814,,,
hpo-34;E3W743;Q93636,16.1404,19.4136,15.8382,20.2118,22.7842,23.4928,22.6452,23.5871,,,
hpo-34;E3W743;Q93636,20.216,18.1136,18.836,20.9645,20.7085,21.192,21.5474,20.3623,,,
hpo-34;E3W743;Q93636,16.8635,17.0633,18.9258,18.2023,20.8697,19.7825,21.7638,21.0557,,,
hpo-34;E3W743;Q93637,17.6605,18.4434,17.3271,18.2196,21.0332,21.2105,20.7529,19.7911,,,
hpo-34;E3W743;Q93637,19.1205,19.3037,17.3643,17.8703,22.5866,23.5466,24.2028,22.9432,,,
hpo-34;E3W743;Q93637,17.4035,19.2976,18.9258,16.5597,23.5746,23.2003,23.0437,22.3095,,,
hpo-34;E3W743;Q93636,17.811,18.8737,18.0861,17.3906,20.225,21.1236,21.6591,21.0512,,,
hpo-34;E3W743;Q93636,18.2107,16.8014,17.9402,16.2531,27.083,23.8738,23.1201,22.3789,,,
hpo-34;E3W743;Q93636,16.7619,18.1636,18.8676,19.0882,23.417,24.8483,24.9713,24.9752,,,
hpo-34;E3W743;Q93636;Q93637,17.3845,18.7381,19.742,16.8438,26.1476,27.7598,25.699,26.599,,,
hpo-34;E3W743;Q93636,16.1093,16.8926,17.9966,17.0052,19.5841,20.0197,21.4333,20.1896,,,
;E3W759,18.4991,16.1048,18.2855,16.7717,20.7136,20.8377,21.7322,21.3593,,,
dnj-14;Q21162,18.359,19.9653,18.6789,18.5958,20.6212,21.3923,19.5863,21.4249,,,
dnj-14;Q21162,18.4185,21.5596,20.1891,20.575,20.7202,19.4023,21.1648,20.7119,,,
dnj-14;Q21162,22.0138,22.84,22.497,21.7357,18.412,21.9761,22.437,20.9131,,,
dnj-14;Q21162,18.4382,18.3235,16.863,19.6889,21.3979,23.1015,23.6577,22.2046,,,
mca-1;F5GU98,18.5784,19.4521,19.9061,19.4451,21.3739,22.7872,23.1814,22.0419,,,
mca-1;F5GU98,18.5796,18.3756,18.0061,17.7713,26.039,28.0582,27.9882,26.886,,,
mca-1;F5GU98,23.7159,22.7109,25.3643,24.1949,26.3064,24.329,25.2574,25.1132,,,
mca-1;F5GU98,20.0394,19.3792,18.7638,18.2218,19.8325,21.4652,19.5098,20.6719,,,
mca-1;F5GU98,15.9018,19.2946,19.1418,17.5319,21.0236,21.0779,20.8861,21.0805,,,
;F5GUH0,23.0027,22.3128,23.279,22.3053,24.8774,26.1593,24.1917,25.0649,,,
;F5GUH0,19.0854,18.5705,18.8809,18.8093,22.6943,22.5066,23.945,23.1711,,,
;F5GUH0,18.0343,15.6677,19.2851,19.5863,19.8154,22.8482,22.7736,21.4886,,,
